rank,sweep_id,sweep_label,run_id,algorithm,reward_mode,num_layers,layer_size,total_timesteps,learning_rate,gamma,batch_size,gradient_steps,mean_reward,std_reward,n_steps,last_steps_used
1,wqs01xjl,PPO | speed_throughput (156 run),porobj7i,ppo,speed_throughput,6,16,100000,0.0002272203369439096,0.9487956659088612,256,4,0.5594877184606506,0.04390940927610983,1003,100
2,wqs01xjl,PPO | speed_throughput (156 run),hglykjm6,ppo,speed_throughput,6,8,100000,0.003654968771141792,0.941610078905235,256,4,0.558859385203363,0.04034253537440247,1003,100
3,wqs01xjl,PPO | speed_throughput (156 run),gb3iginf,ppo,speed_throughput,4,128,75000,0.0007900978576650916,0.9033027901530968,256,4,0.5586305539375526,0.03835253917942067,757,100
4,wqs01xjl,PPO | speed_throughput (156 run),y7mkyqz1,ppo,speed_throughput,2,256,50000,0.0002443402735573481,0.937205491277642,128,2,0.5586016331975215,0.04977268155386011,512,100
5,wqs01xjl,PPO | speed_throughput (156 run),uf8cjpe3,ppo,speed_throughput,6,64,100000,0.0010715714014602766,0.9578328297160416,256,4,0.5581518639060288,0.03693872863168499,1003,100
6,wqs01xjl,PPO | speed_throughput (156 run),uyg6f694,ppo,speed_throughput,6,16,100000,0.0010001823529699903,0.9710692973236992,128,2,0.5565599271889994,0.045588299019939715,1003,100
7,wqs01xjl,PPO | speed_throughput (156 run),wd05de7f,ppo,speed_throughput,4,128,100000,0.0001226807295085201,0.9735780843769036,64,2,0.5564356595261538,0.040954008098579006,1003,100
8,wqs01xjl,PPO | speed_throughput (156 run),aif2rfj8,ppo,speed_throughput,2,8,50000,0.0035427486765765752,0.9568098815438852,64,1,0.5560017543933925,0.03645604743233911,512,100
9,wqs01xjl,PPO | speed_throughput (156 run),y62u1d5c,ppo,speed_throughput,3,8,75000,0.0003826350244758055,0.926480457007162,64,4,0.555938771763816,0.03909836230990282,757,100
10,wqs01xjl,PPO | speed_throughput (156 run),3uiai2o6,ppo,speed_throughput,5,32,100000,0.00010621996212317064,0.9100507951754232,256,2,0.5556853939836324,0.04296829155358106,1003,100
11,wqs01xjl,PPO | speed_throughput (156 run),qapmuh8s,ppo,speed_throughput,1,16,75000,0.0006996946269321232,0.9420506220066008,32,4,0.5552489470276626,0.03818329936511878,757,100
12,wqs01xjl,PPO | speed_throughput (156 run),xavi5ctz,ppo,speed_throughput,2,16,50000,0.0014601823749000188,0.9494886446851524,64,1,0.5552163882509316,0.036358299616317445,512,100
13,wqs01xjl,PPO | speed_throughput (156 run),mnjv5qh6,ppo,speed_throughput,6,16,100000,0.001602550287702337,0.9420131790852134,256,2,0.5551661038964136,0.04017283131338935,1003,100
14,wqs01xjl,PPO | speed_throughput (156 run),jgf7e5ql,ppo,speed_throughput,1,64,75000,0.0025109145115771087,0.937367480473426,64,1,0.5548491766123089,0.03816875544031063,757,100
