rank,run_id,run_dir,algorithm,reward_mode,num_layers,layer_size,total_timesteps,mean_reward,std_reward,n_steps,last_steps_used
1,porobj7i,run-20260404_211505-porobj7i,ppo,speed_throughput,6,16,100000.0,0.5594877184606506,0.04390940927610983,1003,100
2,hglykjm6,run-20260405_104617-hglykjm6,ppo,speed_throughput,6,8,100000.0,0.558859385203363,0.04034253537440247,1003,100
3,gb3iginf,run-20260405_111543-gb3iginf,ppo,speed_throughput,4,128,75000.0,0.5586305539375526,0.03835253917942067,757,100
4,y7mkyqz1,run-20260405_050359-y7mkyqz1,ppo,speed_throughput,2,256,50000.0,0.5586016331975215,0.04977268155386011,512,100
5,uf8cjpe3,run-20260405_102720-uf8cjpe3,ppo,speed_throughput,6,64,100000.0,0.5581518639060288,0.03693872863168499,1003,100
6,cr90qgfq,run-20260321_213933-cr90qgfq,ppo,speed_throughput,1,64,,0.5577126924583586,0.04231328518357399,1003,100
7,uyg6f694,run-20260405_100336-uyg6f694,ppo,speed_throughput,6,16,100000.0,0.5565599271889994,0.045588299019939715,1003,100
8,wd05de7f,run-20260404_234057-wd05de7f,ppo,speed_throughput,4,128,100000.0,0.5564356595261538,0.040954008098579006,1003,100
9,aif2rfj8,run-20260405_053029-aif2rfj8,ppo,speed_throughput,2,8,50000.0,0.5560017543933925,0.03645604743233911,512,100
10,y62u1d5c,run-20260405_131143-y62u1d5c,ppo,speed_throughput,3,8,75000.0,0.555938771763816,0.03909836230990282,757,100
11,3uiai2o6,run-20260405_073757-3uiai2o6,ppo,speed_throughput,5,32,100000.0,0.5556853939836324,0.04296829155358106,1003,100
12,qapmuh8s,run-20260405_123255-qapmuh8s,ppo,speed_throughput,1,16,75000.0,0.5552489470276626,0.03818329936511878,757,100
13,xavi5ctz,run-20260405_020136-xavi5ctz,ppo,speed_throughput,2,16,50000.0,0.5552163882509316,0.036358299616317445,512,100
14,mnjv5qh6,run-20260405_080011-mnjv5qh6,ppo,speed_throughput,6,16,100000.0,0.5551661038964136,0.04017283131338935,1003,100
15,jgf7e5ql,run-20260405_015219-jgf7e5ql,ppo,speed_throughput,1,64,75000.0,0.5548491766123089,0.03816875544031063,757,100
16,48pt7fj8,run-20260405_072300-48pt7fj8,ppo,speed_throughput,2,64,75000.0,0.5546526367454722,0.04275307686333455,757,100
17,ivubmrzj,run-20260405_042407-ivubmrzj,ppo,speed_throughput,3,128,100000.0,0.5539622555247441,0.035460149809193736,1003,100
18,jfuk3tz0,run-20260321_223133-jfuk3tz0,ppo,speed_throughput,3,64,,0.5539615454982614,0.04757202739155096,1003,100
19,ajeirfdz,run-20260405_024751-ajeirfdz,ppo,speed_throughput,3,8,75000.0,0.553940666299244,0.03729530409999243,757,100
20,adrz2fwc,run-20260405_094222-adrz2fwc,ppo,speed_throughput,4,32,50000.0,0.5533883678691763,0.046707634653999346,512,100
21,snjpa0f9,run-20260405_123845-snjpa0f9,ppo,speed_throughput,1,32,75000.0,0.5533540918684681,0.03763073247891317,757,100
22,wpcvy1kf,run-20260405_041956-wpcvy1kf,ppo,speed_throughput,6,256,50000.0,0.5533384585336598,0.04405321557001525,512,100
23,nmq66xnf,run-20260405_083945-nmq66xnf,ppo,speed_throughput,4,16,100000.0,0.5531711779254533,0.04325811946951458,1003,100
24,i8ojhtus,run-20260405_125250-i8ojhtus,ppo,speed_throughput,1,128,75000.0,0.5530386079530318,0.04276108082969594,757,100
25,wbky6d1p,run-20260404_214923-wbky6d1p,ppo,speed_throughput,2,128,100000.0,0.5529348960566419,0.039608572986911984,1003,100
26,kdykp53x,run-20260404_214233-kdykp53x,ppo,speed_throughput,3,16,100000.0,0.5528081212465707,0.03708370442729272,1003,100
27,vd8mvkco,run-20260405_061735-vd8mvkco,ppo,speed_throughput,6,256,100000.0,0.552335325645522,0.04280186531533297,1003,100
28,m7rqk6mt,run-20260405_074812-m7rqk6mt,ppo,speed_throughput,3,8,75000.0,0.5521973275531286,0.04105699190736532,757,100
29,iyowxgbg,run-20260405_031503-iyowxgbg,ppo,speed_throughput,5,128,100000.0,0.5521100423180451,0.04558224998576337,1003,100
