rank,algorithm,reward_mode,num_layers,layer_size,mean_reward,std_reward,n_runs,best_reward
1,PPO,co2_speedstd,2,32,0.602908,0.000000,1,0.602908
2,DQN,co2_speedstd,3,128,0.602167,0.055336,2,0.641295
3,PPO,speed_throughput,5,256,0.600618,0.046582,4,0.629253
4,PPO,co2_speedstd,1,8,0.590858,0.000000,1,0.590858
5,PPO,speed_throughput,3,256,0.584944,0.007124,2,0.589982
6,PPO,speed_throughput,4,128,0.584661,0.033759,10,0.659771
7,QRDQN,co2_speedstd,3,32,0.582599,0.000000,1,0.582599
8,PPO,co2_speedstd,3,128,0.579460,0.000000,1,0.579460
9,PPO,speed_throughput,6,16,0.572619,0.056556,5,0.665498
10,PPO,co2_speedstd,2,64,0.564251,0.054919,2,0.603084
11,PPO,speed_throughput,5,128,0.564242,0.039165,2,0.591936
12,PPO,speed_throughput,2,8,0.562187,0.029251,6,0.599539
13,PPO,speed_throughput,5,32,0.560761,0.042449,3,0.608766
14,DQN,co2_speedstd,1,16,0.558933,0.000000,1,0.558933
15,PPO,co2_speedstd,3,8,0.558366,0.000000,1,0.558366
16,QRDQN,speed_throughput,5,256,0.558029,0.000000,1,0.558029
17,PPO,speed_throughput,6,32,0.554759,0.024362,4,0.576175
18,QRDQN,co2_speedstd,1,128,0.554028,0.012980,2,0.563207
19,PPO,speed_throughput,6,128,0.552745,0.030942,6,0.587051
20,PPO,co2_speedstd,2,128,0.551158,0.066800,3,0.591453
