step,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength
0,47.408158918034914,23.704079459017457,47.408158918034914,23.704079459017457,0.0,0.0,14084.16514484811,2271.639539491631,6.2,6.42320024791735,0.0,0.2
1,53.37665092318726,26.68832546159363,53.37665092318726,26.68832546159363,0.2,0.03125,12068.016997131566,1885.6276558018071,6.4,5.90066805599054,9.501466468930175,0.6
2,60.28724507914897,30.143622539574483,60.28724507914897,30.143622539574483,0.0,0.0,12339.845560080194,2127.5595793241714,5.8,5.21732324235035,0.0,0.0
3,54.69533531403113,27.347667657015563,54.69533531403113,27.347667657015563,0.0,0.0,12791.639110553871,2205.4550190610125,5.8,6.012730300610965,9.26690293258929,0.2
4,67.05563388073448,33.52781694036724,67.05563388073448,33.52781694036724,0.2,0.029411764705882353,16088.145267801603,2365.903715853177,6.8,4.746452340176312,0.0,0.4
5,40.20254347729764,20.10127173864882,40.20254347729764,20.10127173864882,0.0,0.0,16219.909951330283,2616.1145082790777,6.2,7.442288430238837,10.869811519815187,0.0
6,57.09109688270316,28.54554844135158,57.09109688270316,28.54554844135158,0.0,0.0,9522.984378682111,2164.3146315186614,4.4,5.740052552661586,4.9975975839194575,0.0
7,51.719831524638096,25.859915762319048,51.719831524638096,25.859915762319048,2.0,0.45454545454545453,10693.629387145827,2430.3703152604153,4.4,6.368720006024143,5.110706364594364,0.8
8,52.418714530696285,26.209357265348142,52.418714530696285,26.209357265348142,0.0,0.0,10907.241024650844,2371.1393531849662,4.6,5.786118274420209,8.831657881197827,0.4
9,64.6987969477756,32.3493984738878,64.6987969477756,32.3493984738878,0.0,0.0,9401.309112657353,2350.327278164338,4.0,4.704222042941588,0.0,0.2
10,60.494506134441636,30.247253067220818,60.494506134441636,30.247253067220818,0.0,0.0,10936.721758493102,2603.9813710697863,4.2,5.379038408014427,4.682616904451038,0.2
11,42.78592326350347,21.392961631751735,42.78592326350347,21.392961631751735,0.0,0.0,11649.89137670482,2532.5850818923523,4.6,6.929922401841172,4.834401782834448,0.0
12,43.18651036954236,21.59325518477118,43.18651036954236,21.59325518477118,2.0,0.3225806451612903,13900.974364482656,2242.092639432686,6.2,7.030731667772171,9.189827919460356,1.0
13,43.93528685910904,21.96764342955452,43.93528685910904,21.96764342955452,0.0,0.0,12887.480990582608,2386.570553811594,5.4,6.9828850693335145,2.030913361115836,0.2
14,46.14834683720697,23.074173418603486,46.14834683720697,23.074173418603486,0.0,0.0,9381.482054895834,1876.296410979167,5.0,6.328788801600769,4.167126835504291,0.0
15,76.12996285712332,38.06498142856166,76.12996285712332,38.06498142856166,0.2,0.041666666666666664,10012.04553624957,2085.842820051994,4.8,4.595187938106639,5.040559549973693,0.4
16,68.68275016392064,34.34137508196032,68.68275016392064,34.34137508196032,0.0,0.0,11827.000157861914,2463.958366221232,4.8,4.4915135090681915,0.0,0.2
17,46.38654893053022,23.19327446526511,46.38654893053022,23.19327446526511,0.0,0.0,15150.07049278919,2705.3697308552123,5.6,6.296877961522746,3.16934205476997,0.2
18,39.21527885500585,19.607639427502924,39.21527885500585,19.607639427502924,0.0,0.0,14267.434130206035,2642.1174315196363,5.4,7.511025429764777,8.738297511769701,0.0
19,52.70404986248091,26.352024931240454,52.70404986248091,26.352024931240454,0.0,0.0,15544.84062634604,2590.8067710576734,6.0,5.895275358837244,4.804755319929939,0.4
20,39.95721668988491,19.978608344942455,39.95721668988491,19.978608344942455,0.0,0.0,17127.404854084125,2676.1570084506448,6.4,7.2701737315601465,6.418717752928558,0.0
21,56.4438222226437,28.22191111132185,56.4438222226437,28.22191111132185,0.0,0.0,13104.525784869871,2340.093890155334,5.6,5.721227554522554,9.275582750218803,0.2
22,73.74110698746742,36.87055349373371,73.74110698746742,36.87055349373371,2.0,0.3333333333333333,13810.580340293376,2301.763390048896,6.0,4.742940295167973,2.880809850558137,1.0
23,65.1357791557054,32.5678895778527,65.1357791557054,32.5678895778527,7.0,1.0606060606060606,12810.109577495623,1940.925693559943,6.6,5.000250674885938,5.5220494633880435,1.2
24,109.02166989370008,54.51083494685004,109.02166989370008,54.51083494685004,18.2,2.4594594594594597,13659.046794895714,1845.8171344453667,7.4,2.876521397113362,0.0,3.6
25,105.54801512247931,52.77400756123966,105.54801512247931,52.77400756123966,32.8,3.727272727272727,16799.86983603722,1909.076117731502,8.8,2.8856118930028534,6.710186273095928,4.0
26,60.6747307393234,30.3373653696617,60.6747307393234,30.3373653696617,0.6,0.07692307692307693,16954.469964679818,2173.6499954717715,7.8,4.839937356281468,17.22474322235371,0.4
27,80.4766827568773,40.23834137843865,80.4766827568773,40.23834137843865,0.2,0.029411764705882353,12697.751324253102,1867.3163712136914,6.8,3.709597797831286,19.369374616604205,0.4
28,63.08001034169721,31.540005170848605,63.08001034169721,31.540005170848605,0.6,0.08823529411764706,16006.046603157822,2353.8303828173266,6.8,5.267041528004779,0.0,0.4
29,51.72616601737941,25.863083008689706,51.72616601737941,25.863083008689706,0.6,0.08571428571428572,16427.982941804694,2346.854705972099,7.0,6.1098534057203535,10.158002007312632,0.6
30,109.30144487607933,54.650722438039665,109.30144487607933,54.650722438039665,6.0,0.7894736842105263,12034.492884571708,1583.4859058646985,7.6,2.860254746690717,5.913620918578033,2.2
31,97.23407901554175,48.617039507770876,97.23407901554175,48.617039507770876,10.0,1.0416666666666667,18511.88213127369,1928.3210553410092,9.6,3.058005676618586,0.0,4.4
32,119.89748758293142,59.94874379146571,119.89748758293142,59.94874379146571,34.2,3.109090909090909,18155.660701339122,1650.5146092126474,11.0,2.7822324774573657,21.96067499901119,5.2
33,178.60709417877453,89.30354708938727,178.60709417877453,89.30354708938727,11.4,1.2127659574468086,15764.059397053195,1677.027595431191,9.4,1.6825605621835458,50.0,3.0
