step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed
0,random,2,0,137.66111703494838,45.887039011649456,137.66111703494838,45.887039011649456,13.8,0.8023255813953488,30297.900609788987,1761.5058494063364,17.2,3.161328368857106,52.27975816606886,3.2,9,2.2728548979698298,0.18604651162790697,52.27975816606886,80.0,1.8,0.6,1.2849101868069785,0.0,3,76.83927449820658,0.8,3.8547305604209354,80.0,1.0,0.0,0.0,0.0,0.0
1,random,0,2,137.43284148494516,45.810947161648386,137.43284148494516,45.810947161648386,3.8,0.21839080459770116,29796.73461509792,1712.4560123619497,17.4,4.495926298430997,39.09183400420735,2.6,8,4.229126670277351,0.14942528735632185,39.09183400420735,60.0,1.5999999999999999,0.5333333333333333,3.856079027983703,0.0,3,60.0,0.8,0.0,46.8203079362749,0.6,2.003613101864472,10.45519407634714,0.2,9.564623982086637
2,random,1,0,193.88716750934447,69.24541696762303,200193.88716750935,66731.29572250311,8.0,0.43956043956043955,26880.962926820695,1476.9759849901482,18.2,4.472767701231704,54.76475438459753,4.0,9,5.698005894958574,0.21978021978021978,54.76475438459753,100.0,1.8,0.6,0.47553932381212743,0.0,3,64.2942631537926,0.8,1.4266179714363822,100.0,1.0,0.0,0.0,0.0,0.0
3,random,0,1,250.08766712241905,83.36255570747302,250.08766712241905,83.36255570747302,2.2,0.11827956989247312,29066.579657409784,1562.7193364198808,18.6,1.322957223496799,26.666666666666668,1.2,6,0.6103959631993314,0.06451612903225806,26.666666666666668,60.0,1.2000000000000002,0.4000000000000001,0.0,0.0,3,60.0,0.8,0.0,20.0,0.4,0.0,0.0,0.0,0.0
4,random,2,0,204.5048747194887,68.1682915731629,204.5048747194887,68.1682915731629,3.0,0.15151515151515152,32610.814007710585,1647.0108084702315,19.8,2.4226706298027385,42.54320678974883,2.0,9,1.7038363591107644,0.10101010101010101,42.54320678974883,84.91302200655468,1.8,0.6,1.1358419029032494,0.0,3,84.91302200655468,1.0,2.2537777368634484,42.7165983626918,0.8,1.1537479718462995,0.0,0.0,0.0
5,random,0,2,181.82660726099795,60.60886908699931,181.82660726099795,60.60886908699931,2.4,0.12,31667.89813153344,1583.394906576672,20.0,3.3908585445417287,53.26143372476499,1.4,10,3.039364933605315,0.07,53.26143372476499,80.0,2.0,0.6666666666666666,4.009205895577415,0.0,3,80.0,1.0,0.0,74.09695326935235,0.8,3.2155667043538205,5.687347904942612,0.2,8.812050982378423
6,random,0,0,331.67745241830346,110.55915080610116,331.67745241830346,110.55915080610116,19.4,0.8981481481481481,31984.8863148977,1480.7817738378565,21.6,1.2177698326082225,54.61077024944738,6.2,10,1.0379143153600001,0.28703703703703703,54.61077024944738,100.0,2.0,0.6666666666666666,0.7619949567773286,0.0,3,63.83231074834214,0.8,2.285984870331986,100.0,1.0,0.0,0.0,0.2,0.0
7,random,0,0,336.44728825257414,112.14909608419138,336.44728825257414,112.14909608419138,50.4,2.27027027027027,35958.17305462585,1619.7375249831462,22.2,1.7184387393380698,66.66666666666667,9.4,10,1.5905070386925273,0.42342342342342343,66.66666666666667,100.0,2.0,0.6666666666666666,0.0,0.0,3,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
8,random,2,0,378.8478995052181,126.28263316840604,378.8478995052181,126.28263316840604,48.2,2.1327433628318584,36205.39803464566,1602.0087625949407,22.6,2.724265105613425,39.91252368870202,7.8,8,2.94260573078431,0.34513274336283184,39.91252368870202,80.0,1.6,0.5333333333333333,0.9502335451642937,0.0,3,39.73757106610606,0.6,2.850700635492881,80.0,1.0,0.0,0.0,0.0,0.0
9,random,3,2,301.9728261504441,100.6576087168147,301.9728261504441,100.6576087168147,32.4,1.4464285714285714,34429.983197881505,1537.0528213339956,22.4,3.931247357072645,50.729786256703925,7.0,9,4.906058629003566,0.3125,50.729786256703925,100.0,1.8,0.6,3.5038438875838476,0.0,3,100.0,1.0,0.0,41.01932810034725,0.6,1.5590047667704963,11.170030669764515,0.2,8.952526895981046
