step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed
0,mixed_20,0,0,83.22295324271323,34.67623051779718,201363.50129176833,67121.16709725611,1.2,0.3,7825.415493476756,1956.353873369189,4.0,3.865358120808004,0.0,1.0,0,2.959888809711912,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mixed_20,0,0,130.1582267861494,46.485080995053366,200130.15822678615,66710.05274226205,5.0,1.0,10314.372322695435,2062.874464539087,5.0,3.2056219020988,7.289954891586585,1.4,2,2.774590527470406,0.28,7.289954891586585,11.38773983112685,0.4,0.13333333333333333,6.107141416339751,0.0,3,10.482124843632903,0.2,9.540050466079158,0.0,0.0,0.0,11.38773983112685,0.2,8.781373782940095
2,mixed_20,0,0,122.04758096315243,40.68252698771747,122.04758096315243,40.68252698771747,12.0,2.4,9936.140527634194,1987.2281055268386,5.0,3.314051577681054,0.0,1.8,0,1.983869671753588,0.36,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mixed_20,0,0,71.26519367299582,23.755064557665275,71.26519367299582,23.755064557665275,22.0,3.9285714285714284,12439.93153385611,2221.416345331448,5.6,5.569917820565817,3.6900374161402283,2.2,1,2.757485053497445,0.39285714285714285,3.6900374161402283,11.070112248420685,0.2,0.06666666666666667,3.0111106902361198,0.0,3,0.0,0.0,0.0,11.070112248420685,0.2,9.03333207070836,0.0,0.0,0.0
4,mixed_20,0,0,129.08223185079376,46.100797089569205,200129.08223185083,66709.69407728361,33.2,6.148148148148148,9480.184286548862,1755.5896826942337,5.4,5.711886339974797,31.390807890375925,2.8,7,5.269677108953675,0.5185185185185185,31.390807890375925,86.8037127141784,1.4,0.4666666666666666,5.094124394713565,0.0,3,7.368710956949371,0.4,9.05405773026869,0.0,0.0,0.0,86.8037127141784,1.0,6.228315453872004
5,mixed_20,0,0,99.80596945346082,33.26865648448694,99.80596945346082,33.26865648448694,48.0,8.88888888888889,10292.542841089995,1906.0264520537025,5.4,6.198885016384022,33.333333333333336,3.2,5,5.500502188324174,0.5925925925925926,33.333333333333336,100.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
6,mixed_20,0,0,211.41017630429573,75.50363439439134,200211.41017630426,66737.13672543476,63.6,9.085714285714285,12394.823121251673,1770.6890173216675,7.0,2.657650513585632,33.333333333333336,3.6,5,2.4449414675796786,0.5142857142857142,33.333333333333336,100.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
7,mixed_20,0,0,132.2445455749191,44.0815151916397,132.2445455749191,44.0815151916397,83.0,11.857142857142858,12586.756865113466,1798.108123587638,7.0,4.011463741805466,36.90875316326336,4.0,6,2.9530843068850205,0.5714285714285714,36.90875316326336,100.0,1.2,0.39999999999999997,3.107638162684953,0.0,3,0.0,0.0,0.0,10.726259489790095,0.2,9.32291448805486,100.0,1.0,0.0
8,mixed_20,0,0,389.29718664159515,176.9532666552705,39151.912219941136,13050.637406647045,105.2,13.487179487179487,11972.563737667291,1534.944068931704,7.8,2.2297207651622295,33.333333333333336,5.4,5,2.6638492540096705,0.6923076923076923,33.333333333333336,100.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
9,mixed_20,0,0,388.65886375928704,129.55295458642902,388.65886375928704,129.55295458642902,134.0,13.958333333333334,17258.94491787351,1797.8067622784904,9.6,1.996690920931864,37.293751266400555,6.2,6,2.1587239649918626,0.6458333333333334,37.293751266400555,100.0,1.2,0.39999999999999997,2.8055400462511044,0.0,3,11.881253799201659,0.2,8.416620138753313,0.0,0.0,0.0,100.0,1.0,0.0
10,mixed_20,1,0,138.21859111774774,46.072863705915914,138.21859111774774,46.072863705915914,56.4,6.878048780487805,16071.6483506055,1959.9571159275,8.2,2.532211515050621,26.666666666666668,3.4,5,1.1926659752218023,0.4146341463414634,26.666666666666668,80.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0
11,mixed_20,1,1,87.58918033343352,29.196393444477838,87.58918033343352,29.196393444477838,17.0,2.2972972972972974,15341.03828441797,2073.113281678104,7.4,4.217495592252322,7.780433316092967,1.2,3,2.206454973268439,0.16216216216216217,7.780433316092967,23.341299948278902,0.6,0.19999999999999998,0.5981683321677601,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,23.341299948278902,0.6,1.7945049965032802
12,mixed_20,1,1,54.46675062226886,24.757613919213117,25525.889947322583,8508.629982440862,22.8,3.5625,11411.118714508997,1782.9872991420307,6.4,3.4742552226958883,14.454522554610966,1.6,8,2.960073851989754,0.25,14.454522554610966,30.067016059063576,1.6,0.5333333333333333,7.11300234008596,3.924316576167586,3,1.2565356318344811,0.4,9.109053622279315,12.040015972934839,0.2,8.305636821810984,30.067016059063576,1.0,3.924316576167586
13,mixed_20,1,1,287.5547236074133,159.7526242263407,561956.1268857375,187318.70896191252,36.0,6.206896551724138,10555.971839785696,1819.9951447906371,5.8,1.588134158480502,0.0,3.4,0,2.103432176733033,0.5862068965517241,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,mixed_20,1,1,210.53704515445048,75.19180184087517,200210.53704515443,66736.84568171814,51.0,7.285714285714286,13270.39352788279,1895.7705039832558,7.0,2.3412990186382676,3.609948814182644,3.2,1,2.072647476766427,0.45714285714285713,3.609948814182644,10.829846442547932,0.2,0.06666666666666667,3.0779137553026117,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,10.829846442547932,0.2,9.233741265907835
15,mixed_20,1,1,121.04091316050851,40.346971053502834,121.04091316050851,40.346971053502834,67.2,9.6,13228.66371273473,1889.809101819247,7.0,2.4414581231801775,0.0,3.6,0,0.6268487442873778,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,mixed_20,1,1,92.0162467679118,35.39086414150454,10405.243924663462,3468.4146415544874,87.6,11.526315789473685,13008.252315444039,1711.6121467689525,7.6,2.7013739353640362,21.809712216092407,4.6,6,1.3328400822254072,0.6052631578947368,21.809712216092407,64.22708535547486,1.2000000000000002,0.4000000000000001,5.1813546082253845,0.0,3,0.0,0.0,0.0,64.22708535547486,0.8,6.882892578356142,1.2020512928023663,0.4,8.661171246320013
17,mixed_20,0,1,456.4570294613589,152.1523431537863,456.4570294613589,152.1523431537863,18.2,2.3947368421052633,12300.577879256685,1618.4970893758796,7.6,1.6283398080591185,30.47382393741259,2.6,6,1.358728478547945,0.34210526315789475,30.47382393741259,80.0,1.2,0.39999999999999997,2.918479674188545,0.0,3,11.421471812237769,0.2,8.755439022565636,80.0,1.0,0.0,0.0,0.0,0.0
