step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed
0,actuated,0,0,149.78542252074163,49.92847417358055,149.78542252074163,49.92847417358055,16.6,0.8924731182795699,31757.492194498784,1707.3920534676765,18.6,2.3480947754669645,44.0071888045774,4.4,10,0.9964126961707411,0.23655913978494625,44.0071888045774,83.11556863309136,2.0,0.6666666666666666,5.017500711243443,3.101303478244753,3,83.11556863309136,1.0,3.101303478244753,22.109461982256562,0.4,7.681919013477708,26.796535798384298,0.6,4.269279642007868
1,actuated,0,0,256.78536627670934,85.59512209223645,256.78536627670934,85.59512209223645,49.8,2.59375,32581.57610313206,1696.9570887047948,19.2,2.0818926318581203,68.54844153063756,9.0,13,1.3908923651925564,0.46875,68.54844153063756,100.0,2.6,0.8666666666666667,1.7542139130103047,0.0,3,100.0,1.0,0.0,100.0,1.0,0.0,5.645324591912697,0.6,5.262641739030914
2,actuated,0,0,377.4913101654494,145.18896544824977,898.1114915497861,299.37049718326205,102.2,5.161616161616162,32719.98948714065,1652.52472157276,19.8,2.4360469052356133,66.66666666666667,12.4,10,2.329563018606361,0.6262626262626263,66.66666666666667,100.0,2.0,0.6666666666666666,0.0,0.0,3,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
3,actuated,0,0,86.79440989921052,43.39720494960526,20341.292214010817,6780.430738003605,175.6,8.607843137254902,33362.161208380705,1635.4000592343484,20.4,2.4450279140750175,70.21856847136272,16.6,11,2.6971708063227133,0.8137254901960784,70.21856847136273,100.0,2.2,0.7333333333333334,3.1282146078534137,0.0,3,100.0,1.0,0.0,100.0,1.0,0.0,10.655705414088175,0.2,9.384643823560241
4,actuated,0,0,239.22069926808294,119.61034963404147,2339952.598828087,779984.1996093624,262.0,12.358490566037736,33728.414432784804,1590.9629449426795,21.2,1.8843486609109872,68.54791145919516,18.0,12,2.373323912044546,0.8490566037735849,68.54791145919516,100.0,2.4,0.7999999999999999,2.982520234584808,0.0,3,100.0,1.0,0.0,100.0,1.0,0.0,5.643734377585474,0.4,8.947560703754425
5,actuated,0,0,272.7323983708857,123.9692719867662,2505991.6573283197,835330.5524427732,334.8,15.79245283018868,35021.30634073507,1651.948412298824,21.2,2.1795466376176913,66.66666666666667,17.6,10,2.4782833415866494,0.8301886792452831,66.66666666666667,100.0,2.0,0.6666666666666666,0.0,0.0,3,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
6,actuated,0,0,424.6629012947972,141.55430043159907,424.6629012947972,141.55430043159907,293.8,13.234234234234235,36758.213816939526,1655.7753971594382,22.2,1.9967297944530136,56.97585426172054,13.8,10,2.100780109423662,0.6216216216216216,56.97585426172054,100.0,2.0,0.6666666666666666,3.050390465712644,0.0,3,60.0,0.8,0.0,100.0,1.0,0.0,10.927562785161626,0.2,9.151171397137933
7,actuated,0,0,393.53621625937046,140.5486486640609,634.1807429844357,211.3935809948119,269.2,12.017857142857142,34997.41867712937,1562.3847623718468,22.4,1.1803210253663905,60.335907427909014,13.6,10,1.1447637959395727,0.6071428571428571,60.335907427909014,100.0,2.0,0.6666666666666666,0.7783732199538091,0.0,3,81.00772228372705,1.0,2.3351196598614274,100.0,1.0,0.0,0.0,0.0,0.0
8,actuated,0,0,648.6449362382355,216.2149787460785,648.6449362382355,216.2149787460785,256.8,11.068965517241379,37450.65001154854,1614.2521556701956,23.2,2.1327607844450442,66.66666666666667,14.4,10,2.558858649716898,0.6206896551724138,66.66666666666667,100.0,2.0,0.6666666666666666,0.0,0.0,3,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
9,actuated,0,0,1061.196247700605,378.99865989307324,1279.8359700988008,426.6119900329336,331.0,13.134920634920634,40341.469409111705,1600.851960679036,25.2,1.7864396522557635,70.250567268439,17.6,11,2.279327406827035,0.6984126984126984,70.250567268439,100.0,2.2,0.7333333333333334,3.100284395615318,0.0,3,100.0,1.0,0.0,100.0,1.0,0.0,10.751701805316998,0.2,9.300853186845954
