step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,random,0,0,188.64539867917006,37.72907973583401,188.64539867917006,37.72907973583401,4.8,0.631578947368421,14133.695567341088,1859.696785176459,7.6,7.171034499416465,20.0,1.8,5,5.305479237449795,0.23684210526315788,20.0,100.0,1.0,0.2,0.0,0.0,5,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,random,0,0,124.36404071880672,25.909175149751402,200124.36404071885,40024.87280814377,0.0,0.0,17393.19433535651,2350.431666940069,7.4,6.201612754464086,13.99440629560985,0.2,7,4.487585505326666,0.02702702702702703,13.99440629560985,52.86426636230317,1.4000000000000001,0.28,4.141502413621885,0.0,5,6.002504628266081,0.4,9.282421998772769,52.86426636230317,0.8,2.420348567528628,0.0,0.0,0.0,0.0,0.0,0.0,11.105260487479995,0.2,9.00474150180803
2,random,0,0,83.14064641844847,18.895601458738287,2777.8839877093583,555.5767975418717,1.4,0.21212121212121213,12069.983275664414,1828.7853447976383,6.6,5.858245161260532,4.0,1.0,2,4.408645747441566,0.15151515151515152,4.0,20.0,0.4,0.08,0.0,0.0,5,0.0,0.0,0.0,20.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,random,0,0,144.9586778635183,36.23966946587957,721517.591824334,144303.5183648668,14.2,1.8205128205128205,14609.175632682955,1872.9712349593533,7.8,5.551957348649,23.031005713379955,3.8,8,5.065994398942681,0.48717948717948717,23.031005713379955,95.31876955419676,1.5999999999999999,0.31999999999999995,4.49707077602158,0.0,5,9.289797505604724,0.4,9.019313637726011,95.31876955419676,1.0,4.6592799241771266,10.546461507098286,0.2,8.806760318204763,0.0,0.0,0.0,0.0,0.0,0.0
4,random,0,0,170.2443858843295,47.290107190091526,1004529.487394413,200905.8974788826,35.8,4.475,13008.572345644345,1626.071543205543,8.0,4.113824488975237,20.0,5.0,6,5.252368455922345,0.625,20.0,100.0,1.2,0.24,0.0,0.0,5,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,random,3,0,509.11797930018,110.67782158699566,400509.11797930027,80101.82359586006,60.6,6.3125,16199.685438338987,1687.4672331603113,9.6,3.8992285080439126,20.0,6.0,5,5.105544461255402,0.625,20.0,100.0,1.0,0.2,0.0,0.0,5,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,random,3,3,345.73863527851984,72.02888234969164,200345.73863527848,40069.14772705569,90.0,8.035714285714286,19606.716905757727,1750.5997237283684,11.2,3.035525197753373,20.380378069890753,6.4,7,3.5024931142070184,0.5714285714285714,20.380378069890753,100.0,1.4,0.27999999999999997,1.7013310850225392,0.0,5,1.9018903494537653,0.4,8.506655425112696,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,random,3,3,244.68177072160194,48.93635414432039,244.68177072160194,48.93635414432039,123.0,10.25,23350.048420765048,1945.8373683970872,12.0,3.136564645723816,21.56597279697428,7.0,6,2.172527460954009,0.5833333333333334,21.56597279697428,100.0,1.2,0.24,1.9165120231546464,0.0,5,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.829863984871395,0.2,9.582560115773232
8,random,3,3,433.41733243751287,94.22115922554629,4274.22334301151,854.844668602302,158.8,12.40625,21814.12760043791,1704.2287187842119,12.8,3.944705708167955,22.13404852287897,8.0,7,4.130090586466468,0.625,22.13404852287897,100.0,1.4,0.27999999999999997,1.8743716260976764,0.0,5,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,10.670242614394851,0.2,9.371858130488382,0.0,0.2,0.0
9,random,3,3,220.6600366923289,55.165009173082225,544770.2478472169,108954.04956944338,202.6,15.584615384615384,22041.79591417714,1695.5227626290107,13.0,4.7971709922549035,34.45979330721582,9.4,10,5.353711334818457,0.7230769230769231,34.45979330721582,100.0,2.0,0.4,3.2021956507021883,0.0,5,60.50318387035247,0.8,7.533372075621938,100.0,1.0,0.0,11.79578266572662,0.2,8.477606177889003,0.0,0.0,0.0,0.0,0.0,0.0
