step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed
0,random,0,0,329.73767628863635,56.85132349804075,200329.7376762887,33388.28961271478,0.2,0.037037037037037035,10233.01915530196,1895.0035472781408,5.4,5.765021168089705,1.5400333328524123,0.4,3,4.95570609999571,0.07407407407407407,1.5400333328524123,9.240199997114473,0.6000000000000001,0.10000000000000002,1.4928074273746466,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,9.240199997114473,0.4,8.956844564247879,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,random,0,0,94.598852877392,15.766475479565335,94.598852877392,15.766475479565335,0.0,0.0,10228.055807435743,2435.251382722796,4.2,8.029186754287432,1.7762395038771217,0.0,2,4.427416487523584,0.0,1.7762395038771217,10.65743702326273,0.4,0.06666666666666667,1.3995029255747795,0.0,6,10.65743702326273,0.4,8.397017553448677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,random,0,0,63.01908499288692,10.50318083214782,63.01908499288692,10.50318083214782,0.0,0.0,8703.06717510588,2559.725639737024,3.4,10.243650019975997,1.2571886941129644,0.2,3,3.800655032752318,0.058823529411764705,1.2571886941129644,3.888031328436341,0.6000000000000001,0.10000000000000002,2.7519375670856476,0.0,6,0.0,0.0,0.0,3.888031328436341,0.2,8.401687129214404,3.655100836241445,0.4,8.109938273299482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,random,0,0,368.72124400697805,65.84307928696037,201158.62934953166,33526.43822492194,0.6,0.15,7609.370223972905,1902.3425559932261,4.0,8.380354546705972,1.851252106735662,0.8,3,5.847409438791661,0.2,1.851252106735662,11.107512640413972,0.6000000000000001,0.10000000000000002,1.473436825737978,0.0,6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.107512640413972,0.4,8.840620954427868
4,random,1,0,216.8814552248901,37.39335434911898,200216.88145522497,33369.480242537495,5.0,1.0869565217391304,9346.951653385488,2031.9460116055407,4.6,7.122143702421487,0.0,1.2,0,5.707797797627967,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,random,1,1,174.06304329972238,31.082686303521857,400174.0630432997,66695.67717388329,10.0,1.6129032258064515,13688.76655625978,2207.865573590287,6.2,5.16013167268255,0.6995417101111912,1.4,2,4.184511185990914,0.22580645161290322,0.6995417101111912,4.197250260667147,0.4,0.06666666666666667,1.3841822972365965,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.197250260667147,0.4,8.30509378341958
6,random,1,1,104.61404868646146,20.118086285857974,800104.6140486866,133350.76900811444,15.0,2.5,14124.186375740774,2354.0310626234623,6.0,6.078632002270967,3.3089953872004685,1.0,3,4.433555635042849,0.16666666666666666,3.3089953872004685,11.70802016736161,0.6000000000000001,0.10000000000000002,2.930908960212614,0.0,6,11.70802016736161,0.2,8.54115371946228,0.0,0.0,0.0,0.0,0.0,0.0,8.1459521558412,0.4,9.044300041813404,0.0,0.0,0.0,0.0,0.0,0.0
7,random,1,1,157.65087496337424,31.530174992674848,1000157.6508749636,166692.94181249393,20.6,3.3225806451612905,12289.146128689075,1982.1203433369476,6.2,5.694196514233501,1.4508091455380168,1.8,2,4.855100483163432,0.2903225806451613,1.4508091455380168,8.7048548732281,0.4,0.06666666666666667,1.409929515545567,0.0,6,0.0,0.0,0.0,8.7048548732281,0.4,8.459577093273401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,random,1,1,319.2993890190329,59.129516485006086,4729.738933969209,788.2898223282015,31.4,4.131578947368421,13495.857427608184,1775.7707141589715,7.6,4.916456851774125,3.830477769038604,3.0,2,4.849440328003713,0.39473684210526316,3.830477769038604,12.211272293377533,0.4,0.06666666666666667,2.91213860750068,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.211272293377533,0.2,8.189154872439657,10.771594320854092,0.2,9.283676772564425,0.0,0.0,0.0
9,random,3,1,436.31525473848995,87.26305094769799,724062.9772703032,120677.16287838387,2.4,0.3333333333333333,14473.101751137827,2010.1530209913649,7.2,3.1589853881132224,0.0,1.4,0,3.225437149589764,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
