step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed
0,actuated,0,0,129.9360228692955,25.9872045738591,684575.448815922,114095.908135987,8.6,0.8958333333333334,19605.82805565607,2042.2737557975072,9.6,5.034504786241557,19.777950142226263,2.8,7,4.763846695684529,0.2916666666666667,19.777950142226263,100.0,1.4,0.2333333333333333,1.954917846940103,0.0,6,7.845401034646784,0.2,2.4893269281478454,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.822299818710803,0.2,9.240180153492773
1,actuated,0,0,229.98209237535949,42.58927636580731,600229.9820923754,100038.33034872923,17.4,1.8125,16002.481100236639,1666.9251146079832,9.6,6.317918378721754,14.371848008384186,3.4,9,5.621394854684006,0.3541666666666667,14.371848008384186,46.586949404309905,1.8,0.3,2.8577337933459206,0.0,6,28.54721851203294,0.8,6.189796057937168,46.586949404309905,0.8,2.3083908945365486,0.0,0.0,0.0,11.096920133962271,0.2,8.64821580760181,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,265.43696331521176,53.08739266304235,402325.70156521094,67054.28359420183,26.6,2.7142857142857144,17518.39358418319,1787.5911820595095,9.8,3.123768998950242,13.333333333333334,3.0,6,4.321308765242538,0.30612244897959184,13.333333333333334,80.0,1.2,0.19999999999999998,0.0,0.0,6,0.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,417.5931503998768,69.59885839997946,417.5931503998768,69.59885839997946,41.0,3.8679245283018866,22134.676178359357,2088.17699795843,10.6,2.968124302493636,0.0,3.2,0,1.6149351709637065,0.3018867924528302,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,147.33349388221376,25.402326531416165,702.0582075131065,117.00970125218441,56.2,5.9787234042553195,19725.414439723176,2098.4483446514014,9.4,4.528330329207269,4.062392174907974,3.2,3,2.23549418153636,0.3404255319148936,4.062392174907974,11.196970009950746,0.6000000000000001,0.10000000000000002,4.368179671326654,0.0,6,0.0,0.0,0.0,10.980510801265666,0.2,9.107044454477794,11.196970009950746,0.2,8.930987571738605,0.0,0.0,0.0,2.1968722382314354,0.2,8.171046001743525,0.0,0.0,0.0
5,actuated,0,0,236.89766167626402,45.55724263005077,519858.16229097825,86643.02704849637,75.0,8.720930232558139,17002.929256609717,1977.0847972801996,8.6,6.052177704108656,5.371134212205912,4.4,4,4.649202425470167,0.5116279069767442,5.371134212205912,21.018871515397564,0.8,0.13333333333333333,2.7092574731972916,0.0,6,11.207933757837907,0.2,8.922251162491769,0.0,0.0,0.0,0.0,0.0,0.0,21.018871515397564,0.4,7.333293676691979,0.0,0.2,0.0,0.0,0.0,0.0
6,actuated,0,0,470.57318612388906,87.14318261553501,214047.69452059508,35674.61575343251,97.0,9.7,18027.676287228573,1802.7676287228574,10.0,4.928482935005252,19.572289859933772,5.4,8,5.304173188285178,0.54,19.572289859933772,100.0,1.5999999999999999,0.26666666666666666,2.9300481112053034,0.0,6,0.0,0.0,0.0,6.428101763304426,0.4,8.49403619505465,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.005637396298198,0.2,9.086252472177168
7,actuated,0,0,274.8297034339138,45.804950572318965,274.8297034339138,45.804950572318965,122.2,11.528301886792454,19913.95601601683,1878.6750958506443,10.6,4.317965164974841,16.666666666666668,5.2,5,4.468479748266714,0.49056603773584906,16.666666666666668,100.0,1.0,0.16666666666666666,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,182.75212086167923,32.63430729672844,200664.11246376572,33444.01874396095,147.0,13.867924528301886,20649.35510279434,1948.0523681881455,10.6,5.037769067559819,26.04362283608064,5.4,9,3.8363357253893007,0.5094339622641509,26.04362283608064,100.0,1.8,0.3,2.469476369487512,0.0,6,9.454740541371507,0.2,8.774744382780044,0.0,0.0,0.0,46.80699647511233,0.6,6.042113834145027,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,1,0,472.2508559980641,81.42256137897657,854.8958599840123,142.4826433306687,88.4,6.405797101449275,24729.742574373493,1792.01033147634,13.8,4.594365838107804,35.59364389133322,5.2,14,4.63896918698905,0.37681159420289856,35.593643891333215,100.0,2.8,0.4666666666666666,2.984238131111521,0.0,6,0.0,0.2,0.0,10.578911798305057,0.2,9.452768101915916,100.0,1.0,0.0,100.0,1.0,0.0,2.982951549694235,0.4,8.452660684753209,0.0,0.0,0.0
10,actuated,2,1,198.808917324768,33.134819554128,198.808917324768,33.134819554128,8.2,0.6721311475409836,23545.78119754442,1929.9820653724935,12.2,4.427560064231423,5.065768469573773,2.4,4,4.285607229603713,0.19672131147540983,5.065768469573773,30.39461081744264,0.8,0.13333333333333333,0.2566545998027056,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,30.39461081744264,0.6,1.5399275988162335,0.0,0.0,0.0,0.0,0.0,0.0
11,actuated,2,2,172.00381642908158,29.65583041880717,200172.0038164291,33362.00063607151,23.0,2.2549019607843137,22477.373153485118,2203.6640346554036,10.2,4.802610214432198,3.4008553880826753,3.4,4,3.198014887536392,0.3333333333333333,3.4008553880826753,11.487327057130301,0.8,0.13333333333333333,2.8578498625041195,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,11.487327057130301,0.2,8.705245310999393,0.0,0.2,0.0,8.91780527136575,0.4,8.441853864025324,0.0,0.0,0.0
12,actuated,2,2,306.3494583206928,66.59770833058539,228410.2363992982,38068.37273321637,40.8,4.163265306122449,15779.93150371851,1610.1970922161745,9.8,3.3408979497549587,4.766209581723426,4.8,4,3.98655325208853,0.4897959183673469,4.766209581723426,12.829160615033288,0.8,0.13333333333333333,4.153798969128318,0.0,6,12.829160615033288,0.2,7.794742228327814,11.654036289115766,0.2,8.58071808935369,0.0,0.0,0.0,4.114060586191499,0.4,8.547333497088403,0.0,0.0,0.0,0.0,0.0,0.0
13,actuated,2,2,271.35364246844176,54.27072849368835,902149.2060938764,150358.20101564607,69.0,6.764705882352941,19319.9651562732,1894.1142310071766,10.2,4.2898990607080485,0.0,6.2,0,4.748056795720348,0.6078431372549019,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
