step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed
0,actuated,0,0,388.81485482795523,52.54254794972368,1600388.8148548282,177820.97942831425,22.0,1.8644067796610169,25123.167892886988,2129.082024820931,11.8,4.695209130502191,2.6424432472947816,3.8,4,4.279998605335471,0.3220338983050847,2.6424432472947816,15.380272034864504,0.8,0.08888888888888889,1.3407465361278605,0.0,9,15.380272034864504,0.4,3.4443405712139783,0.0,0.0,0.0,8.401717190788531,0.4,8.622378253936768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,316.19966426342114,36.76740282132804,400316.1996642634,44479.57774047371,37.0,3.5576923076923075,22387.237388762645,2152.618979688716,10.4,5.901458627629196,2.5677690634212365,3.6,4,5.056296844907965,0.34615384615384615,2.5677690634212365,11.529476719917966,0.8,0.08888888888888889,2.9090873679663423,0.0,9,0.0,0.0,0.0,11.529476719917966,0.2,8.67342052282764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5158264404556689,0.4,8.470548460632562,11.064618410417495,0.2,9.037817328236876,0.0,0.0,0.0
2,actuated,0,0,332.14667732008746,38.62170666512645,400332.14667732024,44481.34963081336,52.0,4.193548387096774,25897.545807655624,2088.511758681905,12.4,3.3520641602354337,0.7286777722794745,3.6,1,3.034479947637206,0.2903225806451613,0.7286777722794745,6.55809995051527,0.2,0.022222222222222223,0.9077432312071322,0.0,9,6.55809995051527,0.2,8.16968908086419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,433.1379656275576,48.126440625284175,433.1379656275576,48.126440625284175,67.2,5.090909090909091,25966.956601717724,1967.1936819483126,13.2,4.585793951087053,3.328478714845618,3.6,6,3.341481897249926,0.2727272727272727,3.328478714845618,11.67795763047991,1.2,0.13333333333333336,2.778409470034301,0.0,9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.634636039361226,0.4,8.491031747031958,6.643714763769424,0.4,7.951512293331325,11.67795763047991,0.2,8.563141189945426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,315.02877919143026,41.45115515676714,100234.86040141039,11137.206711267821,92.0,5.542168674698795,34785.36149371877,2095.5037044408896,16.6,4.722110338830346,5.352280677180185,6.6,5,4.06206415511012,0.39759036144578314,5.352280677180185,22.776758510044033,1.0,0.1111111111111111,3.823656868018829,0.0,9,2.5710810995144584,0.2,8.100651352293788,11.418177999700276,0.2,8.757964712288157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.776758510044033,0.4,8.785833684681002,0.0,0.0,0.0,11.404508485362896,0.2,8.768462062906515
5,actuated,0,0,271.025933951668,33.8782417439585,1000271.0259339515,111141.22510377239,122.0,9.104477611940299,27580.12836554474,2058.218534742145,13.4,4.676990668544614,1.2603821031904596,6.2,2,4.140226784668682,0.4626865671641791,1.2603821031904596,11.343438928714136,0.4,0.044444444444444446,0.9795187492026847,0.0,9,0.0,0.2,0.0,0.0,0.0,0.0,11.343438928714136,0.2,8.815668742824162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,310.8328382373623,39.85036387658491,701917.8001486551,77990.8666831839,153.2,10.63888888888889,27683.785743711214,1922.4851210910565,14.4,5.007856997915377,11.455683086503793,7.2,7,4.558952952504649,0.5,11.455683086503793,80.39416596291517,1.4,0.15555555555555556,2.7972841098730186,0.0,9,0.0,0.0,0.0,11.40925073493122,0.2,8.764817455876768,0.0,0.0,0.0,0.0,0.0,0.0,80.39416596291517,1.0,7.559404757368759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.297731080687754,0.2,8.85133477561164
7,actuated,0,0,297.50423797123943,39.14529446989993,1200833.1189320588,133425.90210356208,188.2,13.253521126760564,26289.76170174608,1851.391669137048,14.2,4.680020706720604,20.237686865731348,7.6,10,4.637303347633432,0.5352112676056338,20.237686865731348,100.0,2.0,0.2222222222222222,1.5343570179988306,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.15267319581653,0.8,5.466500252633504,100.0,1.0,0.0,0.0,0.0,0.0,11.9865085957656,0.2,8.342712909355972,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,183.8625714948055,27.03861345511846,2040681.1166017945,226742.34628908828,227.0,15.76388888888889,28224.673534029374,1960.0467731964843,14.4,4.171476249637548,23.75307274814588,8.2,13,4.2201784556944935,0.5694444444444444,23.753072748145883,100.0,2.6,0.2888888888888889,1.9369531801280877,0.0,9,6.53362989390132,0.4,8.710408659745008,7.2440248394116225,0.2,8.722169961407781,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,0,0,294.1902139850203,45.96722093515942,2208236.586037028,245359.6206707809,268.8,16.390243902439025,28330.741124409127,1727.4842149029957,16.4,3.9273877585304264,33.05814974314754,9.6,18,4.409464063426066,0.5853658536585366,33.05814974314754,100.0,3.6,0.4,2.6123006618819735,0.0,9,0.0,0.0,0.0,0.0,0.2,0.0,11.974151586537118,0.2,8.351322369463976,100.0,1.0,0.0,100.0,1.0,0.0,85.48853277436024,1.0,6.631207277374127,0.06066332743046132,0.2,8.528176310099662,0.0,0.0,0.0,0.0,0.0,0.0
10,actuated,0,0,661.2686545854344,103.32322727897413,1749297.7065181707,194366.4118353523,321.2,16.729166666666668,33528.62497645888,1746.2825508572332,19.2,3.0488243182327626,35.14677420743908,11.8,18,4.043215006558507,0.6145833333333334,35.14677420743908,100.0,3.6,0.39999999999999997,1.857063275368662,0.0,9,0.0,0.0,0.0,4.936910404827017,0.2,7.92935520913452,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.384057462124701,0.4,8.784214269183439,0.0,0.0,0.0,0.0,0.0,0.0
11,actuated,2,0,521.7249367410473,68.64801799224307,1400521.7249367414,155613.52499297127,65.6,3.28,38657.70077688632,1932.8850388443159,20.0,3.3769270503827467,20.0,6.0,13,4.164386278754676,0.3,20.0,60.0,2.6,0.2888888888888889,0.0,0.0,9,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,60.0,0.8,0.0,60.0,0.8,0.0,60.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,actuated,2,2,256.08035320458777,32.83081451340869,1000581.3369957532,111175.70411063924,47.4,2.788235294117647,32592.602715573546,1917.2119244455027,17.0,4.148659292912197,4.987130506200212,6.0,5,3.8481659634893406,0.35294117647058826,4.987130506200212,11.558760389186205,1.0,0.1111111111111111,3.576126575527823,0.0,9,0.0,0.0,0.0,11.412810089245795,0.2,8.762083940591392,0.0,0.0,0.0,0.0,0.0,0.0,10.906609464249186,0.2,9.168752244021421,11.00599461312072,0.4,5.602856245401781,0.0,0.0,0.0,11.558760389186205,0.2,8.65144674973581,0.0,0.0,0.0
13,actuated,2,2,440.3710996107369,55.04638745134211,803688.6049227536,89298.73388030595,81.2,4.461538461538462,33920.06155235002,1863.7396457335171,18.2,3.700408262544893,1.193041374860147,8.4,4,3.9553857542902273,0.46153846153846156,1.193041374860147,6.816944564170058,0.8,0.08888888888888889,1.8749460510185196,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9204278095712652,0.4,8.305558626726269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.816944564170058,0.4,8.568955832440407
14,actuated,2,2,420.02122356369625,47.72968449587457,200420.02122356376,22268.89124706264,121.4,6.389473684210526,33235.27411098167,1749.2249532095616,19.0,3.9106471711253246,10.539652538197466,9.0,9,4.414764599999827,0.47368421052631576,10.539652538197466,90.61796745035736,1.8,0.2,2.398010073777028,0.0,9,2.3136983521618504,0.4,8.17637828141451,0.0,0.0,0.0,1.925207041257977,0.4,8.313459613826126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.61796745035736,1.0,5.092252768752616,0.0,0.0,0.0,0.0,0.0,0.0
15,actuated,2,2,354.1143153885931,40.24026311234012,200354.11431538855,22261.568257265393,173.0,8.65,38774.579368747545,1938.7289684373773,20.0,4.353868822546426,16.26959290302289,11.6,9,4.315740193536824,0.58,16.26959290302289,100.0,1.8,0.2,2.5691752254799365,0.0,9,29.32301710593947,0.4,5.656240210534959,0.0,0.0,0.0,0.0,0.0,0.0,11.11871368546872,0.2,8.805065155774356,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,5.9846053357978235,0.2,8.661271663010117
16,actuated,2,2,818.6771466735613,110.63204684777855,130976.81859352246,14552.979843724717,234.0,10.086206896551724,35015.02108605018,1509.2681502607838,23.2,2.923844258419164,40.87475711888929,14.6,22,3.9306680710240385,0.6293103448275862,40.87475711888929,100.0,4.4,0.48888888888888893,2.176895414287479,0.0,9,100.0,1.0,0.0,70.55251932178294,0.8,5.188261051837003,85.23483278651838,1.0,6.129393246295726,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,12.085461961702322,0.2,8.274404430454581,0.0,0.2,0.0
17,actuated,2,2,936.4118721058109,137.70762825085455,1227923.225774482,136435.91397494244,320.2,12.606299212598426,42702.9868921212,1681.2199563827244,25.4,1.573107155711219,45.7017692964619,18.6,21,2.3338245077391684,0.7322834645669292,45.7017692964619,100.0,4.2,0.4666666666666667,0.9819005002992088,0.0,9,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.315923668157097,0.2,8.83710450269288,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,actuated,0,2,429.6220538573044,55.07975049452621,1003582.3184133733,111509.14649037481,60.4,2.672566371681416,42616.36697218885,1885.6799545216304,22.6,2.30134114001471,26.86624413641501,6.0,20,2.1222033878883346,0.26548672566371684,26.86624413641501,60.0,4.000000000000001,0.44444444444444453,1.7958732459590665,0.0,9,60.0,0.8,0.0,60.0,0.8,0.0,60.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5314092537514625,0.4,8.099886649381368,60.0,0.8,0.0,0.0,0.0,0.0,1.2647879739836299,0.4,8.06297256425023
