step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed
0,random,0,0,266.1237379352032,30.94462069013991,200717.51924017616,22301.946582241795,24.2,1.375,35685.11499103283,2027.563351763229,17.6,4.196894509660279,8.382623913933855,3.8,14,3.66469952540545,0.2159090909090909,8.382623913933855,32.0800276734181,2.8,0.3111111111111111,2.195975544223145,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9233718988995747,0.4,8.2184773074463,0.0,0.0,0.0,0.0,0.0,0.0,27.495592802119972,1.0,3.6994568220753625,11.94462285096705,0.4,3.8051310312057116,32.0800276734181,1.0,4.0407147372809336
1,random,0,0,201.39053229796144,25.17381653724518,514274.12137064245,57141.56904118249,43.0,2.8289473684210527,32508.406549721665,2138.7109572185304,15.2,4.793868884345907,1.6504650991386585,4.6,5,3.747546140393393,0.3026315789473684,1.6504650991386585,7.199967195250281,1.0,0.1111111111111111,2.7961124949985074,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199967195250281,0.4,8.660488799680024,2.7222694139919668,0.2,8.260201524570585,0.0,0.0,0.0,0.0,0.0,0.0,4.931949283005679,0.4,8.244322130735961
2,random,0,0,308.59900408415217,39.563974882583615,607073.6600409868,67452.62889344298,65.8,4.061728395061729,30331.46127929201,1872.3124246476548,16.2,4.464226768940417,3.1678243582722923,6.0,5,4.038668793520186,0.37037037037037035,3.1678243582722923,17.17615287396228,1.0,0.1111111111111111,1.9256415270929093,0.0,9,17.17615287396228,0.6,8.507970669714725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,11.334266350488349,0.2,8.822803074121458,0.0,0.0,0.0
3,random,0,0,368.51357392173514,42.850415572294786,112439.63854628822,12493.293171809803,99.6,5.354838709677419,35727.039365334655,1920.808568028745,18.6,5.123612535465634,8.048895190034544,8.0,5,4.741453948585766,0.43010752688172044,8.048895190034544,39.170970071779436,1.0,0.1111111111111111,3.3232010982785667,0.0,9,0.0,0.0,0.0,11.85687458988184,0.2,8.433925756905264,0.0,0.0,0.0,0.0,0.0,0.0,39.170970071779436,0.4,4.026573924403387,0.0,0.0,0.0,11.849954753009229,0.2,8.438850787561494,0.0,0.0,0.0,9.562257295640393,0.2,9.009459415636956
4,random,1,0,255.4181343287793,28.3797927031977,255.4181343287793,28.3797927031977,61.6,3.460674157303371,34467.93996010318,1936.401121354111,17.8,5.536375098295674,8.523350842733793,5.8,9,4.6313505771846355,0.3258426966292135,8.523350842733793,60.0,1.8,0.2,1.879266663816654,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.8,0.0,0.0,0.0,0.0,10.274726809023775,0.4,8.240392165537923,6.4354307755803575,0.4,8.673007808811962,0.0,0.2,0.0
5,random,1,1,341.82632789087586,38.843900896690435,200341.82632789089,22260.20292532121,83.2,4.7272727272727275,34226.16981504327,1944.668739491095,17.6,5.069573719346317,6.435021864817511,6.6,7,4.4732218812304385,0.375,6.435021864817511,27.444360470892093,1.4000000000000001,0.15555555555555556,3.0941905116837947,0.0,9,11.027363019219365,0.2,9.068351139407676,0.0,0.0,0.0,0.0,0.0,0.0,9.358589156307175,0.4,8.374950310867279,27.444360470892093,0.6,1.8968578967913863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.084884136938967,0.2,8.507555258087814
6,random,1,1,487.07544200281745,55.34948204577471,687.7067754944995,76.41186394383328,119.4,6.784090909090909,30735.27201315118,1746.3222734744988,17.6,6.0728047167136685,17.25070962136278,8.8,10,5.505361378100677,0.5,17.25070962136278,94.73988985582992,2.0,0.2222222222222222,1.4284370340377817,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.73988985582992,1.0,4.733653165051681,0.0,0.0,0.0,60.5164967364351,0.8,8.122280141288353,0.0,0.2,0.0
7,random,1,1,388.0349740626389,44.094883416208965,200388.03497406267,22265.337219340297,167.6,8.38,36475.940079500404,1823.7970039750203,20.0,5.435712581839122,32.195281788061656,11.0,18,5.2997032698511495,0.55,32.195281788061656,100.0,3.5999999999999996,0.39999999999999997,2.5955240196976046,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083551718181752,0.4,8.511600650195032,100.0,1.0,0.0,20.126269724194117,0.4,7.649293958794107,100.0,1.0,0.0,63.547714650179046,0.8,7.1988215682893
8,random,1,1,436.0451384715717,54.50564230894646,291591.8780170018,32399.097557444642,226.0,9.658119658119658,41324.49934555335,1766.0042455364678,23.4,3.4947366378113576,45.71847955910237,13.6,21,4.331883941232033,0.5811965811965812,45.71847955910237,100.0,4.2,0.4666666666666667,0.9690218794056117,0.0,9,0.0,0.0,0.0,11.466316031921338,0.2,8.721196914650506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
9,random,1,1,613.3943563427769,74.80418979789962,202374.8632568118,22486.095917423532,296.2,11.392307692307693,46725.39711124639,1797.1306581248612,26.0,3.320025245745201,45.63988062301317,15.8,23,3.959744324834872,0.6076923076923076,45.63988062301317,100.0,4.6,0.5111111111111111,1.8456151655771664,0.0,9,1.1495282337159551,0.2,8.06148631395772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.609397373402544,0.4,8.549050176236777,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
