step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed
0,mixed_20,0,0,278.8407886415413,31.686453254720597,200278.84078864148,22253.204532071275,35.2,1.543859649122807,48202.67575054711,2114.1524451994346,22.8,3.426094391489854,18.572428685068054,5.4,18,1.3087546022890288,0.23684210526315788,18.57242868506805,60.160462798114054,3.5999999999999996,0.39999999999999997,4.007722029143688,0.0,9,18.89964172742026,0.4,3.4617192252044098,25.53379878921959,0.6,3.271759847832245,11.337041767306744,0.4,3.3963057806558647,0.0,0.0,0.0,11.806256884633797,0.2,8.47008505550587,60.160462798114054,0.8,8.097240384779557,0.0,0.0,0.0,19.755011921210723,0.4,3.975936392843604,19.659644277707287,0.8,5.396451575471639
1,mixed_20,0,0,319.07663637433063,36.25870867890121,200319.07663637432,22257.67518181937,60.2,3.1354166666666665,37983.87816428515,1978.326987723185,19.2,3.719896912895207,13.758514587556668,6.0,9,2.5245637942374493,0.3125,13.758514587556666,100.0,1.8,0.2,2.876868998311043,0.0,9,0.0,0.0,0.0,1.093527709915918,0.4,8.296246673446147,0.0,0.0,0.0,11.34105087304306,0.2,8.817525035329266,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.392052705051015,0.2,8.778049276023973,0.0,0.0,0.0
2,mixed_20,0,0,349.1718306650979,38.79687007389977,349.1718306650979,38.79687007389977,94.0,4.7,40034.010640711575,2001.7005320355788,20.0,3.1691456100036595,12.422741540951439,8.4,9,1.7567433500520253,0.42,12.422741540951437,100.0,1.7999999999999998,0.19999999999999998,1.8640358541160817,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,5.080809160021431,0.4,8.346812250278889,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.723864708541498,0.4,8.429510436765847
3,mixed_20,0,0,402.9787060430739,44.775411782563765,402.9787060430739,44.775411782563765,135.2,6.438095238095238,40240.20780068784,1916.2003714613256,21.0,4.122785393500007,20.594594763050193,9.2,13,2.8369069976640686,0.4380952380952381,20.594594763050193,100.0,2.6000000000000005,0.28888888888888886,4.028600817983102,0.0,9,4.6071098050663295,0.4,8.448639833647759,0.0,0.0,0.0,0.0,0.0,0.0,26.061603476111372,0.4,6.278428946196549,35.2724574789562,0.4,4.776655189952061,100.0,1.0,0.0,11.613532867997378,0.2,8.610644248966066,7.796649239320459,0.2,8.14303914308548,0.0,0.0,0.0
4,mixed_20,0,0,620.4188371413285,73.85938537396767,400870.2277943114,44541.136421590156,185.0,8.043478260869565,44833.18239069681,1949.2687995955137,23.0,4.395714397172343,36.73346908082146,11.8,20,4.117265202168953,0.5130434782608696,36.73346908082146,100.0,4.0,0.4444444444444444,2.978543763576715,0.0,9,8.656518799009802,0.4,8.556281619518996,11.361688020590748,0.2,8.801509055588426,10.583014907792574,0.2,9.449103197083014,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
5,mixed_20,0,0,498.94645535123584,56.698460835367705,200498.94645535128,22277.660717261253,242.0,10.083333333333334,46288.15897968868,1928.6732908203617,24.0,2.768229484084501,35.90811742240943,12.6,17,2.23401780209766,0.525,35.90811742240943,100.0,3.4000000000000004,0.3777777777777778,1.9183504582486077,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.416263041733146,0.2,8.759433768689568,11.756793759951734,0.2,8.5057203555479
6,mixed_20,0,0,725.0438873948052,82.39135084031876,1468.4274458969173,163.15860509965748,305.2,11.303703703703704,50081.61930959051,1854.874789244093,27.0,3.1352709252895505,34.585795358720475,14.4,16,2.1928788843653257,0.5333333333333333,34.585795358720475,100.0,3.2,0.35555555555555557,0.9857128409565613,0.0,9,0.0,0.0,0.0,11.272158228484273,0.2,8.871415568609052,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mixed_20,0,0,503.01278226629586,55.89030914069954,503.01278226629586,55.89030914069954,377.2,13.867647058823529,51766.073725898044,1903.16447521684,27.2,4.453529001818321,37.20657646108438,15.2,23,3.310869700676611,0.5588235294117647,37.20657646108438,100.0,4.6000000000000005,0.5111111111111111,2.8846466653818887,0.0,9,13.385055478898948,0.8,8.825149810168893,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,9.63891161153299,0.4,8.75584482513368,11.835221059327523,0.4,8.380825353134423,0.0,0.0,0.0
8,mixed_20,0,0,689.7462971297695,78.3802610374738,13606.20204793055,1511.8002275478389,456.2,17.412213740458014,47369.628043449986,1808.0010703606865,26.2,6.365019605566382,35.36041711625526,16.8,22,5.1913461487281065,0.6412213740458015,35.36041711625526,100.0,4.4,0.48888888888888893,3.776286600354231,0.0,9,0.0,0.0,0.0,6.928688657128532,0.2,8.718697724211962,1.2916691003158576,0.4,8.487216014508157,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,7.3156930822705135,0.4,8.702536844834686,2.707703206582437,0.4,8.078128819633275
9,mixed_20,0,0,694.8133130038126,93.89369094646116,1537869.1223588297,170874.34692875887,546.8,17.869281045751634,50194.96828705423,1640.358440753406,30.6,3.463892617765946,34.239836515589495,21.2,18,4.484410484414788,0.6928104575163399,34.239836515589495,100.0,3.6,0.4,0.944414092351993,0.0,9,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.158528640305462,0.4,8.499726831167937
