step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,mixed_20,0,0,165.32273684658497,34.442236843038536,200165.32273684657,40033.064547369315,1.4,0.1891891891891892,14542.757616833667,1965.2375157883334,7.4,4.513095731115074,3.5352620916066257,1.0,3,3.479212628199382,0.13513513513513514,3.5352620916066257,16.39957913325361,0.6000000000000001,0.12000000000000002,2.532200989971244,0.0,5,1.2767313247795187,0.2,8.484559809695929,0.0,0.0,0.0,16.39957913325361,0.4,4.1764451401602924,0.0,0.0,0.0,0.0,0.0,0.0
1,mixed_20,0,0,102.79160024272264,22.346000052765792,3212.7123295941647,642.5424659188329,0.6,0.08108108108108109,15842.188716955341,2140.836313102073,7.4,4.659475613299188,0.0,0.8,1,2.9048871681436665,0.10810810810810811,0.0,0.0,0.2,0.04,0.0,0.0,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mixed_20,0,0,199.0594344248486,55.29428734023572,704290.165055038,140858.03301100762,5.2,0.7878787878787878,12158.378498999287,1842.1785604544375,6.6,3.662648791239351,5.284645643841145,1.4,4,2.9628575173962277,0.21212121212121213,5.284645643841145,11.621094044342044,0.8,0.16,5.302589242886727,0.0,5,0.0,0.0,0.0,10.556122775691392,0.2,9.47317515388128,4.246011399172289,0.4,8.43472926169634,11.621094044342044,0.2,8.605041798856016,0.0,0.0,0.0
3,mixed_20,0,0,178.3832261755544,49.55089615987622,1104889.6375597822,220977.92751195646,14.0,2.0588235294117645,14333.469890581746,2107.8632192031982,6.8,2.8173400616906754,2.253471740079817,2.4,1,2.6530498920502064,0.35294117647058826,2.253471740079817,11.267358700399086,0.2,0.04,1.775038900580276,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.267358700399086,0.2,8.87519450290138
4,mixed_20,0,0,99.20588540428193,24.801471351070482,1000099.2058854045,200019.8411770809,24.0,3.4285714285714284,15644.424111631099,2234.917730233014,7.0,4.043183975340054,2.876658810549202,2.0,3,2.8883706058377814,0.2857142857142857,2.876658810549202,10.887795500631796,0.6000000000000001,0.12000000000000002,3.5415222554653703,0.0,5,0.0,0.0,0.0,3.4954985521142135,0.4,8.523015553224832,0.0,0.0,0.0,0.0,0.0,0.0,10.887795500631796,0.2,9.184595724102019
5,mixed_20,0,0,121.33070490080112,33.70297358355587,1020540.4097752923,204108.08195505844,34.6,5.580645161290323,11963.015373105682,1929.5186085654325,6.2,3.861514809059059,0.5709281867524396,2.6,2,3.1771885755492413,0.41935483870967744,0.5709281867524396,2.854640933762198,0.4,0.08,1.7787902546115215,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,2.854640933762198,0.4,8.893951273057608,0.0,0.0,0.0,0.0,0.0,0.0
6,mixed_20,0,0,389.5677405605642,88.53812285467367,200970.0641417355,40194.0128283471,49.6,4.96,17072.87952431749,1707.2879524317489,10.0,1.9674083292442708,3.3325802024286304,4.0,3,1.7771934756313177,0.4,3.3325802024286304,12.762223818040752,0.6000000000000001,0.12000000000000002,3.335832587801599,0.0,5,12.762223818040752,0.2,7.835624999668116,3.9006771941024,0.4,8.84353793933988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mixed_20,0,0,298.41550799754305,64.87293652120502,26946.14146569222,5389.228293138444,73.2,6.777777777777778,19609.958085262893,1815.736859746564,10.8,2.0078356448664714,0.0,5.8,0,1.0686130514446477,0.5370370370370371,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mixed_20,3,0,150.85532378744648,30.171064757489297,150.85532378744648,30.171064757489297,61.2,5.884615384615385,21443.36183551699,2061.8617149535567,10.4,3.342455600343536,2.885789113090027,4.4,2,0.7854559903458945,0.4230769230769231,2.885789113090027,12.540345688883576,0.4,0.08,3.3932693230291155,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.888599876566559,0.2,8.992084782104941,0.0,0.0,0.0,12.540345688883576,0.2,7.974261833040638
9,mixed_20,3,3,413.08669544339665,114.7463042898324,22658.405345757987,4531.6810691515975,83.4,7.867924528301887,15653.57856493193,1476.752694804899,10.6,2.287484892448779,4.654851255149765,6.0,3,2.4283796520284833,0.5660377358490566,4.654851255149765,11.720742737766159,0.6000000000000001,0.12000000000000002,3.4374516368884565,0.0,5,0.0,0.0,0.0,11.553513537982667,0.2,8.655375671759568,0.0,0.2,0.0,11.720742737766159,0.2,8.531882512682714,0.0,0.0,0.0
