step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,actuated,0,0,154.3896478336488,30.87792956672976,154.3896478336488,30.87792956672976,15.0,0.8241758241758241,36646.575285520055,2013.548092610992,18.2,3.647816131197427,9.230955872876734,2.6,8,1.559175029814613,0.14285714285714285,9.230955872876734,28.837351695681832,1.6,0.32,2.8301677719224103,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,4.828992511849037,0.4,6.335628349852584,28.837351695681832,0.6,3.8362696563491934,12.488435156852802,0.6,3.9789408534102746
1,actuated,0,0,119.18506403189217,23.837012806378432,119.18506403189217,23.837012806378432,28.0,1.7721518987341771,34883.19925567069,2207.7974212449803,15.8,4.9794783843767565,14.52688539046062,3.4,11,2.7602851894929756,0.21518987341772153,14.52688539046062,40.11910610502696,2.2,0.44000000000000006,5.562367071608998,0.0,5,40.11910610502696,0.6,8.095972424751753,11.237154981633921,0.2,8.899049640539856,0.0,0.0,0.0,11.883629988508346,0.8,5.452068924797371,9.394535877133876,0.6,5.36474436795601
2,actuated,0,0,288.3608459063225,57.67216918126449,288.3608459063225,57.67216918126449,46.6,3.640625,24207.856770424714,1891.2388101894308,12.8,5.547076852897295,26.0894891155059,5.0,11,4.650596014783144,0.390625,26.0894891155059,100.0,2.1999999999999997,0.43999999999999995,4.35846684342367,0.0,5,100.0,1.0,0.0,0.0,0.0,0.0,15.463294025580012,0.2,6.466927411105028,5.479685771516074,0.6,6.4021232187103125,9.504465780433407,0.4,8.923283587303011
3,actuated,0,0,179.34816416089166,40.76094640020265,583245.4540087993,116649.09080175986,73.0,5.367647058823529,27349.900596628082,2011.0221026932413,13.6,3.793087314715957,24.242847377415327,6.0,7,3.556369396344001,0.4411764705882353,24.24284737741533,100.0,1.4,0.27999999999999997,3.77559246502815,0.0,5,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.974936869009468,0.2,9.111669724713906,10.239300018067183,0.2,9.766292600426846
4,actuated,0,0,248.843419166596,59.248433134903806,800248.8434191665,160049.7686838333,104.2,7.442857142857143,26525.33848801435,1894.6670348581679,14.0,3.1493996113132834,20.412977194524956,7.6,7,2.5192603499352106,0.5428571428571428,20.412977194524956,100.0,1.4,0.27999999999999997,1.7687112290784714,0.0,5,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0648859726247792,0.4,8.843556145392357,0.0,0.0,0.0
5,actuated,0,0,303.4100123739164,60.68200247478328,303.4100123739164,60.68200247478328,139.2,8.592592592592593,31507.211993378034,1944.8896292208663,16.2,3.073136048236248,22.77458617928215,7.6,8,1.9514411766168376,0.4691358024691358,22.774586179282153,100.0,1.5999999999999999,0.31999999999999995,5.3891423728130565,0.0,5,100.0,1.0,0.0,10.664911145642293,0.2,9.376543192379078,0.0,0.0,0.0,0.53857834023745,0.2,8.818966348376126,2.6694414105310216,0.2,8.750202323310075
6,actuated,0,0,239.17935854858132,47.835871709716265,239.17935854858132,47.835871709716265,178.0,10.72289156626506,32308.445124505954,1946.2918749702383,16.6,3.3258458192430647,20.0,8.4,7,1.8400903909419644,0.5060240963855421,20.0,100.0,1.4,0.27999999999999997,0.0,0.0,5,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0
7,actuated,0,0,309.7545141020616,61.95090282041232,309.7545141020616,61.95090282041232,219.4,12.054945054945055,34454.67596638459,1893.1140640870653,18.2,3.964968396708284,26.036402996500556,9.6,8,2.730532443235366,0.5274725274725275,26.036402996500556,100.0,1.5999999999999999,0.31999999999999995,5.535824874676668,0.0,5,100.0,1.0,0.0,10.605834597300827,0.2,9.428772350027964,0.0,0.0,0.0,8.761895582454144,0.2,9.003323502838612,10.814284802747807,0.2,9.247028520516766
8,actuated,0,0,397.5265762277546,79.50531524555092,397.5265762277546,79.50531524555092,269.2,14.473118279569892,34513.92688899895,1855.587467150481,18.6,2.983510632785346,41.44994891835257,10.8,12,2.134971297161807,0.5806451612903226,41.44994891835256,100.0,2.4000000000000004,0.4800000000000001,1.8426270602108434,0.0,5,100.0,1.0,0.0,0.0,0.0,0.0,96.38191848963402,1.0,0.011663078342444335,0.0,0.2,0.0,10.867826102128788,0.2,9.201472222711773
9,actuated,0,0,227.52190464296132,54.17188205784793,408725.49614022777,81745.09922804555,324.6,17.835164835164836,32251.898532168776,1772.0823369323505,18.2,2.86005750664825,42.22633768786829,12.0,12,1.9682187028349598,0.6593406593406593,42.226337687868295,100.0,2.4,0.48,1.7303638320602477,0.0,5,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,11.131688439341474,0.4,8.651819160301239,0.0,0.0,0.0
10,actuated,1,0,712.5573715627075,148.4494524088974,1054.151492994367,210.83029859887338,301.8,14.371428571428572,37971.61499433087,1808.1721425871842,21.0,3.1451725311414855,48.820459867154234,10.6,16,2.379111236554782,0.5047619047619047,48.82045986715423,100.0,3.2,0.64,4.8573623955293055,0.0,5,100.0,1.0,0.0,32.45290076957076,0.8,6.136567349846633,100.0,1.0,0.0,10.541848998740875,0.2,9.486001934949368,1.1075495674595004,0.2,8.66424269285053
11,actuated,2,1,524.3621313761016,113.99176769045688,4316.735642012531,863.3471284025061,127.2,5.781818181818182,36580.63986399498,1662.756357454317,22.0,1.867368164702194,32.0,9.6,10,1.4258700527386365,0.43636363636363634,32.0,100.0,2.0,0.4,0.0,0.0,5,60.0,0.8,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
12,actuated,2,2,305.6756785729227,76.41891964323068,496094.9874356153,99218.99748712305,66.8,3.0642201834862384,38891.690260230906,1784.0224890014179,21.8,1.9304515330898055,33.41803551249723,9.8,12,1.4874177456347106,0.44954128440366975,33.41803551249723,100.0,2.4000000000000004,0.4800000000000001,3.7802318166997253,0.0,5,42.85172843230555,1.0,2.3983257576661847,0.0,0.0,0.0,100.0,1.0,0.0,12.152887051548191,0.2,8.22849744063578,12.085562078632393,0.2,8.274335885196665
13,actuated,2,2,560.1195264656919,116.69156801368582,780.856167404146,156.17123348082922,84.8,3.4754098360655736,44502.14914557749,1823.858571540061,24.4,1.6304517475445959,46.29331147215236,10.2,16,1.057992053039418,0.4180327868852459,46.29331147215237,100.0,3.2,0.64,4.029084228277011,0.0,5,23.688214672478125,0.8,4.348008519701896,34.05306686424524,0.4,2.526937980908762,100.0,1.0,0.0,73.07985568131585,0.8,5.097446318073295,0.645420142722628,0.2,8.1730283227011
