step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed
0,mixed_20,0,0,265.6466597912712,88.5488865970904,1000265.6466597912,250066.4116649478,28.6,2.234375,23076.53606364137,1802.854379971982,12.8,1.4484572047952722,12.866301774110767,5.4,5,1.2734777632125227,0.421875,12.866301774110767,31.022692900567108,1.0,0.25,2.339722443232144,0.0,4,0.0,0.0,0.0,20.442514195875958,0.4,5.371899489685408,31.022692900567108,0.6,3.986990283243168,0.0,0.0,0.0
1,mixed_20,0,0,223.78858451949372,74.59619483983124,1000223.7885845195,250055.94714612988,49.6,3.6470588235294117,22726.142522909016,1671.039891390369,13.6,1.1054407723320057,50.0,6.4,10,0.7760258744228766,0.47058823529411764,50.0,100.0,2.0,0.5,0.0,0.0,4,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
2,mixed_20,0,0,245.92487478247943,76.85152336952481,800245.9248747823,200061.48121869558,87.0,6.126760563380282,25043.938471182453,1763.6576388156657,14.2,1.8635685071982817,30.527336940057666,8.4,8,1.7078101599889597,0.5915492957746479,30.527336940057666,100.0,1.6,0.4,1.8827446913396546,0.0,4,22.109347760230662,0.4,7.530978765358618,0.0,0.2,0.0,100.0,1.0,0.0,0.0,0.0,0.0
3,mixed_20,0,0,394.18472373420775,98.54618093355194,394.18472373420775,98.54618093355194,132.0,8.91891891891892,25700.720073994093,1736.535140134736,14.8,1.9447701622547737,52.69736157303,10.0,11,1.935306282242474,0.6756756756756757,52.69736157303001,100.0,2.2,0.55,2.3170790532836247,0.0,4,100.0,1.0,0.0,10.789446292120033,0.2,9.268316213134499,100.0,1.0,0.0,0.0,0.0,0.0
4,mixed_20,0,0,221.34213390727405,58.24792997559844,1898.1433923066102,474.53584807665254,182.2,12.479452054794521,25447.31782540952,1742.9669743431177,14.6,2.4663061695128494,50.0,10.6,10,1.7282644940416996,0.726027397260274,50.0,100.0,2.0,0.5,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
5,mixed_20,0,0,665.119135276583,175.0313513885745,962.009695358783,240.50242383969575,239.0,14.9375,27556.15385197496,1722.259615748435,16.0,3.007882292592032,51.39397094833,12.0,12,3.0158542000497084,0.75,51.39397094833001,100.0,2.4,0.6,2.292689585895278,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,5.575883793320031,0.4,9.170758343581111
6,mixed_20,0,0,309.41243869750923,96.69138709297162,78180.95498721307,19545.23874680327,301.0,16.72222222222222,29286.935318144773,1627.051962119154,18.0,1.2195869764770337,52.41058370822814,13.2,12,1.347449444081744,0.7333333333333333,52.41058370822813,100.0,2.4,0.6,2.335490441927687,0.0,4,100.0,1.0,0.0,9.642334832912525,0.4,9.341961767710748,100.0,1.0,0.0,0.0,0.0,0.0
7,mixed_20,1,0,442.9656215878408,110.7414053969602,442.9656215878408,110.7414053969602,223.2,13.129411764705882,27603.77241956267,1623.751318797804,17.0,1.233071015860188,40.0,10.4,9,0.6801234345764913,0.611764705882353,40.0,100.0,1.8,0.45,0.0,0.0,4,60.0,0.8,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
8,mixed_20,1,1,162.2390850369162,57.94253037032722,1769395.6870120405,442348.92175301013,248.4,13.8,28398.46521725582,1577.6925120697676,18.0,2.494717673016602,41.17407785119454,11.4,9,3.9492720017257446,0.6333333333333333,41.17407785119454,100.0,1.8,0.45,0.30775154442768815,0.0,4,64.69631140477816,0.8,1.2310061777107526,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
9,mixed_20,1,1,609.745823708213,152.43645592705326,609.745823708213,152.43645592705326,298.2,15.53125,31152.136209276774,1622.5070942331652,19.2,1.609459790968668,51.215315651681124,11.2,12,1.0564411462447052,0.5833333333333334,51.215315651681124,100.0,2.4,0.6,2.1673514319118117,0.0,4,100.0,1.0,0.0,4.861262606724495,0.4,8.669405727647247,100.0,1.0,0.0,0.0,0.0,0.0
10,mixed_20,1,1,690.1112539053117,172.52781347632794,690.1112539053117,172.52781347632794,359.0,17.095238095238095,33747.990681174866,1607.0471752940414,21.0,2.012146112282159,50.0,14.4,10,1.9940043957588047,0.6857142857142857,50.0,100.0,2.0,0.5,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
11,mixed_20,1,1,575.5271481622437,179.85223380070116,18327.095779931977,4581.773944982994,441.6,20.635514018691588,34076.06844867974,1592.3396471345675,21.4,2.555784222129982,67.90390977115067,17.6,16,3.452383812253508,0.822429906542056,67.90390977115067,100.0,3.1999999999999997,0.7999999999999999,3.706442192757481,0.0,4,100.0,1.0,0.0,67.62848353739173,0.8,5.944156107965772,100.0,1.0,0.0,3.987155547210932,0.4,8.881612663064153
