step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed
0,mixed_20,0,0,587.6796793183951,79.4161728808642,4029.2862961064884,503.66078701331105,125.6,4.104575163398692,49089.61667035175,1604.2358389003841,30.6,3.147261508050563,32.87401791724001,18.0,16,4.299979600912383,0.5882352941176471,32.87401791724001,100.0,3.2,0.4,0.8846163378524032,0.0,8,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9921433379200835,0.4,7.076930702819226,60.0,0.8,0.0
1,mixed_20,0,0,788.8363635997224,119.52066115147309,814191.2196299467,101773.90245374334,190.4,5.6,53907.557412491726,1585.5163944850508,34.0,1.1232341549952045,35.608465984477746,20.2,16,0.9283603442445031,0.5941176470588235,35.608465984477746,100.0,3.2,0.4,1.8932791494978751,0.0,8,44.10996315452536,0.6,6.519739166446159,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,40.75776472129661,0.6,8.626494029536842,0.0,0.0,0.0,0.0,0.0,0.0
2,mixed_20,0,0,901.6449162042949,136.61286609155982,1004972.2631788481,125621.53289735601,286.2,8.319767441860465,56450.337867452865,1640.9981938213043,34.4,1.4950127822904924,57.13273823976895,22.4,23,1.8168073947766519,0.6511627906976745,57.13273823976895,100.0,4.6,0.575,0.03121919284162029,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,57.06190591815158,0.6,0.24975354273296232
3,mixed_20,0,0,1140.5425749211133,154.12737498933964,601140.5425749208,75142.5678218651,390.8,10.619565217391305,63487.76176666226,1725.210917572344,36.8,2.131711519889002,57.703378625560184,23.6,26,2.505560271058838,0.6413043478260869,57.70337862556019,100.0,5.2,0.65,2.5398550081698827,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,5.537186291685998,0.2,8.764195428881797,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,7.667577197490232,0.2,8.551252206414938,48.4222655153053,0.8,3.0033924300623296
4,mixed_20,0,0,1146.2004075351874,146.9487701968189,1596.6274780993103,199.5784347624138,502.8,13.58918918918919,63266.29174457578,1709.8997768804263,37.0,1.9872172754726136,50.5016406887794,23.4,25,2.0461055504553496,0.6324324324324324,50.5016406887794,100.0,5.0,0.625,0.5210370309842115,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.2,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.2,0.0,4.013125510235227,0.6,4.168296247873692
5,mixed_20,0,0,749.806434602035,124.96773910033916,157861.5805537196,19732.69756921495,629.8,16.93010752688172,62881.03331151073,1690.3503578363097,37.2,1.909659687609085,53.323427324823776,27.4,24,2.1939929437719017,0.7365591397849462,53.323427324823776,100.0,4.8,0.6,0.6972964054017718,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,26.587418598590205,0.8,5.578371243214175
6,mixed_20,0,0,1308.9213950355845,192.4884404464095,144403.2914980765,18050.41143725956,770.8,19.07920792079208,63401.08644297773,1569.3338228459834,40.4,1.5381511319485413,59.41836687411829,30.2,27,1.68580504639949,0.7475247524752475,59.41836687411829,100.0,5.4,0.675,3.0978690328289566,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,8.74345755463139,0.4,8.913248106185346,100.0,1.0,0.0,11.52193962078627,0.2,8.679094257671165,55.08153781752867,0.8,7.190609898775142
7,mixed_20,0,0,1172.0700178189713,177.5863663362078,716610.1137273167,89576.26421591459,933.0,21.901408450704224,69857.90503062014,1639.8569256014116,42.6,1.2273828883506996,62.5,34.6,25,1.3166977758329825,0.812206572769953,62.5,100.0,5.0,0.625,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
8,mixed_20,0,0,877.4732630379747,129.04018574087863,2125634.2063713544,265704.2757964193,1110.0,24.342105263157894,73218.20486501821,1605.6623873907502,45.6,1.4832519693389774,62.56447726886336,37.2,27,1.5564248672072813,0.8157894736842105,62.56447726886336,100.0,5.4,0.675,1.0851713658194058,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,0.5158181509068527,0.4,8.681370926555246,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
9,mixed_20,12,0,1031.5808922980577,166.3840148867835,2722542.18670436,340317.773338045,978.8,21.75111111111111,71359.40043224588,1585.7644540499084,45.0,1.304940446812759,53.9307392058548,33.2,24,1.6889581365264978,0.7377777777777778,53.93073920585479,100.0,4.8,0.6,1.0920928102102911,0.0,8,60.0,0.8,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,60.0,0.8,0.0,11.445913646838335,0.2,8.73674248168233,100.0,1.0,0.0
