step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed,d11_occ,d11_veh,d11_speed
0,mixed_20,0,0,567.1758859080525,60.3378602029843,1877398.6086867186,156449.88405722656,58.0,3.717948717948718,28536.03342365256,1829.2329117726,15.6,4.15792543306175,1.6181272530986253,7.8,2,5.250570819770553,0.5,1.6181272530986253,11.407665378661989,0.4,0.03333333333333333,1.4532666426074439,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,11.407665378661989,0.2,8.766035527922284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.009861658521515,0.2,8.673164183367044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mixed_20,0,0,287.52735981514957,29.339526511749952,2200287.527359815,183357.29394665125,96.0,6.0,31776.303563784528,1986.018972736533,16.0,4.225156558729651,0.0,8.2,1,4.596917418590936,0.5125,0.0,0.0,0.2,0.016666666666666666,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mixed_20,0,0,458.00163457233265,47.708503601284654,1806977.512863975,150581.45940533126,136.8,7.953488372093023,31988.837255843275,1859.8161195257717,17.2,4.2810779526289195,2.781173639478496,9.0,6,4.120597314690893,0.5232558139534884,2.781173639478496,11.86886328333685,1.2000000000000002,0.10000000000000002,2.8727809598019625,0.0,12,5.69195364061386,0.4,8.693241669423879,11.82185728321059,0.2,8.458907733729797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.86886328333685,0.2,8.425406680721801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9914094665806488,0.4,8.895815433748066
3,mixed_20,0,0,478.81115093519685,64.7042095858374,2318975.401906292,193247.95015885765,189.0,9.84375,30144.32654378609,1570.017007488859,19.2,3.075789875818123,2.370191934088458,12.4,4,4.205770100019386,0.6458333333333334,2.370191934088458,11.748891112847275,0.8,0.06666666666666667,2.117907203896893,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,11.654696924873349,0.2,8.580231699254307,0.0,0.0,0.0,5.038715171340868,0.4,8.323213196173308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.748891112847275,0.2,8.511441551335102,0.0,0.0,0.0
4,mixed_20,0,0,802.370865388562,108.42849532277864,3421972.1381959417,285164.3448496618,260.2,11.21551724137931,39940.36620217086,1721.5675087142613,23.2,1.7194544143363153,0.9102856788770689,16.2,2,2.9423618709059096,0.6982758620689655,0.9102856788770689,10.923428146524827,0.4,0.03333333333333333,0.7418103105078141,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.923428146524827,0.4,8.901723726093769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,mixed_20,0,0,600.1984791192681,66.6887199021409,2256521.7260343106,188043.4771695259,339.4,13.2578125,43582.5507783446,1702.443389779086,25.6,2.040390528471553,6.212140342781278,16.6,5,2.584848934201482,0.6484375,6.212140342781278,63.45587799904138,1.0,0.08333333333333333,1.307701439857645,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.089806114333953,0.2,9.017290200479392,0.0,0.0,0.0,63.45587799904138,0.8,6.675127077812346,0.0,0.0,0.0,0.0,0.0,0.0
6,mixed_20,3,0,332.43466045411594,36.93718449490177,2821966.8948564134,235163.9079047011,312.4,12.596774193548388,44752.09254069423,1804.5198605118642,24.8,3.038070704040995,14.975908820874745,14.8,12,3.689743368530994,0.5967741935483871,14.975908820874745,100.0,2.4,0.19999999999999998,1.8265561770330951,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.49873500126238923,0.2,7.832722033839406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.885752411072303,0.2,8.413434551004435,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,67.32641843816225,1.0,5.672517539553299
7,mixed_20,3,3,1238.2791268758633,116.81878555432674,942166.8504702637,78513.90420585532,380.2,14.511450381679388,43659.55318968459,1666.3951599116258,26.2,3.304761589794244,20.705240499776778,16.2,18,4.092199641186072,0.6183206106870229,20.705240499776778,100.0,3.6,0.3,2.5466301252455414,0.0,12,6.512347179029234,0.4,8.967551516927777,32.538255887726564,0.4,4.896233153356194,100.0,1.0,0.0,0.0,0.0,0.0,2.0655779310339994,0.4,8.099299364443869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.346704999531539,0.4,8.596477468218655,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mixed_20,3,3,674.6401240939082,84.33001551173852,3022787.610021326,251898.9675017772,468.8,17.492537313432837,43912.94613650393,1638.54276628746,26.8,1.9642435841468675,22.39522096762845,19.8,17,3.7074621906865564,0.7388059701492538,22.39522096762845,100.0,3.6,0.3,0.6824796128746646,0.0,12,40.0,0.6,0.029658050136898824,20.0,0.6,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,8.742651611541419,0.4,8.160097304359077,0.0,0.0,0.0
9,mixed_20,3,3,700.9359657358325,87.61699571697906,3438566.933867214,286547.24448893446,568.2,20.007042253521128,47782.82438277294,1682.4938162948217,28.4,1.9514514940626457,20.523803886099092,20.8,14,2.886537822673058,0.7323943661971831,20.523803886099092,100.0,2.8,0.2333333333333333,1.137250990674615,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,22.74104257312672,0.4,6.787493923580764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,23.544604060062397,0.4,6.859517964514617,0.0,0.0,0.0
10,mixed_20,3,3,604.0776537893955,97.43187964345088,3944591.438763199,328715.9532302666,678.8,22.038961038961038,49723.371376498515,1614.39517456164,30.8,1.3656144146783167,40.476796680326096,24.0,26,2.243841587505728,0.7792207792207793,40.476796680326096,100.0,5.2,0.43333333333333335,1.844288289228027,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,72.91557652792847,0.8,5.345048573790727,0.0,0.0,0.0,11.697778445396807,0.2,8.548631730954948,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,1.1082051905879098,0.2,8.237779165990649
11,mixed_20,3,3,924.6993602584807,124.9593730079028,3846665.8419951266,320555.4868329272,802.2,23.875,54066.69373065633,1609.1277896028669,33.6,1.1021222796529533,42.66971108352706,25.8,27,1.6543897811174662,0.7678571428571429,42.66971108352706,100.0,5.4,0.45,0.6923366829737291,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,12.036533002324745,0.2,8.308040195684748,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.2,0.0
12,mixed_20,3,3,1004.3177125908729,132.14706744616748,3371237.275997667,280936.43966647226,936.2,25.440217391304348,61516.910291899076,1671.6551709755183,36.8,0.8984390683384156,45.14351277617015,29.0,28,1.0134866916999494,0.7880434782608695,45.14351277617015,100.0,5.6,0.4666666666666666,0.6326342168507758,0.0,12,0.0,0.0,0.0,41.72215331404175,0.6,7.591610602209309,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
