step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed,d11_occ,d11_veh,d11_speed
0,random,0,0,723.966087029645,65.81509882087681,82382.94590335528,6865.245491946273,92.0,3.3333333333333335,48253.92203968593,1748.330508684273,27.6,2.8336532777368784,13.770745381413434,12.6,13,2.683533546825077,0.45652173913043476,13.770745381413434,92.08211222828595,2.6,0.21666666666666667,3.189448982406656,0.0,12,12.756446802595747,0.2,7.839173521238806,0.0,0.0,0.0,0.0,0.0,0.0,11.528966461148116,0.4,3.4454958132413966,0.0,0.0,0.0,92.08211222828595,1.0,5.206152641871753,9.5224953239466,0.4,8.271167079173026,14.868895607091304,0.2,6.725449061079412,24.49002815389349,0.4,6.785949672275475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,random,3,0,786.5797544462878,70.23033521841856,789844.2119055239,65820.35099212699,115.8,4.559055118110236,48357.60121690712,1903.8425675947685,25.4,3.856448063312808,18.175547467552892,12.2,13,3.857364325874276,0.48031496062992124,18.175547467552892,100.0,2.6,0.21666666666666667,1.4270458503936727,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.933788916076651,0.4,8.661881722137332,11.172780694558071,0.2,8.462668482586741,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,random,7,3,679.6148325193114,57.59447733214503,200679.61483251926,16723.301236043273,56.8,2.5132743362831858,42416.72033065023,1876.846032329656,22.6,4.176704259893485,20.769299802716787,6.2,23,3.4493040804144166,0.2743362831858407,20.769299802716787,100.0,4.6000000000000005,0.38333333333333336,3.9457738850743804,0.0,12,0.0,0.0,0.0,1.6311015167255505,0.4,8.06497528795153,3.5741490201650095,0.4,8.392348017077895,8.165387573019132,0.4,9.052981689386069,0.0,0.2,0.0,100.0,1.0,0.0,0.0,0.0,0.0,8.63941814594881,0.4,8.557816786970944,100.0,1.0,0.0,8.674225712381656,0.4,8.512454952020198,0.0,0.0,0.0,18.547315664361292,0.4,4.768709887485928
3,random,5,7,664.9951328519544,70.74416306935684,1020605.6224639755,85050.46853866462,20.6,0.8110236220472441,40737.15201407635,1603.824882443951,25.4,1.9479335619715437,4.37452894029299,9.0,7,2.356054785020637,0.3543307086614173,4.37452894029299,29.49297079797674,1.4,0.11666666666666665,0.8659465055273842,0.0,12,3.00137648553914,0.4,8.404674127977342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.49297079797674,0.6,1.9866839383512676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,random,3,5,700.1874444360645,67.32571581116005,1079776.3288008724,89981.36073340604,72.0,2.5531914893617023,49882.64923451653,1768.8882707275368,28.2,2.374640102036875,17.585498640559436,14.4,12,3.183948744644818,0.5106382978723404,17.585498640559436,100.0,2.4000000000000004,0.20000000000000004,1.6279031164032371,0.0,12,0.0,0.0,0.0,4.396930300865165,0.2,6.578846573612083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.06739885936412,1.0,4.306709721552873,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.561654526483949,0.2,8.649281101673889,0.0,0.0,0.0
5,random,0,3,365.9111306521558,33.88066024556998,1200365.9111306523,100030.49259422102,63.0,2.5,48212.769015379876,1913.2051196579314,25.2,4.341863566131256,19.116014651784926,8.0,16,4.3537382709757,0.31746031746031744,19.116014651784923,80.0,3.1999999999999997,0.26666666666666666,2.485786996044424,0.0,12,14.555491124745572,0.2,6.870259419140554,20.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.232757214145295,0.2,8.902533731795701,60.0,0.8,0.0,0.0,0.0,0.0,11.433133682320431,0.2,8.746508418303067,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.170793800207775,0.4,5.310142383293763
6,random,3,0,758.3935919960616,66.52575368386505,202380.63787671854,16865.053156393213,75.0,2.6785714285714284,44719.31325468361,1597.1183305244147,28.0,3.077025821818382,17.563873942257306,11.2,16,3.54595914890117,0.4,17.563873942257306,100.0,3.1999999999999997,0.26666666666666666,2.5613592394984326,0.0,12,0.0,0.0,0.0,4.576689498245514,0.2,6.489899658352259,0.0,0.0,0.0,28.187060209376114,0.8,6.116876741625715,20.0,0.4,0.1459513927904833,7.897502998236519,0.2,5.9386803506038754,0.0,0.0,0.0,12.631175730760447,0.2,7.91691938514259,37.474058870469094,0.4,4.127983345466264,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
7,random,0,3,1216.5260341009455,101.37716950841212,1216.5260341009455,101.37716950841212,68.6,2.3819444444444446,50536.14000042625,1754.7270833481334,28.8,3.2292552912455763,33.56722979678376,11.2,22,3.619771373439818,0.3888888888888889,33.56722979678376,100.0,4.4,0.3666666666666667,0.7224713561878068,0.0,12,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,2.8067575614051066,0.4,8.669656274253681,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
8,random,3,0,680.4835619410292,58.66237602939907,200997.81121672204,16749.817601393504,113.4,3.6580645161290324,53888.95304984138,1738.3533241884318,31.0,3.456783883122691,35.19535139729526,15.8,26,3.6726957802015447,0.5096774193548387,35.19535139729527,100.0,5.2,0.43333333333333335,2.142114384463881,0.0,12,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,10.676107985364638,0.4,8.600945427046263,4.720308358639613,0.4,8.315727692683698,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,6.947800423538979,0.4,8.78869949383661,0.0,0.0,0.0,100.0,1.0,0.0
9,random,4,3,929.9893606723026,78.81265768409344,1219.7426601562192,101.64522167968494,138.2,3.9485714285714284,60321.2836503187,1723.4652471519628,35.0,2.495683526141251,32.37721899827752,17.4,25,3.060089830642693,0.49714285714285716,32.37721899827752,100.0,5.0,0.4166666666666667,2.261859290116068,0.0,12,60.737447310127095,0.8,8.442925441078842,100.0,1.0,0.0,6.6310816572007525,0.4,8.333463003300132,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,7.272300392440911,0.4,8.560395503789186,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.885798619561456,0.4,1.8055275332246508
10,random,1,4,630.4903791785738,57.31730719805216,639167.8204843713,53263.98504036427,138.2,4.017441860465116,58401.907845467445,1697.7298792287047,34.4,2.8929280245485924,30.519112337076137,17.0,22,3.568192240616346,0.4941860465116279,30.519112337076137,100.0,4.4,0.3666666666666667,0.5154999333730338,0.0,12,20.0,0.4,0.0,100.0,1.0,0.0,0.0,0.0,0.0,6.22934804491365,0.2,6.185999200476405,0.0,0.0,0.0,60.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
11,random,7,1,916.6133283552606,80.40467792590005,4056.116173621849,338.0096811351541,160.2,4.603448275862069,58183.71871009104,1671.9459399451446,34.8,3.1775477620694845,36.28476723418425,16.0,26,3.7640108078609007,0.45977011494252873,36.28476723418425,100.0,5.2,0.43333333333333335,2.324161174298204,0.0,12,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,61.36745111145615,0.8,1.4006984925501078,11.246598030472796,0.2,8.89157767789413,21.608708550538722,0.4,7.460493676146057,31.76738779957816,0.4,1.8188034998263753,0.0,0.0,0.0,9.427061318165215,0.4,8.31836074516177,100.0,1.0,0.0
12,random,0,7,1501.7156250507767,147.22702206380166,609592.7852665432,50799.39877221193,174.2,4.977142857142857,55369.05389151862,1581.9729683291034,35.0,1.8134961075224796,47.30379008279561,18.0,32,2.723226132859441,0.5142857142857142,47.30379008279561,100.0,6.3999999999999995,0.5333333333333333,2.075092893812427,0.0,12,92.83959781721705,1.0,5.147536612660018,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,4.272806387330661,0.2,8.813442740123719,20.0,0.4,0.0,0.0,0.0,0.0,100.0,1.0,0.0,38.71654556000749,0.6,2.477414963557225,11.816531228992062,0.2,8.46272040940816,0.0,0.0,0.0,100.0,1.0,0.0
