step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed,d11_occ,d11_veh,d11_speed
0,actuated,0,0,669.9507810063149,58.76761236897499,5162.799364501884,430.233280375157,174.4,3.963636363636364,78025.784710105,1773.3132888660227,44.0,2.1349670258697397,41.68320730159789,20.8,36,1.455768286618809,0.4727272727272727,41.683207301597896,100.0,7.2,0.6,3.0619766758258358,0.0,12,11.412143170457512,0.2,8.762595991510945,84.59596369025462,1.0,6.731401772637551,0.0,0.0,0.0,24.312211076384358,0.8,4.408192125499524,12.447370758233944,0.4,3.4412040272577005,100.0,1.0,0.0,19.371314038675393,0.6,3.9853917487104056,37.016590787308985,1.0,4.20898582902988,100.0,1.0,0.0,0.0,0.0,0.0,11.042894097859914,0.2,5.205948615264018,100.0,1.0,0.0
1,actuated,0,0,1023.4772171624779,88.23079458297224,301664.21871195827,25138.68489266319,296.6,7.199029126213592,74123.48833756435,1799.1137946010765,41.2,2.667064891365505,42.90426894940663,27.0,29,2.7819621859646815,0.6553398058252428,42.90426894940663,100.0,5.800000000000001,0.48333333333333334,1.3580400771539036,0.0,12,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,9.515477623795334,0.2,8.171431629918516,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.2,0.0,5.335749769084259,0.4,8.125049295928328,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
2,actuated,0,0,1091.9162134498874,103.01096353300825,208146.29113568502,17345.524261307084,432.6,10.06046511627907,71648.99395738545,1666.2556734275684,43.0,2.318394722435756,58.59121941720846,29.4,38,2.778273113666346,0.6837209302325581,58.59121941720846,100.0,7.6000000000000005,0.6333333333333333,1.5525518239010185,0.0,12,72.99401381796343,0.8,5.090407546488972,100.0,1.0,0.0,70.01561501086542,0.8,5.324090440986785,0.0,0.2,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,60.08500417767266,0.8,8.216123899336466,100.0,1.0,0.0,100.0,1.0,0.0
3,actuated,0,0,1196.861992330188,117.33941101276355,1027732.6719574686,85644.38932978905,590.2,12.399159663865547,82256.37352086414,1728.075073967734,47.6,2.0852636395371436,68.33897248526871,34.4,43,2.343160953436182,0.7226890756302521,68.33897248526871,100.0,8.600000000000001,0.7166666666666667,1.4519779849642258,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.43336387680165,0.2,8.74633231982588,100.0,1.0,0.0,0.0,0.0,0.0,8.634305946422955,0.4,8.67740349974483,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
4,actuated,0,0,1462.811420178424,123.9670695066461,201462.81142017848,16788.567618348206,733.0,14.959183673469388,82399.81891754233,1681.628957500864,49.0,2.5074023374417163,67.55796080323547,35.2,41,3.0425589422489256,0.7183673469387755,67.55796080323546,100.0,8.2,0.6833333333333332,0.779141717590376,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,10.695529638825576,0.2,9.349700611084511,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
5,actuated,0,0,1290.8604569257332,111.28107387290804,201614.88890097683,16801.240741748068,814.0,15.775193798449612,87666.31095771184,1698.959514684338,51.6,1.9836091453285676,61.589361359529796,34.8,44,2.3204022430948053,0.6744186046511628,61.589361359529796,100.0,8.8,0.7333333333333334,2.272469644129623,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,9.131441379843181,0.4,8.798936705011876,24.41969367790648,0.6,1.6302433245521668,2.799941592748212,0.4,8.338143670838326,2.721259663859712,0.4,8.502312029153108,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
6,actuated,0,0,1610.4045816018158,149.11153533350145,636532.212155488,53044.35101295733,908.8,16.523636363636363,88246.21701163403,1604.4766729388004,55.0,1.4589612658533697,66.66666666666667,36.2,40,1.4634474314922654,0.6581818181818182,66.66666666666667,100.0,8.0,0.6666666666666666,0.0,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
7,actuated,1,0,1222.827765778788,119.88507507635178,1320548.199117723,110045.68325981025,962.6,17.06737588652482,97776.90088649778,1733.63299444145,56.4,2.25093037839711,56.94708984157785,35.2,38,2.4674644028568404,0.624113475177305,56.94708984157785,100.0,7.6,0.6333333333333333,1.5796224898465006,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.240055378211764,0.2,8.896753319725146,0.0,0.0,0.0,40.0,0.6,0.0,11.641911521602992,0.2,8.589654698409085,0.0,0.0,0.0,20.483111199119435,0.6,1.4690618600237735,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
8,actuated,2,1,1266.5721280622688,109.18725241916111,201475.43410869484,16789.619509057902,1115.4,18.77777777777778,99859.51122783852,1681.1365526572142,59.4,2.0620631601043353,56.15039697518449,35.2,42,2.1153366778830254,0.5925925925925926,56.1503969751845,100.0,8.4,0.6999999999999998,2.5563872197888724,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,6.363793894592504,0.4,8.707171774003655,38.212806796261134,0.6,2.002953492445834,9.662203552485948,0.4,8.443153075687585,0.5868332125811548,0.4,7.829782556742429,18.979126246293276,0.6,3.6935857385869677,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
9,actuated,2,2,1125.4627317136535,112.54627317136536,15435.086979666663,1286.2572483055553,1302.4,21.634551495016613,101209.26564626387,1681.2170373133533,60.2,1.5675544914556834,55.63478619256063,40.6,39,1.4910638563680556,0.6744186046511628,55.63478619256065,100.0,7.8,0.65,1.4401718061488527,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.935651834793362,0.2,8.378260474094272,0.0,0.0,0.0,36.66978688764971,0.8,4.097914216906894,0.0,0.0,0.0,0.0,0.0,0.0,19.011995588284663,0.8,4.805886982785063,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
10,actuated,3,2,1839.0299456536795,176.82980246669996,38270.39338689068,3189.199448907557,1286.4,20.549520766773163,99017.47513778675,1581.7488041179993,62.6,1.1962406693193357,56.94002007788763,44.0,37,1.1130088218744867,0.7028753993610224,56.94002007788763,100.0,7.4,0.6166666666666667,1.1610109646527216,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.05573072140874,1.0,5.414750236405578,0.0,0.0,0.0,0.22451021324286558,0.4,8.517381339427082,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
11,actuated,4,3,1156.094248828095,101.41177621299079,2985.2713959478906,248.7726163289909,381.6,6.338870431893688,103192.2679169619,1714.157274368138,60.2,1.268893283329428,26.391418301432783,27.2,26,0.8765876417696727,0.45182724252491696,26.391418301432783,100.0,5.2,0.43333333333333335,1.938411140980907,0.0,12,24.42595913456387,0.6,1.8221519709470848,29.135571983294994,0.6,2.08615246315158,20.0,0.4,0.0,0.0,0.0,0.0,12.242102142054705,0.2,8.168531747213153,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.39455839840764,0.6,7.377166150133431,25.604337439448273,0.6,1.8676805670118164,43.894490519423925,0.8,1.9392507933138183,20.0,0.4,0.0
12,actuated,4,4,1243.8383324087847,113.07621203716225,42950.57833588377,3579.2148613236477,209.0,3.3493589743589745,111686.0997277856,1789.8413417914358,62.4,1.5826092118807202,53.39403058481859,24.0,42,1.1391390080487913,0.38461538461538464,53.39403058481859,100.0,8.399999999999999,0.6999999999999998,2.432203113851426,0.0,12,27.31688216277462,0.8,3.2710578349742256,44.95820757194451,0.8,3.3119172522757654,96.2741488953668,1.0,1.9295221068268225,83.46533390702575,1.0,6.953775986745175,0.0,0.0,0.0,100.0,1.0,0.0,17.09744427863825,0.2,4.570468849894479,0.0,0.0,0.0,100.0,1.0,0.0,32.002301306524714,0.8,3.5718348402275315,41.40554831909867,0.8,3.28530377503662,98.20850057644975,1.0,2.29255672023649
