step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed
0,actuated,0,0,502.39195066128224,52.332494860550234,1400502.391950661,127318.39926824192,91.8,2.7,61776.632957622656,1816.9597928712544,34.0,3.307344895914775,24.161061643551626,16.8,16,2.767406809017594,0.49411764705882355,24.161061643551626,100.0,3.2,0.29090909090909095,0.3790757239342409,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.771678079067897,0.6,4.16983296327665,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,40.0,0.6,0.0,0.0,0.0,0.0
1,actuated,0,0,687.8281879087269,70.18654978660479,1006084.9823974805,91462.27112704368,183.6,5.275862068965517,64937.274946420104,1866.0136478856352,34.8,3.5943896604558483,19.46511128580645,20.0,17,3.3018431976686045,0.5747126436781609,19.46511128580645,100.0,3.4,0.3090909090909091,2.9017657585310754,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,4.826969034019726,0.4,10.762860182806042,0.0,0.0,0.0,0.0,0.2,0.0,100.0,1.0,0.0,6.1737490154882835,0.4,9.939240490460545,3.1155060943629564,0.4,11.217322670575237,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,598.6425705723256,69.60960122934019,1688940.5268411033,153540.04789464574,278.4,7.733333333333333,63579.60634841586,1766.100176344885,36.0,3.1808709639660906,27.387918338481075,22.2,17,3.483336600569798,0.6166666666666667,27.387918338481075,100.0,3.4,0.3090909090909091,2.2352240951133493,0.0,11,50.23786892218908,0.6,5.358890940309007,0.0,0.0,0.0,42.49126643931959,0.6,7.516183149748255,8.537966361783162,0.2,11.712390956189584,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,466.4148992753875,58.301862409423435,2928530.5215218533,266230.0474110776,324.4,8.767567567567568,69930.24859520553,1890.0067187893387,37.0,2.7897630467134458,31.03541684871976,21.0,19,2.621286155439155,0.5675675675675675,31.03541684871976,100.0,3.8000000000000003,0.34545454545454546,1.1365972264664115,0.0,11,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,9.492362827110128,0.2,10.534784839281599,31.897222508807204,0.6,1.9677846518489268,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,669.6005800827049,79.71435477175058,2600669.600580083,236424.50914364393,409.4,10.390862944162437,71162.16666270283,1806.1463619975336,39.4,3.274765420688534,39.00093225595392,20.6,26,3.1298026089923745,0.5228426395939086,39.00093225595392,100.0,5.2,0.4727272727272727,1.8008060838575561,0.0,11,100.0,1.0,0.0,93.05447676260599,1.0,5.042948287962167,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.922151135054776,0.8,3.740260566316942,3.0336269178323505,0.4,11.02565806815401,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,776.5797480138538,88.24769863793792,2200776.5797480135,200070.59815891032,517.0,13.677248677248677,72432.0078988646,1916.1906851551482,37.8,3.461790766928187,39.03380318677416,22.4,25,3.477465388211105,0.5925925925925926,39.03380318677416,100.0,5.0,0.45454545454545453,2.441595171874555,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,8.782087787123771,0.2,11.386813981365481,9.531103346557188,0.2,10.491964714255445,11.058643920834754,0.6,4.978768194999177,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,544.9194014773042,61.92265925878456,2200544.919401477,200049.538127407,587.6,15.711229946524064,66023.70814579216,1765.3397899944425,37.4,4.2481454548710005,37.11243910775698,23.6,25,4.635162002931564,0.6310160427807486,37.11243910775698,100.0,5.0,0.45454545454545453,1.901578573009656,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481310299068582,0.6,9.359626526003476,0.0,0.0,0.0,0.7555198862581847,0.4,11.557737777102739,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,actuated,0,0,664.2588621219721,75.48396160476955,2200664.2588621215,200060.3871692838,557.0,14.065656565656566,72391.1012849038,1828.0581132551465,39.6,2.3324749104099967,30.655201251414454,21.8,21,2.3524208030625946,0.5505050505050505,30.655201251414454,100.0,4.2,0.38181818181818183,2.2360873172015485,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,6.660028287306545,0.4,11.239080067351464,0.0,0.0,0.0,0.0,0.0,0.0,8.527898624663521,0.2,11.726218192930926,0.0,0.0,0.0,22.019286853588937,0.6,1.6316622289346454,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,742.1416555097001,88.3501970844881,2023538.7480600595,183958.06800545997,584.4,14.61,65901.00866023332,1647.525216505833,40.0,2.5788057141732703,41.11536447820641,21.6,23,2.739208755082533,0.54,41.1153644782064,100.0,4.6,0.41818181818181815,0.4609830541678431,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.26900926027042,0.6,5.070813595846274,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,1,0,679.1002767771699,80.84527104490118,2652511.1528738975,241137.3775339907,669.6,16.019138755980862,75954.43445033683,1817.0917332616468,41.8,3.3099670534334513,28.905725952582046,20.0,20,3.379098577086855,0.4784688995215311,28.905725952582046,100.0,4.0,0.36363636363636365,1.2004495772186898,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.2231474383023624,0.4,11.2230465432629,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.739838040100153,0.4,1.9818988061426885,0.0,0.0,0.0,0.0,0.0,0.0
