step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed
0,mixed_20,0,0,478.2409601339019,53.137884459322436,2000478.2409601335,181861.65826910303,65.0,2.1812080536912752,57857.2079738305,1941.5170461016944,29.8,2.9944369589818978,19.19334123901083,12.4,16,2.3503272653921927,0.4161073825503356,19.19334123901083,100.0,3.4,0.30909090909090914,3.8640893695052374,0.0,11,10.87101625496274,0.2,9.198772005731193,0.0,0.0,0.0,0.0,0.0,0.0,5.503837493825472,0.4,11.640498038101947,14.49979226967315,0.4,6.472276144992564,100.0,1.0,0.0,14.87116533516712,0.4,4.068739834127243,5.380942275490668,0.4,11.12469704160467,0.0,0.0,0.0,60.0,0.6,0.0,0.0,0.0,0.0
1,mixed_20,0,0,550.8165965621786,55.08165965621786,1000550.816596562,90959.165145142,128.2,4.578571428571428,54277.87855765114,1938.495662773255,28.0,3.1732381847199655,10.749521945908704,13.8,8,2.3325111334833384,0.4928571428571429,10.749521945908704,100.0,1.5999999999999999,0.14545454545454545,1.9936744469013306,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,9.276906107895968,0.2,10.779455869978651,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,8.967835297099782,0.2,11.150963045935983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2,mixed_20,0,0,496.1026318574368,55.12251465082631,1483774.4252996552,134888.58411815047,202.6,6.708609271523179,58937.29899786073,1951.5661919821432,30.2,3.5276516234644237,15.128975614556246,16.8,9,2.68142870073109,0.5562913907284768,15.128975614556246,100.0,1.8,0.16363636363636364,0.5892790100868204,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4187317601187,0.8,6.482069110955024,0.0,0.0,0.0,0.0,0.0,0.0
3,mixed_20,0,0,513.6998742657131,57.07776380730146,2000513.6998742663,181864.88180675148,287.2,8.703030303030303,60454.1599789938,1831.9442417876908,33.0,3.495623214892806,28.5336098694374,18.0,20,2.9238390627416804,0.5454545454545454,28.5336098694374,100.0,4.0,0.36363636363636365,5.504757984946526,0.0,11,71.08520272744215,0.8,5.26140981811205,10.329526511371512,0.2,9.680985850601434,6.994784905892004,0.4,10.252976058359609,8.33986682180523,0.2,11.990599147044197,0.0,0.0,0.0,100.0,1.0,0.0,8.474719439903708,0.2,11.799800655245788,8.645608157396794,0.2,11.566566305048708,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,mixed_20,0,0,623.7092280830059,69.30102534255622,2000623.7092280835,181874.8826570985,382.2,11.241176470588234,64158.62247587672,1887.018308114021,34.0,3.2148733057947263,28.30866127130905,21.0,18,2.9430206670848484,0.6176470588235294,28.30866127130905,100.0,3.6,0.32727272727272727,2.012257303830906,0.0,11,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74519852313938,0.2,11.434846188500439,100.0,1.0,0.0,2.650075461260144,0.4,10.699984153639528,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,mixed_20,0,0,593.800647101975,65.97784967799721,2000593.8006471018,181872.16369519106,488.4,13.796610169491526,63765.298862525626,1801.2796288849047,35.4,2.6189247761665446,34.60367410030653,22.4,20,2.401203893269886,0.632768361581921,34.60367410030653,100.0,4.0,0.36363636363636365,0.733388313135266,0.0,11,100.0,1.0,0.0,80.64041510337177,1.0,8.067271444487925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,mixed_20,0,0,1035.5795744839245,115.0643971648805,2001035.5795744837,181912.32541586214,604.6,16.252688172043012,68270.6180811821,1835.231668848981,37.2,3.0092193531175826,37.88572113196164,24.6,22,2.8750657746236126,0.6612903225806451,37.88572113196164,100.0,4.4,0.4,2.172483479976677,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,8.231914339211244,0.2,12.147842637728624,0.0,0.0,0.0,100.0,1.0,0.0,8.511018112366742,0.2,11.749475642014822,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mixed_20,0,0,655.6693502534449,81.95866878168061,2908849.586535927,264440.8715032661,731.8,18.86082474226804,65366.88659517721,1684.7135720406498,38.8,2.72884099441818,41.037486198037364,27.2,25,3.195782120968863,0.7010309278350515,41.03748619803737,100.0,5.0,0.45454545454545453,1.6132606995434984,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,47.19570596666529,0.6,6.196388282504742,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,4.216642211745807,0.4,11.54947941247374,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mixed_20,4,0,970.5018633472698,110.28430265309883,1787192.8869774193,162472.08063431084,695.4,17.12807881773399,74817.21006053696,1842.7884251363785,40.6,2.846086232351149,49.636636967023264,26.0,30,3.1869691990617537,0.6403940886699507,49.636636967023264,100.0,6.2,0.5636363636363636,3.147423316208145,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,8.878489534847631,0.2,11.263177098706368,100.0,1.0,0.0,8.54009733203668,0.2,11.709468418453207,8.584419770371596,0.2,11.649010961130022,60.0,0.8,0.0,60.0,0.8,0.0,0.0,0.0,0.0
9,mixed_20,4,4,1007.5369513954565,109.51488602124529,1405074.5731621166,127734.05210564696,787.6,18.752380952380953,71068.67149314955,1692.1112260273703,42.0,1.788102731667938,39.31570067121289,27.2,23,1.4150584515229623,0.6476190476190476,39.31570067121289,100.0,4.6,0.41818181818181815,0.1399942643904554,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4727073833418,0.6,1.5399369082950094,0.0,0.0,0.0,0.0,0.0,0.0
