step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed
0,random,0,0,504.7682217850339,56.08535797611488,2000504.768221785,181864.0698383441,84.2,2.7516339869281046,61806.49252615448,2019.8200171945907,30.6,3.376579878227308,20.47141277963644,11.8,20,2.5758352712270147,0.38562091503267976,20.47141277963644,100.0,4.0,0.36363636363636365,1.6384523332018477,0.0,11,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,18.32053524225671,0.4,3.6122756210067384,0.0,0.0,0.0,82.73734399497215,1.0,7.2380926500192215,6.663188931721891,0.4,3.3445912208965516,17.464472407050096,0.8,3.828016173297813,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,random,0,0,352.62776778268,39.18086308696444,2000352.6277677831,181850.2388879803,148.0,5.211267605633803,58504.15042939542,2060.005296809698,28.4,4.255663252203915,21.314562688483587,13.8,17,3.4283373476600847,0.4859154929577465,21.314562688483587,100.0,3.4000000000000004,0.3090909090909091,5.196670715504665,0.0,11,0.0,0.0,0.0,5.5415878032144406,0.4,10.826943722129254,3.2909343100757837,0.4,11.182986851485856,8.464400434497463,0.2,11.814185868669512,8.255660715548743,0.2,12.112900886498354,100.0,1.0,0.0,8.90760630998301,0.2,11.226360541768347,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,random,0,0,515.9613289311501,52.649115197056126,1200515.9613289312,109137.81466626647,219.2,7.355704697986577,54909.54555786031,1842.6021999281982,29.8,4.097434656112896,24.033109528575356,16.0,15,4.007415994364314,0.5369127516778524,24.033109528575356,100.0,3.2,0.29090909090909095,1.0488807319273052,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,4.3642048143289,0.4,11.537688051200359,100.0,1.0,0.0,60.0,0.8,0.0,0.0,0.0,0.0
3,random,0,0,1123.8556301948975,117.06829481196849,1202852.7637393398,109350.25124903089,304.8,9.180722891566266,56314.919105380526,1696.2325031741123,33.2,2.96370646626992,36.322628437837764,19.8,23,3.7662455505323837,0.5963855421686747,36.322628437837764,100.0,4.6000000000000005,0.41818181818181815,3.768070897901209,0.0,11,40.80829130582117,0.6,7.610045575367748,41.63904615096669,0.6,7.416038198503571,99.45287487513156,1.0,3.7228934617583507,9.17205990545142,0.2,10.902676283281243,0.0,0.0,0.0,100.0,1.0,0.0,8.47664057884458,0.2,11.797126358002386,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,random,0,0,758.5846669052739,84.2871852116971,1808323.8533678292,164393.07757889357,413.0,11.28415300546448,68799.49096542217,1879.7675127164528,36.6,1.940604793003441,45.45454545454545,23.6,25,1.5941300833963434,0.644808743169399,45.45454545454545,100.0,5.0,0.45454545454545453,0.0,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,random,5,0,731.4620553967,73.14620553966999,1000731.4620553966,90975.58745958151,317.0,8.66120218579235,67399.17335591304,1841.5074687407932,36.6,2.546944050078222,38.28707920678588,15.4,25,1.8657190385510862,0.4207650273224044,38.28707920678588,100.0,5.0,0.45454545454545453,1.784173264830941,0.0,11,60.0,0.8,0.0,60.0,0.8,0.0,80.0,1.0,0.0,12.6057673077338,0.2,7.9328768776057546,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,8.55210396691092,0.2,11.693029035534597,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,random,5,5,517.2688324996464,51.72688324996464,1000517.2688324997,90956.11534840906,368.2,11.023952095808383,66014.99224701582,1976.496773862749,33.4,4.227841564287073,23.228284546866778,16.6,16,3.585345678298955,0.49700598802395207,23.22828454686678,100.0,3.2,0.29090909090909095,1.8581148179119105,0.0,11,0.0,0.0,0.0,35.88125414836952,0.6,2.1505289369594798,12.278543191716835,0.2,8.144288653678434,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,7.351332675448248,0.4,10.144445406393102,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,random,5,5,454.93800542433763,48.39766015152528,1201426.2624138598,109220.5693103509,453.4,13.414201183431953,62681.42092445543,1854.4799090075571,33.8,3.4366009569683307,26.910173588432727,18.6,18,3.032470068700349,0.5502958579881657,26.910173588432723,100.0,3.8000000000000003,0.34545454545454546,4.622853408303201,0.0,11,8.12632392713283,0.4,11.573997049126778,3.015371463113752,0.2,11.54557415368036,0.0,0.0,0.0,12.317149144466839,0.2,8.118761803328688,11.095410035919713,0.2,9.012735867918817,100.0,1.0,0.0,1.4576549021268193,0.2,10.600318617280577,0.0,0.0,0.0,100.0,1.0,0.0,60.0,0.6,0.0,0.0,0.0,0.0
8,random,5,5,1291.9930719710035,137.44607148627696,1008435.3724067232,91675.94294606574,550.4,15.03825136612022,62038.99980154428,1695.0546393864558,36.6,2.4316027590951474,24.21289715909211,21.8,17,2.2053393737158427,0.5956284153005464,24.21289715909211,100.0,3.4000000000000004,0.30909090909090914,0.5642139981182779,0.0,11,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.2,0.0,66.34186875001319,0.8,6.206353979301056,100.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
9,random,5,5,731.2145958452354,81.24606620502615,1850158.9857636075,168196.27143305523,667.6,17.66137566137566,68289.64278175247,1806.6043063955678,37.8,3.611848852514621,35.26275115469642,25.0,22,4.207571307576268,0.6613756613756614,35.26275115469642,100.0,4.4,0.4,2.4796676073965944,0.0,11,8.692216105509942,0.2,11.504545996804039,0.0,0.0,0.0,4.653224889755165,0.4,11.082545549422502,74.54482170639551,0.8,4.689252135136001,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,random,5,5,629.327879270171,65.55498742397616,1400629.3278792696,127329.93889811542,797.2,18.626168224299064,76535.37726868878,1788.2097492684297,42.8,3.163088418228444,43.273589414080114,28.2,26,3.6304072527561217,0.6588785046728972,43.273589414080114,100.0,5.2,0.4727272727272727,2.153003071780955,0.0,11,6.501948832082576,0.2,10.604210710204645,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,23.771321687763702,0.4,6.518161578018846,100.0,1.0,0.0,45.73621303503501,0.6,6.560661501367013,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
