step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed
0,mixed_20,0,0,252.87749191620793,42.146248652701324,252.87749191620793,42.146248652701324,1.4,0.15217391304347827,17823.6337253522,1937.3514918861088,9.2,4.394281100576678,1.3565687408764404,1.2,3,2.070575451750395,0.13043478260869565,1.3565687408764404,7.037127566962624,0.6000000000000001,0.10000000000000002,2.4787301982955015,0.0,6,1.1022848782960182,0.4,5.9207065170911735,7.037127566962624,0.2,8.951674672681836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mixed_20,0,0,240.95365240914452,43.027437930204385,1555.4134032292236,259.2355672048706,14.6,1.3518518518518519,18469.30559848158,1710.1208887482946,10.8,3.383761337656354,4.491696392335598,4.0,5,2.178399431999396,0.37037037037037035,4.491696392335598,23.808149912135832,1.0,0.16666666666666666,2.191009889331308,0.0,6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,23.808149912135832,0.4,8.445052500513773,0.0,0.0,0.0,3.1420284418777555,0.4,4.701006835474074
2,mixed_20,0,0,238.83056827154846,47.76611365430969,804708.8214199583,134118.13690332638,37.2,3.1,20389.6241770314,1699.1353480859502,12.0,2.1229568828790693,2.8544561655347898,5.8,1,1.611056071647825,0.48333333333333334,2.8544561655347898,17.126736993208738,0.2,0.03333333333333333,0.9166586487454175,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.126736993208738,0.2,5.499951892472505,0.0,0.0,0.0
3,mixed_20,0,0,272.8761945915827,52.47619126761206,800272.8761945918,133378.81269909863,67.0,4.926470588235294,25378.339982249967,1866.0544104595563,13.6,2.4084723447498706,5.538466149397247,6.4,3,1.534686202558042,0.47058823529411764,5.538466149397247,33.23079689638348,0.6000000000000001,0.10000000000000002,0.8305781097579437,0.0,6,33.23079689638348,0.4,4.983468658547662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
4,mixed_20,0,0,359.120637464679,64.12868526154983,613720.9672768193,102286.82787946989,100.2,6.958333333333333,24602.938666497554,1708.5374073956636,14.4,2.9294135221242383,26.185833859031984,7.4,11,1.9109094364997257,0.5138888888888888,26.185833859031977,100.0,2.2,0.3666666666666667,3.5517053662864346,0.0,6,100.0,1.0,0.0,0.0,0.0,0.0,2.7110125422041165,0.4,8.713894892018288,44.81808017897691,0.6,6.75912807344659,0.0,0.0,0.0,9.585910433010838,0.2,5.837209232253731
5,mixed_20,0,0,346.7198659293073,69.34397318586146,1000346.7198659291,166724.45331098817,141.2,9.051282051282051,26713.87253223203,1712.4277264251302,15.6,2.499637933686981,35.30043501996109,9.2,12,2.0155392271544974,0.5897435897435898,35.30043501996109,100.0,2.4000000000000004,0.4000000000000001,1.412117023060348,0.0,6,100.0,1.0,0.0,11.802610119766541,0.2,8.472702138362088,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
6,mixed_20,0,0,526.1842473812411,97.44152729282241,600526.1842473812,100087.69737456353,193.6,11.0,28436.270050483326,1615.6971619592798,17.6,1.757894926275999,54.43918567236798,11.8,19,1.5260449184938718,0.6704545454545454,54.43918567236798,100.0,3.8,0.6333333333333333,2.997598259827857,0.0,6,100.0,1.0,0.0,29.904205401219315,0.4,5.632694103534224,81.4364693088811,1.0,7.7719559654524275,100.0,1.0,0.0,15.29443932410743,0.4,4.580939489980489,0.0,0.0,0.0
7,mixed_20,4,0,463.03610485305535,82.6850187237599,6512.636483946519,1085.4394139910864,38.2,2.4177215189873418,28259.711665181745,1788.5893458975788,15.8,1.7162097828411735,43.333333333333336,4.6,17,1.0903218471439624,0.2911392405063291,43.333333333333336,80.0,3.4000000000000004,0.5666666666666668,0.0,0.0,6,80.0,1.0,0.0,60.0,0.8,0.0,60.0,0.8,0.0,60.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mixed_20,4,4,224.37300691132273,37.395501151887125,224.37300691132273,37.395501151887125,20.0,1.5625,26758.928041995026,2090.5412532808614,12.8,3.2791660355333425,6.790767480273796,2.0,4,1.7810589904534497,0.15625,6.790767480273796,24.62711947928028,0.8,0.13333333333333333,1.1959003862729067,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.62711947928028,0.6,1.6263599537863704,0.0,0.0,0.0,16.11748540236249,0.2,5.54904236385107
9,mixed_20,4,4,201.3933905046154,37.295072315669515,22456.56231801761,3742.7603863362688,30.6,3.3260869565217392,17418.358691063222,1893.2998577242633,9.2,3.652504003086354,3.6384373683322715,3.0,3,2.4302402030484687,0.32608695652173914,3.6384373683322715,10.917270472567111,0.6000000000000001,0.10000000000000002,3.0538141361126976,0.0,6,10.917270472567111,0.2,9.159798710793119,0.0,0.0,0.0,10.913353737426519,0.2,9.16308610588307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10,mixed_20,4,4,335.94145865433586,55.990243109055974,335.94145865433586,55.990243109055974,45.0,4.326923076923077,21203.02997176088,2038.7528819000847,10.4,3.879912358655338,4.043674395668404,3.4,3,2.4532831580844654,0.3269230769230769,4.043674395668404,15.073565618682778,0.6000000000000001,0.10000000000000002,2.3803309857595463,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.188480755327646,0.4,8.681810611579568,15.073565618682778,0.2,5.600175302977711,0.0,0.0,0.0
