step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed
0,random,0,0,576.1685978934083,73.86776896069338,2704.319813117364,338.0399766396705,5.6,0.4666666666666667,19503.905348835462,1625.3254457362884,12.0,4.296503435536801,11.348151000662732,1.8,6,4.271011581684345,0.15,11.348151000662732,80.0,1.2,0.15,1.1589948004577362,0.0,8,0.0,0.0,0.0,10.785208005301854,0.2,9.27195840366189,0.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,random,0,0,144.3523869314328,24.0587311552388,1154458.6917352807,144307.33646691008,13.0,1.3,20465.013738958674,2046.5013738958673,10.0,4.217249504163097,3.137055367310282,3.2,3,4.177219412361191,0.32,3.137055367310282,25.096442938482255,0.6,0.075,0.23284012095306886,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.096442938482255,0.6,1.8627209676245509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,random,0,0,377.8747831713015,57.253755025954774,1400377.8747831716,175047.23434789645,28.6,2.3833333333333333,22502.073406769454,1875.1727838974546,12.0,4.718321881924857,1.7207592001615524,4.0,3,4.427623528646009,0.3333333333333333,1.7207592001615524,11.320804335718151,0.6000000000000001,0.07500000000000001,2.2000283452216403,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.445269265574268,0.4,8.766932144667953,0.0,0.0,0.0,11.320804335718151,0.2,8.83329461710517
3,random,0,0,255.16836149482282,37.5247590433563,1000491.3794603979,125061.42243254973,52.0,4.0625,21470.362241261184,1677.37205009853,12.8,4.0949192094984275,4.821722460928761,5.8,4,4.2853383284258175,0.453125,4.821722460928761,14.27916663524826,0.8,0.1,2.8626183825508096,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,14.27916663524826,0.2,7.003209819902867,12.386449053789761,0.4,7.500137071955144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.90816399839207,0.2,8.397600168548465
4,random,0,0,459.88593087756954,65.69799012536707,682767.2638503086,85345.90798128858,87.0,5.958904109589041,27354.481019370636,1873.5945903678519,14.6,2.7635255509950225,0.0,8.4,0,2.458735135511606,0.5753424657534246,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,random,4,0,267.5587341768667,38.22267631098096,206013.1927080452,25751.64908850565,82.8,5.447368421052632,25734.16791415799,1693.037362773552,15.2,3.0162726872225947,7.109188414446983,6.2,7,2.2909952443619033,0.40789473684210525,7.109188414446983,37.70495786509457,1.4,0.175,3.737184400099206,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.70495786509457,0.4,4.190681788747502,12.014273142433751,0.2,8.323433204361361,0.3387353025360085,0.4,9.025514574394078,6.815541005511534,0.4,8.357845633290708,0.0,0.0,0.0
6,random,4,4,570.6412745010107,81.52018207157296,973542.3552239758,121692.79440299698,117.0,7.597402597402597,28982.444212037615,1881.9768968855594,15.4,2.7707168976875027,13.335834100008412,8.0,7,2.402682259735399,0.5194805194805194,13.335834100008412,100.0,1.4,0.175,1.0710455295979044,0.0,8,6.686672800067299,0.4,8.568364236783236,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,random,4,4,428.45669783564625,64.91768149024944,560367.7166823886,70045.96458529857,158.4,10.025316455696203,28765.34289088107,1820.5913222076629,15.8,3.4146254693445703,15.275869717470698,9.2,7,3.3805376567468315,0.5822784810126582,15.275869717470698,100.0,1.4,0.175,2.252552829263696,0.0,8,0.0,0.0,0.0,11.338156637092425,0.2,8.819775841943578,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86880110267316,0.2,9.20064679216599
8,random,4,4,527.5309837713737,82.42671621427714,1204319.1786909064,150539.8973363633,208.2,10.957894736842105,33571.49200391566,1766.9206317850346,19.0,3.148324183613185,24.11424370907909,11.4,12,3.9800778218944473,0.6,24.11424370907909,100.0,2.4,0.3,1.8962978331468907,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,83.78997920544634,1.0,6.475658309816495,9.123970467186382,0.4,8.69472435535863,0.0,0.0,0.0
9,random,4,4,422.6186076504129,60.37408680720184,1000422.6186076505,125052.82732595631,265.0,13.520408163265307,34894.713598225135,1780.3425305216904,19.6,1.9813512753511162,28.29510035532586,12.0,13,1.4644962709356435,0.6122448979591837,28.295100355325857,100.0,2.6,0.325,0.8076388676932802,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,26.36080284260686,0.6,6.4611109415462415,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
