step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,mixed_20,0,0,143.75329448879236,28.750658897758473,143.75329448879236,28.750658897758473,0.6,0.0297029702970297,37109.12234746118,1837.0852647258012,20.2,3.5853902620706144,16.470415388569847,1.2,10,1.2946137615312876,0.0594059405940594,16.470415388569847,38.0080999642945,2.0,0.4,5.130594408166191,0.0,5,38.0080999642945,0.8,4.051627006875909,25.655375869493753,0.6,2.663223154015905,10.643212825605133,0.2,9.395659152791055,0.0,0.0,0.0,8.04538828345585,0.4,9.542462727148088
1,mixed_20,0,0,160.52333384094655,32.10466676818931,160.52333384094655,32.10466676818931,8.0,0.39603960396039606,37322.93921456426,1847.6702581467455,20.2,3.1616890631342396,18.70894476222992,2.4,9,1.1071700707203387,0.1188118811881188,18.70894476222992,80.0,1.8,0.36,1.1037878640704974,0.0,5,13.544723811149595,0.8,5.518939320352487,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mixed_20,0,0,138.80702614968465,27.76140522993693,138.80702614968465,27.76140522993693,18.0,0.989010989010989,38863.10289400093,2135.3353238462046,18.2,4.211806742891672,8.528715525000564,2.0,12,1.8835083237258985,0.10989010989010989,8.528715525000564,20.19674619249713,2.4,0.48,7.0682847053488045,2.3469446802344502,5,4.677205247569702,0.6,6.306753303930725,20.19674619249713,0.6,2.3469446802344502,8.277157050207506,0.4,9.216892485041171,5.852825539228945,0.4,8.954670021962375,3.6396435954995354,0.4,8.516163035575302
3,mixed_20,0,0,140.75408410887306,33.5128771687793,322854.3918867303,64570.87837734605,33.0,1.896551724137931,37271.13351260255,2142.019167390951,17.4,3.234315302905516,9.087183472823426,4.6,11,2.241974262529733,0.26436781609195403,9.087183472823426,23.84475597827418,2.2,0.44000000000000006,4.37958110739763,0.0,5,16.79503336370658,1.0,8.598732090143793,23.84475597827418,0.8,4.548194124183645,0.0,0.0,0.0,0.0,0.0,0.0,4.796128022136372,0.4,8.750979322660713
4,mixed_20,0,0,350.94085381595886,73.11267787832476,543314.9778620556,108662.99557241114,53.6,3.392405063291139,32249.004730258213,2041.0762487505199,15.8,3.000249871138061,6.572102414422204,5.0,7,1.9007145379262491,0.31645569620253167,6.572102414422204,17.684181370952672,1.4,0.27999999999999997,4.211863159149407,0.0,5,2.993817227944362,0.6,9.864393680728956,17.684181370952672,0.6,6.269554393046574,0.0,0.0,0.0,12.182513473213987,0.2,4.925367721971504,0.0,0.0,0.0
5,mixed_20,0,0,221.57692271129775,44.31538454225955,221.57692271129775,44.31538454225955,79.8,5.115384615384615,29283.503177199607,1877.1476395640773,15.6,2.6916246679314235,22.545750256671795,6.2,7,1.4083783612903822,0.3974358974358974,22.545750256671795,100.0,1.4,0.27999999999999997,1.5006326652867295,0.0,5,0.0,0.0,0.0,12.728751283358974,0.4,7.503163326433647,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
6,mixed_20,0,0,206.74257776589758,43.071370367895334,511.3729642834892,102.27459285669784,116.0,6.666666666666667,28921.86133016828,1662.1759385154185,17.4,2.2772961306902344,27.720748808746862,8.6,10,0.923522380698209,0.4942528735632184,27.720748808746862,100.0,2.0,0.4,4.513440484509838,0.0,5,16.87602710576357,0.4,5.909347893937378,9.627806195633184,0.4,8.393330754060297,0.0,0.0,0.0,100.0,1.0,0.0,12.099910742337556,0.2,8.264523774551515
7,mixed_20,0,0,564.2859106534515,141.07147766336288,602179.8727786143,120435.97455572286,172.4,8.707070707070708,32363.160404569375,1634.5030507358272,19.8,1.2296904567707154,58.28692465253482,13.8,16,0.922362338298429,0.696969696969697,58.28692465253482,100.0,3.2,0.64,3.295941979203152,0.0,5,94.34298836624976,1.0,4.864762350508336,0.0,0.0,0.0,84.5472309746765,1.0,6.632685732047859,100.0,1.0,0.0,12.544403921747858,0.2,4.982261813459563
8,mixed_20,2,0,539.5537166447732,107.91074332895464,539.5537166447732,107.91074332895464,215.0,9.862385321100918,37064.58990920278,1700.2105462937054,21.8,1.2748316108870048,84.5187251209187,13.0,23,0.7515654998853027,0.5963302752293578,84.5187251209187,100.0,4.6,0.9199999999999999,1.463095079681311,0.0,5,100.0,1.0,0.0,62.59362560459351,0.8,7.315475398406554,100.0,1.0,0.0,100.0,1.0,0.0,60.0,0.8,0.0
9,mixed_20,2,2,336.4489536847887,67.28979073695774,336.4489536847887,67.28979073695774,280.0,12.5,40620.10101558828,1813.397366767334,22.4,2.0164453915362204,81.48309997064041,14.2,22,1.6666506036749331,0.6339285714285714,81.48309997064041,100.0,4.4,0.8800000000000001,1.7477471394091846,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,7.41549985320205,0.4,8.738735697045923
