step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,random,2,0,514.0460044217003,102.80920088434007,514.0460044217003,102.80920088434007,24.0,0.8,49323.710171441155,1644.1236723813718,30.0,1.8056960611428658,36.23718512918475,6.8,14,1.1366432456251816,0.22666666666666666,36.23718512918475,100.0,2.8000000000000003,0.56,3.2718398639507207,0.0,5,44.735614448757985,0.8,4.0850919569700554,100.0,1.0,0.0,0.0,0.0,0.0,34.647397322833626,0.8,3.829366865368793,1.8029138743321482,0.2,8.444740497414756
1,random,1,2,554.6010284549462,110.92020569098925,554.6010284549462,110.92020569098925,42.6,1.3067484662576687,51417.067030206796,1577.2106450983679,32.6,1.4570685690127165,60.68805923408706,12.6,17,0.7530307695727647,0.38650306748466257,60.68805923408706,100.0,3.4000000000000004,0.68,0.44062001552581914,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,3.4402961704353174,0.2,2.2031000776290957,100.0,1.0,0.0,0.0,0.2,0.0
2,random,3,1,713.2337038581985,142.6467407716397,713.2337038581985,142.6467407716397,80.4,2.407185628742515,52331.38963392157,1566.8080728719033,33.4,1.4847868816699878,80.0,17.6,20,1.2189998060257263,0.5269461077844312,80.0,100.0,4.0,0.8,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
3,random,2,3,656.6311426731902,142.74590058112832,1433.6587146081006,286.73174292162014,30.0,0.9259259259259259,51210.17251575021,1580.560880115747,32.4,1.654680000790639,39.45577135409536,10.2,16,1.7650876299374725,0.3148148148148148,39.45577135409536,100.0,3.2,0.64,2.9394791431000753,0.0,5,34.37516496699942,0.6,2.4549840737191158,26.678140755685718,0.6,1.6570956033523052,100.0,1.0,0.0,33.985922954401815,0.6,1.996852277050876,2.239628093389854,0.4,8.58846376137808
4,random,1,2,500.20303053189144,119.09595965045034,34736.242309427165,6947.248461885433,48.0,1.4285714285714286,54272.86818481025,1615.2639340717335,33.6,1.2575906049816257,69.4538287420674,13.6,21,1.0207327046729855,0.40476190476190477,69.4538287420674,100.0,4.2,0.8400000000000001,2.47921045850962,0.0,5,37.79057798241837,0.8,3.3883185073733153,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,9.478565727918635,0.4,9.007733785174786
5,random,3,1,582.7808309746326,116.55616619492653,582.7808309746326,116.55616619492653,59.6,1.8060606060606061,52931.72405368955,1603.9916379905924,33.0,1.3174208632220001,72.20476715053701,10.2,19,0.8149480714968903,0.3090909090909091,72.20476715053701,100.0,3.8,0.76,0.8154548820923002,0.0,5,61.023835752685045,0.8,4.077274410461501,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
6,random,3,3,351.0294989539323,70.20589979078646,351.0294989539323,70.20589979078646,11.4,0.3584905660377358,53695.91627072067,1688.5508261232915,31.8,1.9386001239396367,34.44058195392677,4.4,14,1.1707431968729365,0.13836477987421383,34.44058195392677,100.0,2.8000000000000003,0.56,2.8012243206974192,0.0,5,100.0,1.0,0.0,25.415805196727206,0.6,1.6366150727248843,7.033999094807086,0.4,1.5982275436597368,29.38178265755198,0.6,1.9368225887643935,10.371322820547562,0.2,8.83445639833808
7,random,1,3,424.5086144234122,84.90172288468244,424.5086144234122,84.90172288468244,14.6,0.45625,50199.45292832058,1568.732904010018,32.0,1.8801719144606606,41.49275655058738,6.0,16,1.2522096956580162,0.1875,41.49275655058739,100.0,3.2,0.64,2.03811554138806,0.0,5,22.777294745833956,0.6,1.5313233683932543,100.0,1.0,0.0,31.969346734583723,0.6,4.899786484639275,52.71714127251926,0.8,3.7594678539077724,0.0,0.2,0.0
8,random,1,1,420.95304376019675,100.22691518099923,10917.957363220445,2183.5914726440888,30.0,0.9259259259259259,50771.15922412691,1567.0110871644108,32.4,1.0069519730920677,76.41575592340484,10.6,22,0.6730385283173007,0.3271604938271605,76.41575592340484,100.0,4.4,0.8800000000000001,1.916789548163803,0.0,5,33.80096840639055,0.6,3.3554192051477565,80.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,68.27781121063367,0.8,6.228528535671259
9,random,1,1,500.81486518896764,108.87279678021036,14835.419823851995,2967.083964770399,82.8,2.4352941176470586,56291.14082038354,1655.6217888348099,34.0,1.050980133359187,83.04119435541179,14.0,22,0.5224103593668379,0.4117647058823529,83.04119435541179,100.0,4.4,0.8800000000000001,0.6027603692210568,0.0,5,100.0,1.0,0.0,15.205971777058949,0.4,3.013801846105284,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
