step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,mixed_20,0,0,126.83469810063688,27.572760456660195,400126.8346981007,80025.36693962014,0.0,0.0,14967.743981466654,2138.249140209522,7.0,6.852400093170592,2.4042711169484505,0.6,1,4.317188618627653,0.08571428571428572,2.4042711169484505,12.021355584742253,0.2,0.04,1.6637058823369641,0.0,5,0.0,0.0,0.0,12.021355584742253,0.2,8.318529411684821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mixed_20,0,0,294.3177962763464,58.86355925526929,294.3177962763464,58.86355925526929,0.0,0.0,17208.34577313281,2390.0480240462234,7.2,5.166982017744606,8.193670808179604,0.0,6,3.166727753775181,0.0,8.193670808179604,19.939006731553093,1.2000000000000002,0.24000000000000005,5.623210720752188,0.0,5,10.593156177130822,0.2,9.440057177282663,19.939006731553093,0.6,9.793255431656043,0.0,0.0,0.0,0.0,0.0,0.0,10.436191132214105,0.4,8.882740994822235
2,mixed_20,0,0,54.487079970339735,13.621769992584934,429941.05875789735,85988.21175157947,3.0,0.6818181818181818,10481.900472498131,2382.250107385939,4.4,6.212403888496311,1.7025296495115754,1.0,2,4.5001436031083815,0.22727272727272727,1.7025296495115754,8.512648247557877,0.4,0.08,2.1355879207289283,0.0,5,8.512648247557877,0.4,10.677939603644642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mixed_20,0,0,238.2591619633844,51.79546999204009,400238.25916196336,80047.65183239267,8.0,1.4814814814814814,11675.253756039985,2162.0840288962936,5.4,6.445497795615568,3.7314643024471934,1.4,5,4.318328907524281,0.25925925925925924,3.7314643024471934,12.03168021183643,1.0,0.2,5.194311262816169,0.0,5,12.03168021183643,0.2,8.3113911140709,0.0,0.0,0.0,5.209066738611625,0.4,9.022961543221026,1.416574561787911,0.4,8.637203656788916,0.0,0.0,0.0
4,mixed_20,0,0,285.60747488741356,84.0021984962981,459281.01229583414,91856.20245916683,16.2,2.7,10212.67552949482,1702.1125882491367,6.0,1.5376593308441122,0.0,2.6,0,1.8609808377891464,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,mixed_20,0,0,298.6329005469387,71.10307155879492,362236.33085278695,72447.26617055738,31.0,4.078947368421052,15024.076942772721,1976.8522293122,7.6,3.6881063807213907,0.0,3.4,0,4.153826275548522,0.4473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,mixed_20,0,0,159.9280077657109,34.76695820993716,6379.709573241634,1275.9419146483267,46.2,5.25,17467.111682117862,1984.8990547861206,8.8,5.224157048864804,3.2109308160310093,3.2,3,4.870687330850965,0.36363636363636365,3.2109308160310093,11.546015846222986,0.6000000000000001,0.12000000000000002,3.561108217798219,0.0,5,11.546015846222986,0.2,8.66099625462689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.508638233932061,0.4,9.144544834364206
7,mixed_20,0,0,245.1176518426042,55.7085572369555,600245.1176518425,120049.0235303685,65.0,7.386363636363637,18262.43048723073,2075.276191730765,8.8,5.378906721307706,1.1793891289678413,4.4,3,4.780290746878293,0.5,1.1793891289678413,5.896945644839207,0.6,0.12,1.8113415819571173,0.0,5,5.896945644839207,0.6,9.056707909785587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mixed_20,0,0,207.08258905109446,47.06422478433964,202571.2258526353,40514.245170527065,85.2,10.142857142857142,14098.05060140152,1678.3393573097048,8.4,4.16949158589491,2.2296886226348533,4.4,5,4.535460651171095,0.5238095238095238,2.2296886226348533,6.411078999236679,1.0,0.2,3.479426788203418,0.0,5,0.0,0.2,0.0,0.0,0.0,0.0,4.737364113937588,0.4,8.39676799895242,6.411078999236679,0.4,9.000365942064672,0.0,0.0,0.0
9,mixed_20,0,0,265.45295285101145,78.0743978973563,947947.6907564839,189589.5381512968,112.0,11.666666666666666,17195.124118450585,1791.1587623386024,9.6,1.949063826790161,0.0,6.2,0,2.137858625473115,0.6458333333333334,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
