step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,actuated,0,0,487.4042363447922,97.48084726895844,487.4042363447922,97.48084726895844,28.4,1.0923076923076922,45027.15493214848,1731.81365123648,26.0,2.2059679351103245,38.0538172470749,7.2,14,1.3932187585529283,0.27692307692307694,38.0538172470749,100.0,2.8,0.5599999999999999,0.7956288949101921,0.0,5,30.269086235374516,1.0,3.97814447455096,100.0,1.0,0.0,0.0,0.0,0.0,60.0,0.8,0.0,0.0,0.0,0.0
1,actuated,0,0,508.7211074501853,110.59154509786637,200789.25425289274,40157.85085057855,71.4,2.7890625,46449.80921497761,1814.445672460063,25.6,2.579505935342244,42.81190323396726,10.6,15,1.7589868309559913,0.4140625,42.81190323396726,100.0,3.0,0.6,3.8836762536036873,0.0,5,16.48226359160617,0.6,5.546831764702009,100.0,1.0,0.0,91.78895240588957,1.0,5.219221745522018,0.0,0.0,0.0,5.788300172340541,0.4,8.65232775779441
2,actuated,0,0,165.3203203186054,41.33008007965135,68619.569079134,13723.9138158268,135.2,5.408,46347.41175053873,1853.8964700215495,25.0,2.7869642887279507,43.0406234319974,14.2,14,2.209375959771281,0.568,43.0406234319974,100.0,2.8,0.5599999999999999,1.3768582220426255,0.0,5,15.203117159987016,0.8,6.884291110213128,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,356.7212216025262,84.93362419107767,398915.6534755331,79783.13069510662,183.6,7.982608695652174,41348.78464784475,1797.7732455584676,23.0,4.277913902329168,47.11908578736097,14.8,14,3.992471460540473,0.6434782608695652,47.11908578736097,100.0,2.8,0.5599999999999999,3.42213413848001,0.0,5,24.573467158867572,0.4,8.14987496903257,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.021961777937292,0.4,8.96079572336748
4,actuated,0,0,425.74336789765584,85.14867357953116,425.74336789765584,85.14867357953116,159.0,7.5,39366.54946144599,1856.9127104455654,21.2,2.830451704278859,33.19518308871034,10.6,13,2.6683061506445003,0.5,33.19518308871034,100.0,2.6,0.52,3.500754785250387,0.0,5,0.542970449612028,0.4,8.926252155804445,60.0,0.8,0.0,100.0,1.0,0.0,5.432944993939657,0.4,8.57752177044749,0.0,0.0,0.0
5,actuated,0,0,221.45436050686757,44.290872101373516,221.45436050686757,44.290872101373516,105.0,5.25,38217.32389160197,1910.8661945800984,20.0,4.360802502050542,28.15442552441749,6.0,10,4.095276484395892,0.3,28.15442552441749,100.0,2.0,0.4,2.3920031425007844,0.0,5,0.0,0.0,0.0,30.460746003820134,0.6,3.6354930317258685,100.0,1.0,0.0,10.311381618267319,0.4,8.324522680778053,0.0,0.0,0.0
6,actuated,0,0,232.4497823499621,46.48995646999242,232.4497823499621,46.48995646999242,137.0,6.061946902654867,40629.936943455206,1797.7848205068674,22.6,5.20479289307173,26.044397509572377,7.4,10,4.56725738350725,0.3274336283185841,26.044397509572377,100.0,2.0,0.4,2.8706742049606135,0.0,5,0.0,0.0,0.0,24.525784316894033,0.8,5.103486045841867,100.0,1.0,0.0,0.0,0.0,0.0,5.696203230967853,0.2,9.2498849789612
7,actuated,0,0,360.797510083555,78.43424132251197,400360.7975100836,80072.15950201672,175.2,7.361344537815126,42484.053770784354,1785.0442760833762,23.8,3.7052490195011014,32.86128736054036,8.6,14,3.626430343917209,0.36134453781512604,32.86128736054036,100.0,2.8000000000000003,0.56,1.9611288015036514,0.0,5,22.303205561464665,0.8,7.972722998533061,42.00323124123713,0.8,1.8329210089851962,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
8,actuated,0,0,509.31779387608185,106.10787372418372,804.5611220870509,160.9122244174102,217.0,8.219696969696969,43740.10036838371,1656.8219836508981,26.4,3.1417646955837704,42.02322038596265,9.0,12,2.535460934484216,0.3409090909090909,42.023220385962645,100.0,2.4,0.48,1.7146708156168462,0.0,5,10.116101929813226,0.4,8.57335407808423,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,0,0,495.0636881204211,103.13826835842106,790.8464093308418,158.16928186616835,262.2,9.931818181818182,47682.021575472616,1806.1371808891142,26.4,4.029326590769885,31.576974947064514,9.6,14,3.10080762433635,0.36363636363636365,31.576974947064514,100.0,2.8,0.5599999999999999,4.244165985036946,0.0,5,21.57519613906061,0.6,9.270349414018305,32.44081334004704,0.8,2.847002099488201,100.0,1.0,0.0,3.8688652562149173,0.4,9.103478411678225,0.0,0.0,0.0
10,actuated,0,0,385.5171458655599,83.8080751881652,15134.20513838385,3026.84102767677,311.6,12.171875,44238.40550812783,1728.0627151612432,25.6,4.718735890373284,34.65112007012817,10.8,12,4.309648692565635,0.421875,34.65112007012817,100.0,2.4000000000000004,0.4800000000000001,4.428688100697469,0.0,5,0.5979598080023152,0.4,9.168444823380653,61.704748641089395,0.8,3.8449868295805425,100.0,1.0,0.0,10.952891901549151,0.2,9.130008850526155,0.0,0.0,0.0
