step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,random,0,0,351.41477743262834,70.28295548652567,351.41477743262834,70.28295548652567,22.8,0.76,45630.45089188229,1521.0150297294097,30.0,2.4105520892719956,57.65563254288844,7.4,17,1.6138177804194194,0.24666666666666667,57.65563254288844,100.0,3.4000000000000004,0.68,2.1048200896395914,0.0,5,26.097247574137157,0.6,3.6795690699960537,100.0,1.0,0.0,0.0,0.0,0.0,73.40115576952684,0.8,3.412635716086306,88.77975937077821,1.0,3.431895662115598
1,random,0,0,558.3201890350905,111.6640378070181,558.3201890350905,111.6640378070181,50.8,1.6821192052980132,54050.477138348346,1789.750898620806,30.2,2.754629346877042,57.515183578216295,12.4,20,3.0660159523353814,0.4105960264900662,57.515183578216295,100.0,4.0,0.8,2.83087238212124,0.0,5,24.090256989000807,0.8,5.1924697502985815,60.0,0.8,0.0,3.4856609020806673,0.4,8.961892160307618,100.0,1.0,0.0,100.0,1.0,0.0
2,random,0,0,288.43839333707876,65.55418030388154,183828.99878987667,36765.799757975336,95.6,3.3194444444444446,53195.65105980951,1847.071217354497,28.8,2.0323554995954374,51.53749547266791,13.4,16,1.915391881023405,0.4652777777777778,51.5374954726679,100.0,3.2,0.64,2.084403601361116,0.0,5,28.498804259438373,0.6,7.014884113503978,29.188673103901124,0.6,3.4071338933016007,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
3,random,0,0,558.9211231909819,111.78422463819638,558.9211231909819,111.78422463819638,149.2,5.328571428571428,49608.53778027947,1771.7334921528382,28.0,2.110648522495967,52.4444550876903,13.4,19,2.216459483857453,0.4785714285714286,52.4444550876903,100.0,3.8,0.76,2.4941337055309303,0.0,5,19.53872888837452,1.0,8.017223847886648,42.68354655007698,0.8,4.453444679768003,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
4,random,0,0,541.0104974227013,108.20209948454026,541.0104974227013,108.20209948454026,222.4,8.176470588235293,44843.967150741475,1648.675262894907,27.2,1.9101581657776636,58.243292004556,16.2,17,1.725569202223856,0.5955882352941176,58.243292004556,100.0,3.4,0.6799999999999999,1.7283589037582119,0.0,5,11.216460022779984,0.4,8.641794518791059,80.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
5,random,1,0,669.312950662506,139.44019805468875,1050.7868395368027,210.15736790736054,139.8,5.028776978417266,46020.86655352163,1655.426854443224,27.8,1.8791454590530023,42.88785842198387,11.6,13,1.659523868725828,0.4172661870503597,42.88785842198388,100.0,2.6,0.52,3.5002543470693794,0.0,5,13.995797296876162,0.2,7.145002023022999,49.59867365052503,0.6,1.9415916881026873,10.844821162518201,0.2,8.414678024221212,40.0,0.6,0.0,100.0,1.0,0.0
6,random,1,1,360.47592614510955,78.364331770676,7555.532487779262,1511.1064975558525,48.4,1.8473282442748091,47561.048332463186,1815.3071882619538,26.2,1.9045392693059835,33.84143685821152,5.6,13,1.433754380420964,0.21374045801526717,33.84143685821152,100.0,2.6,0.52,1.5799954461092736,0.0,5,7.200432915224724,0.2,4.517522149602618,100.0,1.0,0.0,0.0,0.2,0.0,30.43890927625796,0.6,1.5944690110683828,31.567842099574932,0.6,1.7879860698753667
7,random,1,1,396.2746725882522,90.06242558823912,214609.00665618107,42921.801331236216,76.8,2.9767441860465116,44056.896206027464,1707.6316358925374,25.8,2.360938534319266,38.15444804276058,8.2,16,1.8936703766557073,0.3178294573643411,38.15444804276058,100.0,3.2,0.64,2.8533143377001005,0.0,5,0.4542393732072014,0.6,8.170287731196732,100.0,1.0,0.0,0.0,0.0,0.0,50.92285695830583,1.0,3.7954528580655076,39.39514388228986,0.6,2.3008310992382626
8,random,1,1,596.0365673941972,119.20731347883944,596.0365673941972,119.20731347883944,110.8,4.432,41441.28220638655,1657.651288255462,25.0,1.6869236322166168,41.96511446685974,9.2,14,0.9762156115349054,0.368,41.965114466859745,100.0,2.8,0.5599999999999999,1.4265891276213907,0.0,5,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,68.40283850697574,1.0,5.079198061536197,41.422733827322986,0.8,2.053747576570756
9,random,1,1,618.5823799656403,123.71647599312806,618.5823799656403,123.71647599312806,166.4,6.028985507246377,44290.44192244713,1604.7261566104032,27.6,1.726394796772161,61.674585499893055,15.4,17,1.3479843360674661,0.5579710144927537,61.674585499893055,100.0,3.4,0.6799999999999999,0.7471138180717309,0.0,5,8.372927499465277,0.4,3.7355690903586547,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
