step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed
0,actuated,0,0,232.2140063781098,29.026750797263723,232.2140063781098,29.026750797263723,30.4,2.026666666666667,29605.916959088976,1973.7277972725985,15.0,5.062745657861134,4.98488631874519,5.0,5,3.835440198320674,0.3333333333333333,4.98488631874519,16.62747810636688,1.0,0.125,2.6172101672919634,0.0,8,0.0,0.0,0.0,10.68949769729187,0.2,9.35497652292254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.62747810636688,0.4,3.6222616878393143,12.562114746302768,0.2,7.960443127573851,0.0,0.2,0.0
1,actuated,0,0,235.41092550100112,29.42636568762514,235.41092550100112,29.42636568762514,60.2,3.960526315789474,30383.084522069898,1998.8871396098616,15.2,5.644026593751361,3.326803807321106,7.2,4,4.588290989962389,0.47368421052631576,3.326803807321106,15.464710735616052,0.8,0.1,2.832196790967678,0.0,8,15.464710735616052,0.2,4.5266343299156535,0.0,0.0,0.0,5.311973088353454,0.4,9.13969773510471,0.0,0.0,0.0,0.0,0.0,0.0,5.837746634599341,0.2,8.991242262721062,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,615.9227973025457,85.54483295868691,427778.05867128575,53472.25733391072,97.6,5.136842105263158,34174.53645503901,1798.6598134231058,19.0,2.8492848872319203,24.21608896123022,9.4,12,3.3651636216437932,0.49473684210526314,24.21608896123022,100.0,2.4,0.3,2.875877580245547,0.0,8,100.0,1.0,0.0,11.51890750741984,0.2,8.681378849130056,0.0,0.0,0.0,10.57920386159168,0.2,9.452507136482636,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,71.63060032083024,0.8,4.873134656351684
3,actuated,0,0,429.09129416774414,53.63641177096802,429.09129416774414,53.63641177096802,145.6,6.933333333333334,39599.09459718891,1885.67117129471,21.0,2.4501815270107934,33.34241596591081,10.8,14,1.4615802944611054,0.5142857142857142,33.34241596591081,100.0,2.8,0.35,0.7594152105462376,0.0,8,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.73932772728648,0.8,6.075321684369901,100.0,1.0,0.0
4,actuated,0,0,348.42633179075466,43.55329147384433,348.42633179075466,43.55329147384433,201.2,8.672413793103448,44543.47442324423,1919.9773458294928,23.2,3.3366902307113158,40.60995260206745,12.2,19,2.1066734381776033,0.5258620689655172,40.60995260206745,100.0,3.8,0.475,1.9933983429093551,0.0,8,100.0,1.0,0.0,22.758658822781115,0.4,6.86898835049248,0.0,0.0,0.0,0.0,0.0,0.0,2.120961993758499,0.4,9.07819839278236,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
5,actuated,0,0,562.6372920905962,70.32966151132453,562.6372920905962,70.32966151132453,266.4,10.40625,47491.11008205869,1855.1214875804176,25.6,3.808958853205568,54.356693313656095,14.8,25,3.177755820965798,0.578125,54.356693313656095,100.0,5.0,0.625,4.802096844196783,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,10.262527812724898,0.2,9.744187964685095,9.924633496110005,0.2,10.075938828289766,4.325164389358065,0.4,8.926609787438064,10.341220811055791,0.2,9.670038173161343,100.0,1.0,0.0,100.0,1.0,0.0
6,actuated,0,0,533.0296685275036,68.3371369907056,200533.02966852748,25066.628708565935,343.0,13.091603053435115,47712.21140225369,1821.076771078385,26.2,2.415964161388584,50.0,16.8,20,2.1024569930087695,0.6412213740458015,50.0,100.0,4.0,0.5,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
7,actuated,0,0,595.0258004533201,74.37822505666502,595.0258004533201,74.37822505666502,425.0,14.45578231292517,50433.805817293374,1715.4355720167814,29.4,2.685333457467498,52.672206372222306,17.8,22,2.0652212267583203,0.6054421768707483,52.672206372222306,100.0,4.4,0.55,2.3388912742491375,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,10.690572626055541,0.2,9.354035887308369,0.0,0.0,0.0,0.0,0.0,0.0,10.687078351722903,0.2,9.35709430668473,100.0,1.0,0.0,100.0,1.0,0.0
8,actuated,0,0,587.1576781808697,73.3947097726087,587.1576781808697,73.3947097726087,520.0,17.56756756756757,53320.92523030834,1801.3826091320386,29.6,3.25574293536294,50.789284423374994,20.2,22,2.6293484792184794,0.6824324324324325,50.789284423374994,100.0,4.4,0.55,1.132016699772794,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,6.314275386999952,0.4,9.056133598182353,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
9,actuated,0,0,883.9951094007096,119.45879856766345,3428.0895454679644,428.51119318349555,625.6,20.18064516129032,52311.74392311736,1687.4756104231408,31.0,3.981340068823804,53.52696603089996,22.8,24,4.048710756673396,0.7354838709677419,53.526966030899956,100.0,4.800000000000001,0.6000000000000001,3.492852285574168,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,10.514336753320777,0.2,9.510823397245355,0.0,0.0,0.0,10.45431245295049,0.2,9.565430577099052,7.247079040928384,0.4,8.86656431024894,100.0,1.0,0.0,100.0,1.0,0.0
