step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed
0,actuated,0,0,67.96783669349564,22.65594556449855,493152.0128899881,123288.00322249702,11.0,1.3095238095238095,17732.971273961684,2111.068008804962,8.4,3.5618368754246155,7.859270473410547,2.0,6,2.5603893092363,0.23809523809523808,7.859270473410547,16.24740059797034,1.2000000000000002,0.30000000000000004,2.052093113910237,0.0,4,15.189681295671846,0.4,3.2886271840363035,16.24740059797034,0.8,4.919745271604645,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,82.67963974678857,27.559879915596188,1000082.6796397468,250020.6699099367,21.0,3.5,11415.053473117008,1902.508912186168,6.0,3.1859886564033633,2.5667224761698293,2.4,1,2.2561245168778727,0.4,2.5667224761698293,10.266889904679317,0.2,0.05,2.4350119882561327,0.0,4,10.266889904679317,0.2,9.740047953024531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,58.20426730338778,19.401422434462592,1000058.2042673035,250014.55106682586,31.0,4.84375,13651.85847666357,2133.102886978683,6.4,3.97559387478251,4.637417928830629,2.2,3,2.674824438063954,0.34375,4.637417928830629,9.659646152275627,0.6000000000000001,0.15000000000000002,4.287531888438389,0.0,4,0.0,0.0,0.0,9.659646152275627,0.2,8.631735160946848,0.0,0.0,0.0,8.89002556304689,0.4,8.518392392806708
3,actuated,0,0,288.5119634903834,84.85645985011276,600288.5119634905,150072.12799087263,43.0,5.972222222222222,13965.872227271786,1939.7044760099702,7.2,3.435124256204839,0.0,3.2,1,3.1767708419217637,0.4444444444444444,0.0,0.0,0.2,0.05,0.0,0.0,4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,220.5675785875513,55.14189464688783,220.5675785875513,55.14189464688783,58.0,6.904761904761905,17533.905211693218,2087.3696680587163,8.4,3.08612711978145,3.1031174728655486,3.4,3,2.414867982443903,0.40476190476190477,3.1031174728655486,10.258797089273628,0.6000000000000001,0.15000000000000002,4.714088434772547,0.0,4,10.258797089273628,0.2,9.747731544915514,2.1536728021885665,0.4,9.108622194174677,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,133.31953421929666,33.329883554824164,133.31953421929666,33.329883554824164,73.0,7.934782608695652,18689.5267006352,2031.4702935473047,9.2,3.0580035555308505,0.9226699211576772,3.2,2,0.9293247044161376,0.34782608695652173,0.9226699211576772,3.690679684630709,0.4,0.1,2.207181281363592,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.690679684630709,0.4,8.828725125454367
6,actuated,0,0,313.70393163277123,78.42598290819281,313.70393163277123,78.42598290819281,90.0,9.574468085106384,17948.21267337402,1909.3843269546828,9.4,3.748766197627546,12.461384007069682,4.0,5,2.222338359368891,0.425531914893617,12.461384007069682,49.30202585286622,1.0,0.25,3.583966527661211,0.0,4,0.0,0.0,0.0,0.5435101754125071,0.4,8.866346519812943,49.30202585286622,0.6,5.469519590831901,0.0,0.0,0.0
7,actuated,0,0,67.89676501529149,22.632255005097164,659898.0121522705,164974.50303806763,113.0,12.555555555555555,18061.590211335966,2006.8433568151072,9.0,4.430773753424577,31.628878589030336,5.0,9,3.845229207863799,0.5555555555555556,31.628878589030336,100.0,1.8,0.45,5.821836478071572,0.0,4,10.801556257270022,0.4,8.986647161841393,1.8462884688608483,0.2,9.582001314591617,100.0,1.0,0.0,13.867669629990473,0.2,4.718697435853277
8,actuated,0,0,470.0674926487877,167.88124737456707,1200470.067492649,300117.51687316224,140.6,13.784313725490197,16446.343805550605,1612.3866476030007,10.2,1.4741186018901034,50.0,6.8,11,1.9612292360502488,0.6666666666666666,50.0,100.0,2.2,0.55,0.0,0.0,4,0.0,0.0,0.0,0.0,0.2,0.0,100.0,1.0,0.0,100.0,1.0,0.0
9,actuated,0,0,150.28820872642407,50.096069575474694,1000150.2882087264,250037.5720521816,175.0,15.625,21234.499980635752,1895.9374982710492,11.2,2.1588701990941095,51.00257369595866,7.2,12,1.9907129637539416,0.6428571428571429,51.00257369595866,100.0,2.4,0.6,2.3095273146638653,0.0,4,0.0,0.0,0.0,4.010294783834638,0.4,9.238109258655461,100.0,1.0,0.0,100.0,1.0,0.0
