step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed
0,actuated,0,0,131.71866888986628,22.710115325839013,1200131.7186688902,171447.38838127002,29.0,3.625,17122.90651326052,2140.363314157565,8.0,5.481789342387744,2.9524195244140725,2.2,3,4.62393390371744,0.275,2.9524195244140725,10.933106696189725,0.6000000000000001,0.08571428571428573,1.945096759792966,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,10.933106696189725,0.2,9.146531061921385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.733829974708783,0.4,4.4691462566293785
1,actuated,0,0,334.67545256170473,59.76347367173299,804115.9661192141,114873.70944560201,40.8,5.1,14451.937850270522,1806.4922312838153,8.0,4.91007611852432,3.331218142241385,3.4,2,4.566191768943554,0.425,3.331218142241385,12.116665773957038,0.4,0.05714285714285715,2.454311919882783,0.0,7,12.116665773957038,0.2,8.253095518647964,0.0,0.0,0.0,0.0,0.0,0.0,11.201861221732656,0.2,8.927087920531516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,243.4686427333877,41.977352195411676,1200243.4686427335,171463.35266324764,60.0,6.521739130434782,18360.02907288785,1995.6553340095488,9.2,5.5276875117725535,0.28790060919326216,4.4,2,5.525720603616406,0.4782608695652174,0.28790060919326216,2.015304264352835,0.4,0.05714285714285715,1.2266183381501052,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,2.015304264352835,0.4,8.586328367050736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,167.11981928683986,27.85330321447331,1000167.119819287,142881.017117041,80.0,8.88888888888889,18637.473724799984,2070.830413866665,9.0,5.6580081480069175,0.11612087646934047,4.0,2,5.268779731057389,0.4444444444444444,0.11612087646934047,0.8128461352853833,0.4,0.05714285714285715,1.2452073448071523,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8128461352853833,0.4,8.716451413650066,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,231.98781180428335,39.997898586945404,1000859.7885418516,142979.9697916931,100.2,10.4375,17613.686188869928,1834.7589780072842,9.6,5.115109973964387,8.446627154069606,4.8,4,4.899738802352707,0.5,8.446627154069606,46.14128335193186,0.8,0.1142857142857143,1.9418220660660244,0.0,7,46.14128335193186,0.6,5.891624074716222,12.985106726555387,0.2,7.701130387745948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,324.77760874118417,57.99600156092575,56735.806628783095,8105.115232683299,126.0,11.25,21285.65980408693,1900.5053396506187,11.2,5.113923469262433,15.803122691661954,6.0,9,5.357406041909138,0.5357142857142857,15.803122691661956,100.0,1.7999999999999998,0.2571428571428571,2.452847518292921,0.0,7,100.0,1.0,0.0,0.0,0.0,0.0,4.265219534751168,0.4,8.398910252936185,0.0,0.0,0.0,6.356639306882528,0.4,8.771022375114262,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,422.8003945396149,62.1765286087669,308073.33587463247,44010.47655351892,156.0,14.181818181818182,19863.4491029133,1805.7681002648453,11.0,6.121750917752842,14.285714285714286,6.2,5,5.31774357471234,0.5636363636363636,14.285714285714286,100.0,1.0,0.14285714285714285,0.0,0.0,7,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,actuated,0,0,241.8739716875898,35.569701718763206,200241.8739716877,28605.981995955382,186.0,15.76271186440678,23410.335667765055,1983.9267515055133,11.8,5.518661628919037,15.90734778609325,6.2,8,4.800815632619425,0.5254237288135594,15.90734778609325,100.0,1.5999999999999999,0.22857142857142856,2.4465118367357612,0.0,7,100.0,1.0,0.0,0.0,0.0,0.0,0.0345941293562646,0.4,8.289194191992284,0.0,0.0,0.0,11.316840373296486,0.2,8.836388665158044,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,207.46056517291578,38.41862318016958,454344.9189949882,64906.416999284025,217.8,18.775862068965516,18970.349578059024,1635.374963625778,11.6,4.1589450087915045,16.953624203802146,7.4,7,5.056787464383214,0.6379310344827587,16.953624203802146,100.0,1.4,0.19999999999999998,0.6351625785471073,0.0,7,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.67536942661502,0.4,4.446138049829751
9,actuated,1,0,793.2075485154652,123.93867945554143,324419.04011251545,46345.57715893078,74.4,6.305084745762712,21670.68013378131,1836.4983164221449,11.8,2.4920673397917903,27.302916675933083,4.0,10,2.7187809358996082,0.3389830508474576,27.302916675933083,100.0,2.0,0.2857142857142857,0.76960424176096,0.0,7,100.0,1.0,0.0,91.12041673153158,1.0,5.38722969232672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
