step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed
0,random,0,0,250.19670564787194,43.137363042736546,1163721.1503357305,166245.87861939007,45.0,2.4725274725274726,30882.818533611273,1696.8581611874326,18.2,2.741634804931396,25.92813917470709,8.4,10,2.7507521273885085,0.46153846153846156,25.92813917470709,100.0,2.0,0.2857142857142857,0.42132233492961196,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,81.49697422294963,1.0,2.9492563445072837,0.0,0.0,0.0
1,random,0,0,299.49850921499785,49.91641820249964,1000299.498509215,142899.9283584593,53.0,2.7604166666666665,32193.102236865998,1676.7240748367706,19.2,1.7659648353153672,32.478327465264435,6.0,17,0.925224180769243,0.3125,32.478327465264435,98.7484409917704,3.4,0.4857142857142857,2.0502849785197084,0.0,7,0.0,0.0,0.0,98.7484409917704,1.0,3.905776724068561,0.0,0.0,0.0,40.0,0.6,0.0,13.80106907215037,0.6,5.341587795397963,60.0,0.8,0.0,14.798782192930275,0.4,5.104630330171435
2,random,0,0,824.0682515179682,117.72403593113832,824.0682515179682,117.72403593113832,80.8,3.8846153846153846,34861.536957567165,1676.0354306522677,20.8,1.70362232967211,38.910887535973096,7.8,16,1.1325109293486848,0.375,38.910887535973096,100.0,3.2,0.4571428571428572,0.6748019459572449,0.0,7,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,77.67959255194796,1.0,2.011093240791549,20.0,0.4,0.0,74.69662019986373,0.8,2.7125203809091647,0.0,0.0,0.0
3,random,0,0,389.1130033634739,55.587571909067705,389.1130033634739,55.587571909067705,121.6,5.79047619047619,38025.68700815107,1810.7470003881465,21.0,2.3149695017469543,26.99817970404768,10.6,13,1.2685268971574544,0.5047619047619047,26.99817970404768,100.0,2.6,0.37142857142857144,0.8576957711852502,0.0,7,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.6,0.6060594980410143,48.98725792833375,1.0,5.397810900255736,0.0,0.0,0.0
4,random,0,0,408.6752573088745,63.85550895451164,2419.3050855547745,345.61501222211064,182.8,8.309090909090909,34351.71066653954,1561.4413939336157,22.0,2.0312910438595386,38.15067598271749,13.6,19,1.4267816421450323,0.6181818181818182,38.15067598271749,100.0,3.8,0.5428571428571428,3.8744163057117254,0.0,7,1.9954740765751922,0.4,8.425309047661722,100.0,1.0,0.0,6.906471069825102,0.4,8.301724715158343,46.22266743185321,0.6,4.7079294817824,11.930119300768922,0.4,5.685950895379611,100.0,1.0,0.0,0.0,0.0,0.0
5,random,6,0,509.01443157576614,106.04467324495128,413893.776382372,59127.68234033886,260.0,11.403508771929825,36442.24397529221,1598.344034004044,22.8,1.030133775399079,45.53568421816213,17.4,16,1.0712603951806794,0.7631578947368421,45.53568421816213,100.0,3.2,0.4571428571428572,0.5918000822323656,0.0,7,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,18.749789527134908,0.2,4.142600575626559
6,random,6,6,486.5252279089565,97.30504558179129,1434539.6704740312,204934.2386391473,315.6,12.328125,42592.066862654574,1663.7526118224444,25.6,1.0890686205408746,59.6634491856666,16.8,22,1.3027729979365605,0.65625,59.6634491856666,100.0,4.4,0.6285714285714287,0.5394027096990687,0.0,7,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,17.64414429966621,0.4,3.7758189678934806,100.0,1.0,0.0,100.0,1.0,0.0
7,random,6,6,800.6056280086165,121.30388303160856,400800.6056280086,57257.2293754298,398.2,14.120567375886525,49609.46713046753,1759.2009620733165,28.2,1.5533425700891088,58.31862715426147,19.2,22,1.512268110357672,0.6808510638297872,58.31862715426147,100.0,4.4,0.6285714285714287,1.1827445680541648,0.0,7,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,8.230390079830272,0.4,8.279211976379154,100.0,1.0,0.0,100.0,1.0,0.0
8,random,6,6,731.1976483802434,107.5290659382711,1021.8424570300776,145.97749386143965,495.2,17.194444444444443,47373.419501797725,1644.9103993679767,28.8,1.5743320523340139,64.85198652295351,20.2,23,1.403846992987198,0.7013888888888888,64.85198652295351,100.0,4.6,0.6571428571428571,0.7002010765660769,0.0,7,0.0,0.0,0.0,100.0,1.0,0.0,53.96390566067453,0.6,4.901407535962538,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
9,random,6,6,815.5919971141738,123.57454501729906,213206.2785022243,30458.039786032045,602.6,19.564935064935064,50347.711071397396,1634.6659438765387,30.8,1.3361382785483957,74.7762449409477,22.8,28,1.006336473818459,0.7402597402597403,74.7762449409477,100.0,5.6,0.7999999999999999,0.266126199553568,0.0,7,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,23.433714586633982,0.6,1.8628833968749758,100.0,1.0,0.0,100.0,1.0,0.0
