junction,MU_SPEED,STD_SPEED,MU_THROUGHPUT,STD_THROUGHPUT,dMU_SPEED,dMU_THROUGHPUT,N_valid,median_speed,median_throughput,reward_global_mean,reward_global_std,reward_global_iqr,reward_global_range,reward_local_mean,reward_local_std,reward_local_iqr,reward_local_range
R1C1_C,0.9249992987041912,0.736012502061993,2.0794427916790545,0.7499438955979695,0.30799678463526214,-0.9162899818748116,27993,2.318285415525475,8.0,0.3515130045942991,0.09903456782077907,0.1587264730662757,0.26751624560744103,0.45229291112432796,0.09991818703226894,0.11395541386519248,0.24778997410303127
R1C2_C,0.9665640567696777,0.5905519093294911,2.5649501266920103,0.5588043150806454,0.3495615427007487,-0.43078264686185586,28000,2.5640627912380656,13.0,0.44049551430984696,0.07877465399053221,0.1012299593329195,0.2038695827390723,0.4676753160698728,0.11143018329241725,0.11998744181064108,0.2815125900666978
R1C3_C,0.9087159210837987,0.7156245704353426,2.8332139322913372,0.9287284291055327,0.2917134070148697,-0.1625188412625289,28000,2.411133571117172,17.0,0.46836446543574367,0.07767300491291686,0.0960067685547451,0.20078839761057787,0.44600758926545053,0.08667598718634756,0.11142233953905278,0.21953278515522712
R1C4_C,0.9666558312382807,0.7269418841499169,3.1354946507116637,0.9632160842538547,0.34965331716935166,0.13976187715779753,28000,2.6031140886206865,23.0,0.5450989155262683,0.09470931834704031,0.1464567715235091,0.24219758704615169,0.45071931844155416,0.08383828433065707,0.10287403773252463,0.2134661246969894
R1C5_C,0.9417513929481819,0.7984274390127198,2.5649501266920103,0.7001710548045402,0.32474887887925286,-0.43078264686185586,28000,2.4762007456920925,13.0,0.41648760522585987,0.08410319600194899,0.11731238161019175,0.20907483468816673,0.44572270577840467,0.09593775839138224,0.1003098206681382,0.23872814702806588
R2C1_C,0.507674573127036,1.0199442545722688,2.5649501266920103,0.6128532653375821,-0.10932794094189302,-0.43078264686185586,28000,1.5580227291301987,13.0,0.3450411084169104,0.09849085223796651,0.16576906044143652,0.2537679712678754,0.4564820373322612,0.08985006928114678,0.10269370740077821,0.22377374553762813
R2C2_C,-0.6864516002169366,1.6890770229035328,3.610918182914458,0.21327154653308003,-1.3034541142858656,0.615185409360592,28000,0.4999154486123415,34.0,0.46559599995265755,0.07915144280545247,0.09205045031446091,0.1875543630151298,0.41276986111892555,0.08580834237140514,0.1163636978159453,0.19804298546952925
R2C3_C,0.9790491967841399,0.6925592020004586,3.0445229139137857,0.9287286497434523,0.3620466827152109,0.048790140359919576,28000,2.6205641679272045,21.0,0.5171127460009581,0.10123659940864718,0.14275872435291836,0.2591240355966143,0.43881591595448843,0.09589749038968631,0.11966014666738028,0.24401312623826799
R2C4_C,-0.14763424951754345,0.9663280197145709,3.8918205021922385,0.18631060521229478,-0.7646367635864725,0.8960877286383724,28000,0.8615536253189267,49.0,0.5519556266512728,0.09060234507513866,0.14267488840705245,0.2239343028309851,0.4742534141403977,0.11182190428028982,0.11606227670946734,0.2848330092922137
R2C5_C,0.212560405146812,1.0935484663294297,3.5835192162338494,0.30968572483659773,-0.40444210892211707,0.5877864426799833,28000,1.2295886969260772,36.0,0.5320011161705158,0.10393148076775413,0.15717846126897,0.26510982253918447,0.45959336792823746,0.11465647845442811,0.11492712904042407,0.2866689102440099
R3C1_C,0.8269360586642599,0.7596220790846689,2.772589347239586,0.8489371564074029,0.20993354459533087,-0.2231434263142802,28000,2.2272079002934064,16.0,0.4460502022709948,0.0831088621252305,0.099037930782921,0.2116183739178596,0.45193518582477815,0.09317994792234381,0.10796748700599135,0.23223236800508856
R3C2_C,0.6487226929076735,0.918191894570655,3.1780542470145257,0.8144500575341916,0.03172017883874445,0.18232147346065952,28000,1.8871830771293912,24.0,0.4971736458431301,0.09345888755849906,0.11760517606288057,0.22978580916346103,0.4547319512577283,0.08851891986740139,0.10548865973776755,0.21749378435194167
R3C3_C,0.18816963242745022,1.0233749400914667,3.3672961748140007,0.4148680952255857,-0.4288328816414788,0.37156340126013454,28000,1.1978671122961435,29.0,0.4877920998339361,0.09031859666428976,0.11417294327037175,0.22698649758756106,0.4705657784143527,0.09517609476467725,0.10224548151361057,0.23527305222882977
R3C4_C,0.16913215124539466,1.2336232571366108,3.091042907903667,0.6011785553070236,-0.4478703628235344,0.09531013434980107,28000,1.1633189267699118,22.0,0.4139634965288088,0.09196623558679459,0.11508000971858762,0.21429100572340815,0.45204721891385563,0.08681083083552739,0.10766268903420045,0.2117635698230279
R3C5_C,0.6409724660825015,0.9747140631416262,3.218876224868121,0.5617060920238887,0.023969952013572438,0.22314345131425473,28000,1.8642451843797212,25.0,0.5029919111808445,0.10965700828459916,0.1394400368283112,0.2807406226403322,0.45701478097844944,0.10787922287236552,0.11208607990198416,0.2665379798931858
R4C1_C,0.5130001531519419,0.9386963547288709,3.2958372363746307,0.4917295071579808,-0.10400236091698711,0.30010446282076453,28000,1.647987630151561,27.0,0.4973951513282779,0.09373595503764826,0.12833907408293566,0.23893108077120417,0.44810186768973365,0.09266446099749807,0.10304036145779549,0.23530309719879844
R4C2_CE,0.3643666218087808,0.9021691250138018,2.9444395054820913,0.4493553449348956,-0.2526358922601482,-0.05129326807177481,28000,1.4059752306605637,19.0,0.4083348694338574,0.08858175922313762,0.13193890281194276,0.22242467539434202,0.46400198754068184,0.09807937993337824,0.10997883755396753,0.24523278332814552
R4C2_CW,0.377962039792927,0.9097820285728961,2.9444395054820913,0.39001614738798795,-0.23904047427600206,-0.05129326807177481,28000,1.4259546636371083,19.0,0.4104415059236457,0.08774454597566995,0.13179460432720835,0.2216377087732755,0.4660423152175936,0.09864676634243337,0.10623099621521614,0.24772848776783918
R4C3_C,0.9255943941850391,0.8719723985062675,3.1354946507116637,0.8387585692580574,0.30859188011611005,0.13976187715779753,28000,2.4823555999846425,23.0,0.5149018151196472,0.09538409284320276,0.12796361571248593,0.24432775062001338,0.43188116524936765,0.08334170988817259,0.09547402257972071,0.20889354934312032
R4C4_C,0.995680494064513,0.7056799642279823,2.3025860929935456,0.9798754590050329,0.37867797999558395,-0.6931466805603206,28000,2.595216431194308,10.0,0.38740021302470007,0.0895927460584778,0.13632240889305886,0.22594054074019576,0.4442533459907336,0.10145912828943397,0.1201645274018408,0.2542909827193835
R4C5_C,0.07120391387965194,0.9276458928311982,3.2958372363746307,0.26441900888253217,-0.5457986001892771,0.30010446282076453,28000,1.0592045963257464,27.0,0.45011168651369776,0.08294149375953073,0.10077601526766566,0.20336728429515,0.46853069776486167,0.10709295529199443,0.10946272052302214,0.274890711235196
