combo,method,avg_mono,avg_iqr,avg_eta2,mono_ok,iqr_ok
AvgSpeed + Throughput,empirical-cdf,0.6686868686868687,0.11249000811149107,0.023264596175368264,False,True
AvgSpeed + Throughput,popart,0.5936507936507935,0.03726853854095903,0.051035441638312244,False,False
AvgSpeed + Throughput,zscore-sigmoid,0.7922077922077922,0.07650170962835953,0.0633205824455796,False,False
AvgSpeed + Throughput,boxcox-sigmoid,0.508225108225108,0.09105392974555794,0.06466574705967824,False,False
AvgSpeed + Throughput,weibull-cdf,0.7015873015873015,0.11140935163484118,0.09606513157788758,False,True
AvgSpeed + Throughput,percentile-clip,0.8049062049062049,0.113845607113771,0.10888244375977972,False,True
AvgSpeed + Throughput,gamma-cdf,0.6813852813852813,0.1182783558016824,0.11089186786702672,False,True
AvgSpeed + Throughput,log-tanh,-0.5907647907647907,0.20388288691970968,0.11332459045225131,True,True
AvgSpeed + Throughput,log-sigmoid,-0.6484848484848483,0.12974987106416466,0.12016133164673731,True,True
AvgSpeed + Throughput,lognormal-cdf,-0.6600288600288599,0.18468733896614506,0.1252476785465528,True,True
AvgSpeed + Throughput,min-max,0.8949494949494947,0.13022285064090494,0.38500516219486186,False,True
HaltRatio,empirical-cdf,-0.8683982683982683,0.5048712133582998,0.11733103322950822,True,True
HaltRatio,zscore-sigmoid,-0.8724386724386723,0.33422165455792424,0.11951737510842143,True,True
HaltRatio,weibull-cdf,-0.8660894660894659,0.501454304807219,0.11979245295045898,True,True
HaltRatio,gamma-cdf,-0.8787878787878787,0.522055056772925,0.1221700991337508,True,True
HaltRatio,percentile-clip,-0.8730158730158729,0.3665739086329417,0.12260546222168245,True,True
HaltRatio,popart,-0.8707070707070708,0.1392585814431285,0.12465274263401963,True,True
HaltRatio,min-max,-0.8707070707070708,0.2606639364475856,0.12465284955125516,True,True
HaltRatio,boxcox-sigmoid,-0.8735930735930735,0.32993921203193805,0.12797173152451352,True,True
HaltRatio,log-tanh,-0.8730158730158729,0.38581180602306686,0.14170907899991142,True,True
HaltRatio,lognormal-cdf,-0.8770562770562771,0.32038771930263554,0.14704229722256787,True,True
HaltRatio,log-sigmoid,-0.8822510822510823,0.2053689843416649,0.1555644147568071,True,True
TotalCO2 + SpeedStd,empirical-cdf,-0.8020202020202021,0.1125019197229851,0.10728621053051021,True,True
TotalCO2 + SpeedStd,popart,-0.7818181818181819,0.03858370457857985,0.1295504918835459,True,False
TotalCO2 + SpeedStd,zscore-sigmoid,-0.7939393939393937,0.07815545193201363,0.14712047456021543,True,False
TotalCO2 + SpeedStd,boxcox-sigmoid,-0.7673881673881672,0.09080578435008022,0.1526302251508687,True,False
TotalCO2 + SpeedStd,weibull-cdf,-0.7131313131313132,0.12101376990520202,0.15920739762055294,True,True
TotalCO2 + SpeedStd,gamma-cdf,-0.7038961038961039,0.13041273937397127,0.17814638442781497,True,True
TotalCO2 + SpeedStd,log-tanh,-0.601154401154401,0.1734841476189083,0.19017218555382423,True,True
TotalCO2 + SpeedStd,percentile-clip,-0.7997113997113997,0.12075313064151888,0.19541644028705973,True,True
TotalCO2 + SpeedStd,lognormal-cdf,-0.5878787878787879,0.1660704556210636,0.20050579714538314,True,True
TotalCO2 + SpeedStd,log-sigmoid,-0.5624819624819624,0.12611007481167755,0.22384525608045105,True,True
