combo,n_metrics,avg_monotonicity,mono_pass_pct,mono_ok,avg_iqr,iqr_pass_pct,iqr_ok,avg_eta2,eta2_within,avg_antistary_r,antistary_ok,avg_state_r,state_corr_ok,passed,is_current
TotalWaitingTime + HaltRatio,2,-0.8428571428571426,100.0,True,0.22467587592728627,100.0,True,0.009714831066742716,0.9902851689332572,-0.30038711030540177,True,0.3294485463047641,True,True,False
AvgOccupancy + HaltRatio,2,-0.8285714285714285,100.0,True,0.11986512257490485,61.904761904761905,True,0.016501026263942793,0.9834989737360572,-0.42657965763317246,True,0.49717676909279573,True,True,False
QueueLength + HaltRatio,2,-0.9142857142857139,100.0,True,0.19665546656274766,100.0,True,0.03180467742767078,0.9681953225723292,-0.3168617976393073,True,0.42005227402041195,True,True,False
TotalWaitingTime + AvgOccupancy,2,-0.9619047619047617,100.0,True,0.1577969017584707,100.0,True,0.04659297112328587,0.9534070288767141,-0.40118363707422944,True,0.4517695855303068,True,True,False
TotalWaitingTime + QueueLength,2,-0.9619047619047617,100.0,True,0.22067916103059929,100.0,True,0.05847114583313621,0.9415288541668638,-0.30402502145417615,True,0.38764878399900793,True,True,False
AvgSpeed + AvgOccupancy,2,-0.9571428571428569,100.0,True,0.18001751320510792,90.47619047619048,True,0.08291196794060533,0.9170880320593947,-0.3302931750904296,True,0.5134161377385528,True,True,False
TotalCO2 + HaltRatio,2,-0.976190476190476,100.0,True,0.1612925013725422,90.47619047619048,True,0.09240359813140689,0.9075964018685931,-0.329699050688885,True,0.4538423818528873,True,True,False
QueueLength,1,-0.9714285714285712,100.0,True,0.18221113511495704,90.47619047619048,True,0.09638037592641846,0.9036196240735815,-0.3072494144754283,True,0.45909282451707706,True,True,False
QueueLength + AvgOccupancy,2,-0.9714285714285712,100.0,True,0.11690617885422692,57.14285714285714,True,0.09713723278457403,0.9028627672154259,-0.4057912925288361,True,0.5503908376540203,True,True,False
TotalCO2 + AvgOccupancy,2,-0.9714285714285712,100.0,True,0.12790810227253158,76.19047619047619,True,0.17717541075517915,0.8228245892448208,-0.37511830160113496,True,0.5357812288680611,True,True,False
HaltRatio,1,-0.11904761904761904,42.857142857142854,False,0.2129473473467387,100.0,True,0.0027633134175083472,0.9972366865824916,-0.28432200468672086,False,0.33418199616916094,True,False,False
TotalWaitingTime + Throughput,2,0.30000000000000004,23.809523809523807,False,0.14084437440007352,100.0,True,0.002797752338307259,0.9972022476616927,-0.0019094375633565961,False,0.12868922650922648,False,False,False
TotalWaitingTime + triplet_TP+Std+Halt,2,-0.2666666666666666,42.857142857142854,False,0.1973399086306707,100.0,True,0.004912039587271497,0.9950879604127285,-0.1829711237957234,False,0.15413049484815403,False,False,False
TotalTravelTime,1,0.7380952380952381,4.761904761904762,False,0.3873880877792434,100.0,True,0.005601670062082243,0.9943983299379178,0.02607456095416178,False,0.16221688591164274,False,False,False
