Step,Action
100.0,3
105.0,3
110.0,1
115.0,3
120.0,1
125.0,3
130.0,1
135.0,3
140.0,1
145.0,3
150.0,1
155.0,3
160.0,1
165.0,3
170.0,1
175.0,2
180.0,1
185.0,2
190.0,2
195.0,1
200.0,2
205.0,1
210.0,0
215.0,1
220.0,0
225.0,1
230.0,0
235.0,1
240.0,2
245.0,1
250.0,2
255.0,0
260.0,2
265.0,0
270.0,3
275.0,0
280.0,3
285.0,1
290.0,3
295.0,1
300.0,1
305.0,0
310.0,1
315.0,0
320.0,0
325.0,3
330.0,0
335.0,3
340.0,2
345.0,3
350.0,2
355.0,0
360.0,2
365.0,0
370.0,2
375.0,0
380.0,2
385.0,3
390.0,2
395.0,3
400.0,1
405.0,3
410.0,1
415.0,0
420.0,1
425.0,0
430.0,1
435.0,0
440.0,1
445.0,0
450.0,1
455.0,0
460.0,1
465.0,0
470.0,1
475.0,2
480.0,1
485.0,2
490.0,1
495.0,2
500.0,1
505.0,2
510.0,1
515.0,2
520.0,0
525.0,2
530.0,0
535.0,2
540.0,0
545.0,2
550.0,0
555.0,2
560.0,0
565.0,0
570.0,1
575.0,0
580.0,1
585.0,2
590.0,1
595.0,2
600.0,0
605.0,2
610.0,0
615.0,2
620.0,0
625.0,2
630.0,3
635.0,2
640.0,3
645.0,3
650.0,0
655.0,3
660.0,0
665.0,1
670.0,0
675.0,1
680.0,2
685.0,1
690.0,2
695.0,1
700.0,2
705.0,1
710.0,0
715.0,1
720.0,0
725.0,3
730.0,0
735.0,3
740.0,3
745.0,0
750.0,3
755.0,0
760.0,1
765.0,0
770.0,1
775.0,0
780.0,1
785.0,0
790.0,3
795.0,0
800.0,3
805.0,2
810.0,3
815.0,2
820.0,1
825.0,2
830.0,1
835.0,0
840.0,1
845.0,0
850.0,3
855.0,0
860.0,3
865.0,0
870.0,3
875.0,0
880.0,0
885.0,1
890.0,0
895.0,1
900.0,0
905.0,1
910.0,0
915.0,2
920.0,0
925.0,2
930.0,3
935.0,2
940.0,3
945.0,3
950.0,1
955.0,3
960.0,1
965.0,3
970.0,1
975.0,3
980.0,0
985.0,3
990.0,0
995.0,2
1000.0,0
1005.0,2
1010.0,0
1015.0,2
1020.0,0
1025.0,2
1030.0,0
1035.0,2
1040.0,3
1045.0,2
1050.0,3
1055.0,3
1060.0,1
1065.0,3
1070.0,1
1075.0,0
1080.0,1
1085.0,0
1090.0,3
1095.0,0
1100.0,3
1105.0,2
1110.0,3
1115.0,2
1120.0,2
1125.0,3
1130.0,2
1135.0,3
1140.0,1
1145.0,3
1150.0,1
1155.0,2
1160.0,1
1165.0,2
1170.0,3
1175.0,2
1180.0,3
1185.0,1
1190.0,3
1195.0,1
1200.0,0
1205.0,1
1210.0,0
1215.0,3
1220.0,0
1225.0,3
1230.0,2
1235.0,3
1240.0,2
1245.0,3
1250.0,2
1255.0,3
1260.0,0
1265.0,3
1270.0,0
1275.0,3
1280.0,0
1285.0,3
1290.0,2
1295.0,3
1300.0,2
1305.0,2
1310.0,2
1315.0,3
1320.0,2
1325.0,3
1330.0,0
1335.0,3
1340.0,0
1345.0,0
1350.0,2
1355.0,0
1360.0,2
1365.0,0
1370.0,2
1375.0,0
1380.0,0
1385.0,1
1390.0,0
1395.0,1
1400.0,3
1405.0,1
1410.0,3
1415.0,0
1420.0,3
1425.0,0
1430.0,2
1435.0,0
1440.0,2
1445.0,2
1450.0,3
1455.0,2
1460.0,3
1465.0,2
1470.0,3
1475.0,2
1480.0,3
1485.0,2
1490.0,3
1495.0,0
1500.0,3
1505.0,0
1510.0,0
1515.0,0
1520.0,1
1525.0,0
1530.0,1
1535.0,1
1540.0,0
1545.0,1
1550.0,0
1555.0,2
1560.0,0
1565.0,2
1570.0,3
1575.0,2
1580.0,3
1585.0,3
1590.0,1
1595.0,3
1600.0,1
1605.0,0
1610.0,1
1615.0,0
1620.0,0
1625.0,0
1630.0,2
1635.0,0
1640.0,2
1645.0,3
1650.0,2
1655.0,3
1660.0,3
1665.0,2
1670.0,3
1675.0,2
1680.0,0
1685.0,2
1690.0,0
1695.0,0
1700.0,3
1705.0,0
1710.0,3
1715.0,1
1720.0,3
1725.0,1
1730.0,0
1735.0,1
1740.0,0
1745.0,1
1750.0,0
1755.0,1
1760.0,1
1765.0,3
1770.0,1
1775.0,3
1780.0,2
1785.0,3
1790.0,2
1795.0,3
1800.0,2
1805.0,3
1810.0,1
1815.0,3
1820.0,1
1825.0,3
1830.0,1
1835.0,3
1840.0,2
1845.0,3
1850.0,2
1855.0,1
1860.0,2
1865.0,1
1870.0,2
1875.0,1
1880.0,2
1885.0,1
1890.0,2
1895.0,1
1900.0,0
1905.0,1
1910.0,0
1915.0,2
1920.0,0
1925.0,2
1930.0,3
1935.0,2
1940.0,3
1945.0,2
1950.0,3
1955.0,2
1960.0,0
1965.0,2
1970.0,0
1975.0,3
1980.0,0
1985.0,3
1990.0,2
1995.0,3
2000.0,2
2005.0,3
2010.0,2
2015.0,3
2020.0,1
2025.0,3
2030.0,1
2035.0,3
2040.0,1
2045.0,3
2050.0,1
2055.0,3
2060.0,1
2065.0,0
2070.0,1
2075.0,0
2080.0,1
2085.0,0
2090.0,1
2095.0,2
2100.0,1
2105.0,2
2110.0,1
2115.0,2
2120.0,1
2125.0,2
2130.0,1
2135.0,2
2140.0,1
2145.0,2
2150.0,1
2155.0,3
2160.0,1
2165.0,3
2170.0,1
2175.0,3
2180.0,1
2185.0,0
2190.0,1
2195.0,0
2200.0,0
2205.0,1
2210.0,0
2215.0,1
2220.0,3
2225.0,1
