Step,Action
100.0,3
105.0,0
110.0,3
115.0,0
120.0,2
125.0,0
130.0,2
135.0,1
140.0,2
145.0,1
150.0,1
155.0,0
160.0,1
165.0,0
170.0,3
175.0,0
180.0,3
185.0,2
190.0,3
195.0,2
200.0,4
205.0,4
210.0,2
215.0,4
220.0,2
225.0,1
230.0,2
235.0,1
240.0,1
245.0,1
250.0,0
255.0,1
260.0,0
265.0,3
270.0,0
275.0,3
280.0,1
285.0,3
290.0,1
295.0,1
300.0,4
305.0,1
310.0,4
315.0,0
320.0,4
325.0,0
330.0,2
335.0,0
340.0,2
345.0,3
350.0,3
355.0,0
360.0,3
365.0,0
370.0,4
375.0,0
380.0,4
385.0,3
390.0,4
395.0,3
400.0,2
405.0,3
410.0,2
415.0,0
420.0,0
425.0,4
430.0,0
435.0,4
440.0,3
445.0,4
450.0,3
455.0,3
460.0,0
465.0,3
470.0,0
475.0,3
480.0,0
485.0,3
490.0,2
495.0,3
500.0,2
505.0,4
510.0,4
515.0,1
520.0,4
525.0,1
530.0,0
535.0,1
540.0,0
545.0,0
550.0,1
555.0,0
560.0,1
565.0,2
570.0,1
575.0,2
580.0,4
585.0,4
590.0,3
595.0,4
600.0,3
605.0,2
610.0,3
615.0,2
620.0,3
625.0,3
630.0,3
635.0,1
640.0,3
645.0,1
650.0,0
655.0,1
660.0,0
665.0,3
670.0,0
675.0,3
680.0,3
685.0,3
690.0,3
695.0,3
700.0,0
705.0,3
710.0,0
715.0,1
720.0,0
725.0,1
730.0,2
735.0,1
740.0,2
745.0,2
750.0,1
755.0,2
760.0,1
765.0,4
770.0,1
775.0,4
780.0,0
785.0,4
790.0,0
795.0,4
800.0,0
805.0,4
810.0,3
815.0,4
820.0,3
825.0,1
830.0,3
835.0,1
840.0,3
845.0,1
850.0,3
855.0,4
860.0,4
865.0,2
870.0,4
875.0,2
880.0,2
885.0,4
890.0,4
895.0,1
900.0,4
905.0,1
910.0,1
915.0,3
920.0,1
925.0,3
930.0,3
935.0,0
940.0,3
945.0,0
950.0,3
955.0,0
960.0,3
965.0,2
970.0,3
975.0,2
980.0,4
985.0,4
990.0,0
995.0,4
1000.0,0
1005.0,2
1010.0,0
1015.0,2
1020.0,1
1025.0,2
1030.0,1
1035.0,2
1040.0,1
1045.0,2
1050.0,2
1055.0,2
1060.0,3
1065.0,3
1070.0,2
1075.0,3
1080.0,2
1085.0,4
1090.0,4
1095.0,0
1100.0,4
1105.0,0
1110.0,3
1115.0,0
1120.0,3
1125.0,4
1130.0,4
1135.0,0
1140.0,4
1145.0,0
1150.0,2
1155.0,0
1160.0,2
1165.0,3
1170.0,3
1175.0,1
1180.0,3
1185.0,1
1190.0,2
1195.0,1
1200.0,2
1205.0,4
1210.0,4
1215.0,4
1220.0,3
1225.0,4
1230.0,3
1235.0,0
1240.0,3
1245.0,0
1250.0,1
1255.0,0
1260.0,1
1265.0,0
1270.0,1
1275.0,0
1280.0,0
1285.0,0
1290.0,2
1295.0,0
1300.0,2
1305.0,4
1310.0,4
1315.0,3
1320.0,4
1325.0,3
1330.0,4
1335.0,4
1340.0,0
1345.0,4
1350.0,0
1355.0,1
1360.0,0
1365.0,1
1370.0,3
1375.0,1
1380.0,3
1385.0,0
1390.0,3
1395.0,0
1400.0,2
1405.0,0
1410.0,2
1415.0,0
1420.0,0
1425.0,4
1430.0,0
1435.0,4
1440.0,2
1445.0,4
1450.0,2
1455.0,3
1460.0,3
1465.0,4
1470.0,4
1475.0,4
1480.0,1
1485.0,4
1490.0,1
1495.0,2
1500.0,1
1505.0,2
1510.0,4
1515.0,4
1520.0,2
1525.0,4
1530.0,2
1535.0,1
1540.0,2
1545.0,1
1550.0,4
1555.0,1
1560.0,4
1565.0,3
1570.0,4
1575.0,3
1580.0,1
1585.0,3
1590.0,1
1595.0,3
1600.0,1
1605.0,3
1610.0,3
1615.0,3
1620.0,2
1625.0,3
1630.0,2
1635.0,3
1640.0,3
1645.0,2
1650.0,3
1655.0,2
1660.0,1
1665.0,2
1670.0,1
1675.0,3
1680.0,1
1685.0,3
1690.0,2
1695.0,3
1700.0,2
1705.0,1
1710.0,2
1715.0,1
1720.0,1
1725.0,0
1730.0,1
1735.0,0
1740.0,3
1745.0,0
1750.0,3
1755.0,0
1760.0,3
1765.0,0
1770.0,1
1775.0,0
1780.0,1
1785.0,0
1790.0,1
1795.0,0
1800.0,1
1805.0,0
1810.0,1
1815.0,0
1820.0,1
1825.0,0
1830.0,2
1835.0,0
1840.0,2
1845.0,1
1850.0,2
1855.0,1
1860.0,1
1865.0,4
1870.0,1
1875.0,4
1880.0,3
1885.0,4
1890.0,3
1895.0,2
1900.0,3
1905.0,2
1910.0,2
1915.0,2
1920.0,1
1925.0,2
1930.0,1
1935.0,4
1940.0,1
1945.0,4
1950.0,0
1955.0,4
1960.0,0
1965.0,4
1970.0,0
1975.0,4
1980.0,0
1985.0,4
1990.0,0
1995.0,1
2000.0,0
2005.0,1
2010.0,4
2015.0,1
2020.0,4
2025.0,4
2030.0,3
2035.0,4
2040.0,3
2045.0,2
2050.0,3
2055.0,2
2060.0,0
2065.0,0
2070.0,3
2075.0,0
2080.0,3
2085.0,1
2090.0,3
2095.0,1
2100.0,0
2105.0,1
2110.0,0
2115.0,3
2120.0,0
2125.0,3
2130.0,4
2135.0,4
2140.0,0
2145.0,4
2150.0,0
2155.0,4
2160.0,0
2165.0,4
2170.0,0
2175.0,4
2180.0,0
2185.0,0
2190.0,4
2195.0,0
2200.0,4
2205.0,3
2210.0,4
2215.0,3
2220.0,0
2225.0,3
2230.0,0
2235.0,0
2240.0,3
2245.0,0
2250.0,3
2255.0,3
2260.0,4
2265.0,4
2270.0,4
2275.0,2
2280.0,4
2285.0,2
2290.0,4
2295.0,4
2300.0,1
2305.0,4
2310.0,1
2315.0,4
2320.0,1
2325.0,4
2330.0,0
2335.0,4
2340.0,0
2345.0,4
2350.0,0
2355.0,4
2360.0,0
2365.0,4
2370.0,0
2375.0,3
2380.0,0
2385.0,3
2390.0,3
2395.0,3
2400.0,3
2405.0,0
2410.0,3
2415.0,0
2420.0,4
2425.0,0
2430.0,4
2435.0,4
2440.0,0
2445.0,4
2450.0,0
2455.0,4
2460.0,0
2465.0,4
2470.0,1
2475.0,4
2480.0,1
2485.0,4
2490.0,1
2495.0,4
2500.0,0
2505.0,4
2510.0,0
2515.0,1
2520.0,0
2525.0,1
2530.0,0
2535.0,1
2540.0,0
2545.0,3
2550.0,0
2555.0,3
2560.0,1
2565.0,3
2570.0,1
2575.0,1
2580.0,3
2585.0,1
2590.0,3
2595.0,3
2600.0,4
2605.0,4
2610.0,0
2615.0,4
2620.0,0
2625.0,0
2630.0,2
2635.0,0
2640.0,2
2645.0,1
2650.0,2
2655.0,1
2660.0,1
2665.0,4
2670.0,1
2675.0,4
2680.0,4
2685.0,2
2690.0,4
2695.0,2
2700.0,1
2705.0,2
2710.0,1
2715.0,1
2720.0,3
2725.0,1
2730.0,3
2735.0,2
2740.0,3
2745.0,2
2750.0,3
2755.0,3
2760.0,3
2765.0,3
2770.0,2
2775.0,3
2780.0,2
2785.0,1
2790.0,2
